generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.9334204602222305,1.9334204602222305,0.0499536681473916,1.9334204602222305,83.41752250538862,0.14225941422594143,0.042352077931158236,1.7672382614081066,0.38838093720615435,"[10, 128, 144, 149, 190, 214, 250, 252, 254, 275, 276, 290, 292, 302, 312, 324, 332, 340, 343, 345, 353, 354, 356, 370, 403, 405, 410, 43, 444, 446, 447, 458, 459, 470, 475, 497, 498, 85, 90, 92]",5,5,2,0,49,0,6.4305555555555545,1.0,"white,black,other",0.1983382464815519,0.26999017370356276,0.024169607113945713,asian,"black,latino,other,white"
1,1.9334204602222305,1.9334204602222305,0.0499536681473916,1.9334204602222305,83.41752250538862,0.14225941422594143,0.042352077931158236,1.690381709344651,0.3567040338152189,"[10, 128, 144, 149, 190, 214, 250, 252, 254, 275, 276, 290, 292, 302, 312, 324, 332, 340, 343, 345, 353, 354, 356, 370, 403, 405, 410, 43, 444, 446, 447, 458, 459, 470, 475, 497, 498, 85, 90, 92]",10,5,1,0,29,0,6.4305555555555545,1.0,"white,black,other",0.1983382464815519,0.26999017370356276,0.024169607113945713,asian,"black,latino,other,white"
2,1.9334204602222305,1.9334204602222305,0.0499536681473916,1.9334204602222305,83.41752250538862,0.14225941422594143,0.042352077931158236,1.7810541836300984,0.303089950396603,"[10, 128, 144, 149, 190, 214, 250, 252, 254, 275, 276, 290, 292, 302, 312, 324, 332, 340, 343, 345, 353, 354, 356, 370, 403, 405, 410, 43, 444, 446, 447, 458, 459, 470, 475, 497, 498, 85, 90, 92]",15,5,1,0,20,0,6.4305555555555545,1.0,"white,black,other",0.1983382464815519,0.26999017370356276,0.024169607113945713,asian,"black,latino,other,white"
3,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.7274461005072876,0.3135042087554719,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",20,5,0,0,13,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
4,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.7701774423671508,0.3101457218265705,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",25,5,2,0,19,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
5,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.7826640882469227,0.3158663018650148,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",30,5,2,0,13,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
6,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.8028018019382803,0.30375284646923156,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",35,5,2,0,9,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
7,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.8147764577874803,0.3230896790926093,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",40,5,1,0,14,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
8,1.8638375148701924,1.8638375148701924,0.05422054321758166,1.8638375148701924,85.39858311144921,0.14225941422594143,0.03381832779077811,1.743785174801332,0.3213036522987086,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 332, 340, 345, 353, 354, 356, 370, 405, 410, 429, 440, 444, 446, 447, 449, 458, 459, 46, 470, 475, 497, 498, 90, 92]",45,5,2,0,14,0,8.25,1.0,"white,latino,black",0.2333761252694307,0.39982883225561044,0.03434888599538083,"asian,other","black,latino,white"
9,1.8465164826584117,1.8465164826584117,0.05512169248793101,1.8465164826584117,85.54600133130468,0.14644351464435146,0.03620012966848944,1.7459374997582475,0.30994378553786,"[10, 106, 114, 128, 144, 149, 152, 157, 204, 214, 217, 238, 250, 252, 254, 324, 340, 345, 353, 356, 370, 405, 429, 440, 444, 446, 447, 449, 458, 459, 46, 466, 470, 474, 475, 495, 497, 498, 90, 92]",50,5,1,0,17,0,8.25,1.0,"white,latino,black",0.23307658171674905,0.40102700646633693,0.0343507621326831,"asian,other","black,latino,white"
