generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.9612667896343252,1.9612667896343252,0.1051067145143639,1.9612667896343252,133.68496240601505,0.2421052631578947,0.0318918341291669,0.8495274487911728,0.32283472691246956,"[100, 106, 12, 128, 13, 140, 149, 152, 157, 204, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 470, 475, 481, 55, 58, 63, 81, 92]",4,4,0,0,39,0,9.714285714285714,1.0,"latino,asian,white",0.26826232247284876,0.08883876357560572,0.0017173901057293754,"black,other,white","asian,latino"
1,1.9612667896343252,1.9612667896343252,0.1051067145143639,1.9612667896343252,133.68496240601505,0.2421052631578947,0.0318918341291669,0.9835118985790126,0.31715326245343783,"[100, 106, 12, 128, 13, 140, 149, 152, 157, 204, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 470, 475, 481, 55, 58, 63, 81, 92]",8,4,0,0,17,0,9.714285714285714,1.0,"latino,asian,white",0.26826232247284876,0.08883876357560572,0.0017173901057293754,"black,other,white","asian,latino"
2,1.9612667896343252,1.9612667896343252,0.1051067145143639,1.9612667896343252,133.68496240601505,0.2421052631578947,0.0318918341291669,1.0877583620147329,0.3084301717415487,"[100, 106, 12, 128, 13, 140, 149, 152, 157, 204, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 470, 475, 481, 55, 58, 63, 81, 92]",12,4,0,0,14,0,9.714285714285714,1.0,"latino,asian,white",0.26826232247284876,0.08883876357560572,0.0017173901057293754,"black,other,white","asian,latino"
3,1.9612667896343252,1.9612667896343252,0.1051067145143639,1.9612667896343252,133.68496240601505,0.2421052631578947,0.0318918341291669,1.3644843820745312,0.27670288126774106,"[100, 106, 12, 128, 13, 140, 149, 152, 157, 204, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 470, 475, 481, 55, 58, 63, 81, 92]",16,4,0,0,11,0,9.714285714285714,1.0,"latino,asian,white",0.26826232247284876,0.08883876357560572,0.0017173901057293754,"black,other,white","asian,latino"
4,2.131155539858132,2.131155539858132,0.11389463437515014,2.131155539858132,133.0454887218045,0.25,0.02221073124969971,1.6607000438912545,0.2713143976127136,"[100, 106, 12, 128, 140, 149, 152, 157, 204, 245, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 466, 470, 475, 481, 58, 63, 81, 92]",20,4,0,0,8,0,9.714285714285714,1.0,"asian,latino,white",0.2685157337788917,0.0687997772208298,0.0011867191571862592,"black,other","asian,latino"
5,2.131155539858132,2.131155539858132,0.11389463437515014,2.131155539858132,133.0454887218045,0.25,0.02221073124969971,1.6376005543489298,0.27139957623568084,"[100, 106, 12, 128, 140, 149, 152, 157, 204, 245, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 466, 470, 475, 481, 58, 63, 81, 92]",24,4,1,0,15,0,9.714285714285714,1.0,"asian,latino,white",0.2685157337788917,0.0687997772208298,0.0011867191571862592,"black,other","asian,latino"
6,2.131155539858132,2.131155539858132,0.11389463437515014,2.131155539858132,133.0454887218045,0.25,0.02221073124969971,1.665952023011823,0.2794913398262103,"[100, 106, 12, 128, 140, 149, 152, 157, 204, 245, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 466, 470, 475, 481, 58, 63, 81, 92]",28,4,0,0,14,0,9.714285714285714,1.0,"asian,latino,white",0.2685157337788917,0.0687997772208298,0.0011867191571862592,"black,other","asian,latino"
7,2.131155539858132,2.131155539858132,0.11389463437515014,2.131155539858132,133.0454887218045,0.25,0.02221073124969971,1.692731095278742,0.272753140166742,"[100, 106, 12, 128, 140, 149, 152, 157, 204, 245, 250, 252, 254, 266, 315, 317, 33, 334, 340, 344, 345, 348, 356, 372, 384, 405, 429, 442, 444, 446, 447, 458, 466, 470, 475, 481, 58, 63, 81, 92]",32,4,0,0,6,0,9.714285714285714,1.0,"asian,latino,white",0.2685157337788917,0.0687997772208298,0.0011867191571862592,"black,other","asian,latino"
8,2.1443272979137236,2.1443272979137236,0.11625272043102788,2.1443272979137236,130.7954887218045,0.25,0.01749455913794424,1.5415594738866591,0.287043051793075,"[106, 128, 140, 149, 152, 157, 175, 204, 223, 238, 245, 250, 252, 254, 334, 340, 345, 348, 356, 372, 384, 403, 405, 429, 43, 442, 444, 446, 447, 458, 466, 467, 470, 475, 481, 489, 58, 63, 81, 92]",36,4,0,0,6,0,9.714285714285714,1.0,"asian,latino,white",0.2666638819270398,0.07620161514898355,0.0012552546935580531,"black,other","asian,latino,white"
9,2.1443272979137236,2.1443272979137236,0.11625272043102788,2.1443272979137236,130.7954887218045,0.25,0.01749455913794424,1.581223873037084,0.2869506031834787,"[106, 128, 140, 149, 152, 157, 175, 204, 223, 238, 245, 250, 252, 254, 334, 340, 345, 348, 356, 372, 384, 403, 405, 429, 43, 442, 444, 446, 447, 458, 466, 467, 470, 475, 481, 489, 58, 63, 81, 92]",40,4,0,0,4,0,9.714285714285714,1.0,"asian,latino,white",0.2666638819270398,0.07620161514898355,0.0012552546935580531,"black,other","asian,latino,white"
