generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.4543721956110032,1.4543721956110032,0.07296957923543684,1.4543721956110032,107.15037593984962,0.17894736842105263,0.03300820995017894,0.4716570582435641,0.38866649591279767,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 339, 340, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",4,4,1,0,36,0,8.59047619047619,1.0,"latino,other,white",0.22451963241436923,0.11620718462823723,0.003900366343315821,"asian,black","latino,other"
1,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,0.523807518768324,0.47191974029077144,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",8,4,0,0,19,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
2,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,0.7740562872217027,0.4863905561150002,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",12,4,0,0,14,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
3,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,0.7843357609630891,0.5360526463347093,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",16,4,0,0,13,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
4,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.1613432049906658,0.4525874478622823,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",20,4,0,0,9,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
5,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.2059836026580315,0.4479944674176712,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",24,4,0,0,5,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
6,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.2478883519584139,0.413464090272779,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",28,4,0,0,6,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
7,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.334235067931384,0.32499783176507113,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",32,4,0,0,6,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
8,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.1741185053745484,0.32657611459335395,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",36,4,0,0,2,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
9,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.2410884909999584,0.33824391252609304,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",40,4,0,0,7,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
10,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.3551549198130868,0.3336473307763545,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",44,4,0,0,5,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
11,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.2114234688694516,0.3370902604963865,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",48,4,0,0,2,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
12,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.2288575003093611,0.3284957835868354,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",52,4,0,0,3,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
13,1.566074294582097,1.566074294582097,0.0803547388505553,1.566074294582097,108.7609022556391,0.18947368421052632,0.02876420650941571,1.201297974583228,0.3378178368394914,"[10, 106, 114, 128, 149, 152, 157, 204, 238, 241, 250, 251, 252, 253, 254, 315, 318, 33, 339, 345, 353, 354, 356, 369, 394, 405, 429, 444, 446, 447, 458, 459, 466, 470, 475, 494, 58, 63, 90, 92]",56,4,0,0,3,0,8.59047619047619,1.0,"latino,other,white",0.22662489557226398,0.10778613199665829,0.0030295929185257756,"asian,black","latino,other"
