generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.219947465635613,0.07330100078120572,1.219947465635613,104.07894736842105,0.17894736842105263,0.03234536685864119,0.08725610859881339,0.39378578118011376,"[114, 12, 127, 13, 140, 175, 200, 214, 238, 245, 250, 251, 252, 263, 264, 266, 302, 327, 33, 334, 335, 339, 348, 372, 384, 403, 44, 464, 470, 475, 481, 492, 495, 52, 63, 79, 81, 85, 87, 92]",16,16,0,60,0,9.066666666666665,1.0,"latino,white,asian",0.23510164299637984,0.17510442773600665,0.007408548910256393,"asian,black,other","latino,white"
1,1.809853397234675,0.08850199403651897,1.809853397234675,106.51015037593984,0.19444444444444445,0.0174404563714065,0.4605831375154523,0.4728290702425499,"[12, 13, 140, 175, 193, 223, 238, 245, 250, 251, 252, 261, 263, 264, 266, 302, 317, 327, 33, 334, 339, 340, 372, 384, 403, 43, 44, 447, 46, 464, 470, 475, 481, 492, 52, 58, 63, 79, 85, 92]",16,16,0,42,0,7.942857142857143,1.0,"white,other,black",0.22377610693400168,0.07764411027568921,0.0017219859730082656,"asian,latino","other,white"
2,1.809853397234675,0.08850199403651897,1.809853397234675,106.51015037593984,0.19444444444444445,0.0174404563714065,0.8068787141335905,0.5168792066871165,"[12, 13, 140, 175, 193, 223, 238, 245, 250, 251, 252, 261, 263, 264, 266, 302, 317, 327, 33, 334, 339, 340, 372, 384, 403, 43, 44, 447, 46, 464, 470, 475, 481, 492, 52, 58, 63, 79, 85, 92]",16,16,0,45,0,7.942857142857143,1.0,"white,other,black",0.22377610693400168,0.07764411027568921,0.0017219859730082656,"asian,latino","other,white"
3,1.809853397234675,0.08850199403651897,1.809853397234675,106.51015037593984,0.19444444444444445,0.0174404563714065,1.198102836057032,0.5062277768676429,"[12, 13, 140, 175, 193, 223, 238, 245, 250, 251, 252, 261, 263, 264, 266, 302, 317, 327, 33, 334, 339, 340, 372, 384, 403, 43, 44, 447, 46, 464, 470, 475, 481, 492, 52, 58, 63, 79, 85, 92]",16,16,0,45,0,7.942857142857143,1.0,"white,other,black",0.22377610693400168,0.07764411027568921,0.0017219859730082656,"asian,latino","other,white"
4,1.809853397234675,0.08850199403651897,1.809853397234675,106.51015037593984,0.19444444444444445,0.0174404563714065,1.4842809267916959,0.5160408778804817,"[12, 13, 140, 175, 193, 223, 238, 245, 250, 251, 252, 261, 263, 264, 266, 302, 317, 327, 33, 334, 339, 340, 372, 384, 403, 43, 44, 447, 46, 464, 470, 475, 481, 492, 52, 58, 63, 79, 85, 92]",16,16,0,47,0,7.942857142857143,1.0,"white,other,black",0.22377610693400168,0.07764411027568921,0.0017219859730082656,"asian,latino","other,white"
5,1.8395723376685806,0.0965812782086495,1.8395723376685806,113.59248120300751,0.21428571428571427,0.02112315786841528,1.6073941695715321,0.522360066576185,"[13, 140, 175, 193, 23, 238, 241, 245, 250, 252, 264, 266, 302, 306, 315, 327, 33, 334, 340, 371, 372, 384, 403, 405, 429, 43, 44, 444, 459, 464, 465, 476, 489, 492, 495, 52, 63, 81, 85, 92]",16,16,0,43,0,8.59047619047619,1.0,"other,latino,white",0.2329406850459482,0.0825229741019215,0.0014809845555129823,"asian,black","latino,other,white"
6,1.8596759734782469,0.0918728157335709,1.8596759734782469,104.2357142857143,0.2,0.016254368532858228,1.6765267756950992,0.5059824920504252,"[12, 13, 140, 193, 223, 245, 251, 252, 263, 264, 266, 302, 314, 315, 317, 327, 33, 334, 339, 340, 349, 354, 363, 371, 372, 384, 429, 43, 44, 447, 464, 465, 481, 492, 52, 58, 63, 81, 85, 92]",16,16,0,44,0,7.295238095238095,1.0,"black,latino,white",0.21544973544973547,0.06910052910052916,0.001678648414098149,asian,"black,latino"
7,1.8596759734782469,0.0918728157335709,1.8596759734782469,104.2357142857143,0.2,0.016254368532858228,1.7043141754252342,0.49705599776576714,"[12, 13, 140, 193, 223, 245, 251, 252, 263, 264, 266, 302, 314, 315, 317, 327, 33, 334, 339, 340, 349, 354, 363, 371, 372, 384, 429, 43, 44, 447, 464, 465, 481, 492, 52, 58, 63, 81, 85, 92]",16,16,0,43,0,7.295238095238095,1.0,"black,latino,white",0.21544973544973547,0.06910052910052916,0.001678648414098149,asian,"black,latino"
8,1.8596759734782469,0.0918728157335709,1.8596759734782469,104.2357142857143,0.2,0.016254368532858228,1.7102588111339645,0.5121885152833798,"[12, 13, 140, 193, 223, 245, 251, 252, 263, 264, 266, 302, 314, 315, 317, 327, 33, 334, 339, 340, 349, 354, 363, 371, 372, 384, 429, 43, 44, 447, 464, 465, 481, 492, 52, 58, 63, 81, 85, 92]",16,16,0,44,0,7.295238095238095,1.0,"black,latino,white",0.21544973544973547,0.06910052910052916,0.001678648414098149,asian,"black,latino"
9,1.9043248919660969,0.09442312026362218,1.9043248919660969,112.2890977443609,0.21052631578947367,0.02168007526222931,1.7565806969055537,0.49049660551524954,"[114, 12, 140, 175, 23, 238, 245, 250, 264, 266, 272, 302, 314, 315, 327, 339, 340, 354, 372, 376, 384, 403, 429, 43, 44, 444, 447, 464, 465, 475, 481, 492, 52, 58, 63, 79, 81, 85, 87, 92]",16,16,0,44,0,7.942857142857143,1.0,"latino,other,black",0.22697298802561958,0.058267891952102524,0.0009845847484827985,asian,"latino,other"
