generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.8999742144160088,0.07060540532825199,1.8999742144160088,117.06015037593986,0.18518518518518517,0.043974374528681186,1.7372023030970336,0.3119568786405657,"[114, 12, 140, 148, 156, 175, 193, 238, 245, 250, 252, 263, 306, 309, 33, 334, 340, 354, 376, 384, 403, 405, 429, 43, 434, 442, 444, 447, 464, 470, 475, 481, 492, 58, 63, 77, 81, 85, 90, 92]",16,16,0,61,0,12.209523809523809,1.0,"white,latino,black",0.3562099693678641,0.7894458368142578,0.20966811967881896,asian,"black,latino,white"
1,2.0194325068250643,0.07992674962492279,2.0194325068250643,106.02105263157894,0.18518518518518517,0.025331685935339604,1.7910025032543477,0.3991827459172905,"[114, 139, 140, 156, 179, 190, 193, 214, 223, 245, 250, 252, 261, 263, 264, 292, 302, 309, 327, 334, 340, 354, 403, 405, 410, 434, 442, 447, 464, 470, 475, 481, 492, 58, 60, 63, 77, 80, 81, 85]",16,16,0,47,0,9.066666666666665,1.0,"white,latino,asian",0.2398189919242551,0.1468003341687552,0.005847176343035875,"asian,black,other","latino,white"
2,2.0194325068250643,0.07992674962492279,2.0194325068250643,106.02105263157894,0.18518518518518517,0.025331685935339604,1.8303774934448827,0.44032611667767474,"[114, 139, 140, 156, 179, 190, 193, 214, 223, 245, 250, 252, 261, 263, 264, 292, 302, 309, 327, 334, 340, 354, 403, 405, 410, 434, 442, 447, 464, 470, 475, 481, 492, 58, 60, 63, 77, 80, 81, 85]",16,16,0,47,0,9.066666666666665,1.0,"white,latino,asian",0.2398189919242551,0.1468003341687552,0.005847176343035875,"asian,black,other","latino,white"
3,2.0194325068250643,0.07992674962492279,2.0194325068250643,106.02105263157894,0.18518518518518517,0.025331685935339604,1.8548374467163025,0.4680564065274067,"[114, 139, 140, 156, 179, 190, 193, 214, 223, 245, 250, 252, 261, 263, 264, 292, 302, 309, 327, 334, 340, 354, 403, 405, 410, 434, 442, 447, 464, 470, 475, 481, 492, 58, 60, 63, 77, 80, 81, 85]",16,16,0,45,0,9.066666666666665,1.0,"white,latino,asian",0.2398189919242551,0.1468003341687552,0.005847176343035875,"asian,black,other","latino,white"
4,2.0194325068250643,0.07992674962492279,2.0194325068250643,106.02105263157894,0.18518518518518517,0.025331685935339604,1.891540930226836,0.4636620488368417,"[114, 139, 140, 156, 179, 190, 193, 214, 223, 245, 250, 252, 261, 263, 264, 292, 302, 309, 327, 334, 340, 354, 403, 405, 410, 434, 442, 447, 464, 470, 475, 481, 492, 58, 60, 63, 77, 80, 81, 85]",16,16,0,45,0,9.066666666666665,1.0,"white,latino,asian",0.2398189919242551,0.1468003341687552,0.005847176343035875,"asian,black,other","latino,white"
5,2.090820757463999,0.08874290113076003,2.090820757463999,109.5390977443609,0.2037037037037037,0.026217901442183632,1.924361469023328,0.4693713175834606,"[12, 139, 140, 175, 179, 193, 238, 245, 250, 252, 263, 266, 285, 306, 309, 315, 327, 33, 334, 340, 354, 403, 405, 43, 434, 44, 442, 444, 447, 458, 470, 475, 476, 481, 492, 495, 58, 77, 81, 90]",16,16,0,46,0,9.276190476190477,1.0,"white,latino,other",0.27141743247006406,0.457165135059872,0.06564268060540907,asian,"black,latino,other,white"
6,2.090820757463999,0.08874290113076003,2.090820757463999,109.5390977443609,0.2037037037037037,0.026217901442183632,1.9284536668234984,0.46587728681756707,"[12, 139, 140, 175, 179, 193, 238, 245, 250, 252, 263, 266, 285, 306, 309, 315, 327, 33, 334, 340, 354, 403, 405, 43, 434, 44, 442, 444, 447, 458, 470, 475, 476, 481, 492, 495, 58, 77, 81, 90]",16,16,0,45,0,9.276190476190477,1.0,"white,latino,other",0.27141743247006406,0.457165135059872,0.06564268060540907,asian,"black,latino,other,white"
7,2.118548836570048,0.09064049786873841,2.118548836570048,110.703007518797,0.2037037037037037,0.022422707966226852,1.9661063515636557,0.483546587247566,"[100, 139, 175, 179, 190, 238, 245, 250, 252, 261, 263, 264, 266, 292, 306, 315, 327, 33, 334, 340, 384, 403, 405, 43, 44, 442, 444, 447, 458, 466, 470, 475, 476, 492, 495, 58, 63, 77, 81, 90]",16,16,0,47,0,8.59047619047619,1.0,"white,other,latino",0.23134224450013924,0.08939014202172096,0.0020686536415918345,"asian,black","other,white"
8,2.1405177169200575,0.09334516031019903,2.1405177169200575,122.58458646616542,0.21296296296296297,0.026272642342564916,2.0128412666429316,0.4926607171145363,"[114, 139, 140, 175, 179, 23, 238, 245, 250, 252, 254, 261, 263, 264, 266, 302, 315, 33, 334, 339, 340, 348, 384, 403, 405, 43, 434, 44, 444, 458, 461, 470, 475, 492, 495, 58, 63, 77, 81, 92]",16,16,0,45,0,10.19047619047619,1.0,"white,asian,latino",0.2737956001113896,0.19053188526872739,0.011468821423899178,"black,other","asian,latino,white"
9,2.1405177169200575,0.09334516031019903,2.1405177169200575,122.58458646616542,0.21296296296296297,0.026272642342564916,2.0192359927744827,0.49812018908915323,"[114, 139, 140, 175, 179, 23, 238, 245, 250, 252, 254, 261, 263, 264, 266, 302, 315, 33, 334, 339, 340, 348, 384, 403, 405, 43, 434, 44, 444, 458, 461, 470, 475, 492, 495, 58, 63, 77, 81, 92]",16,16,0,43,0,10.19047619047619,1.0,"white,asian,latino",0.2737956001113896,0.19053188526872739,0.011468821423899178,"black,other","asian,latino,white"
