generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.5778194558291982,0.6066666897177833,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,62,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
1,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.6868376257149915,0.5781128190665391,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,47,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
2,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.709262904549437,0.548707238718891,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,44,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
3,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.737807728922819,0.5164796258853968,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,45,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
4,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.7688895992965894,0.5149501380152294,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,47,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
5,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.7769314433487984,0.5049531196896707,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,47,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
6,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.79994765469158,0.4833725043081069,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,44,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
7,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.8039798222820433,0.48229631958491825,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,45,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
8,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.809198773746526,0.49268829217131355,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,46,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
9,2.8916551624414084,0.1707040653093489,2.8916551624414084,183.29034635224758,0.3559322033898305,0.014524072771132693,2.8135780938024806,0.4929543528214094,"[10, 100, 117, 127, 137, 140, 156, 21, 224, 227, 229, 230, 238, 263, 264, 27, 272, 286, 29, 294, 302, 303, 325, 339, 34, 344, 359, 371, 384, 429, 43, 446, 449, 477, 481, 70, 77, 80, 81, 90]",16,16,0,46,0,91.64517317612379,1.0,"female,male",0.36637189879636456,0.020879390813068055,0.00021797448036241533,male,female
