generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.399096352997998,0.32783520124322496,"[140, 155, 170, 178, 204, 238, 250, 252, 254, 302, 309, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",4,4,1,0,40,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
1,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.539767981212587,0.2787257798705577,"[140, 155, 170, 178, 204, 238, 250, 252, 254, 302, 309, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",8,4,0,0,23,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
2,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.4782514414136383,0.2727456270023646,"[140, 155, 170, 178, 204, 238, 250, 252, 254, 302, 309, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",12,4,0,0,19,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
3,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.4698458989487264,0.26433689460920845,"[140, 155, 170, 178, 204, 238, 250, 252, 254, 302, 309, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",16,4,3,0,18,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
4,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.606154462269366,0.26351218575580165,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",20,4,0,0,13,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
5,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.541413104117621,0.2624873052103654,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",24,4,0,0,9,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
6,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5961115041184843,0.25823080304596924,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",28,4,3,0,8,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
7,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.4979461235013876,0.2595423694053007,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",32,4,1,0,13,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
8,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5663310032222246,0.2638401155969113,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",36,4,1,0,12,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
9,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5972211768314137,0.2597409122544738,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",40,4,0,0,9,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
10,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5816600990693646,0.27148360473561367,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",44,4,2,0,7,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
11,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.4767207761319154,0.26306348516070976,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",48,4,2,0,11,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
12,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.615709997978397,0.2614749001465417,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",52,4,0,0,1,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
13,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.605535000259288,0.2600060365293404,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",56,4,1,0,8,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
14,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5550590613939463,0.2532384043890414,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",60,4,0,0,8,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
15,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.6044465917530686,0.26267255606894574,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",64,4,0,0,7,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
16,2.73387291582053,2.73387291582053,0.14878878680378482,2.73387291582053,163.58007518796992,0.3142857142857143,0.016708140678144617,2.5919143626814147,0.2636758761517073,"[140, 155, 170, 204, 238, 250, 252, 254, 302, 309, 315, 334, 344, 345, 356, 372, 373, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 79, 80, 81, 90, 92]",68,4,0,0,10,0,12.17142857142857,1.0,"black,latino,white",0.36225842383737117,0.2754831523252575,0.024917699583281668,asian,"black,latino,other,white"
17,2.7428530720123665,2.7428530720123665,0.14998658193621117,2.7428530720123665,161.33007518796992,0.3142857142857143,0.014312550413291941,2.629091575225818,0.2811936402533261,"[140, 155, 170, 204, 238, 241, 250, 252, 254, 302, 309, 315, 334, 339, 344, 345, 356, 372, 376, 384, 403, 405, 429, 43, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 80, 81, 90, 92]",72,4,2,0,14,0,12.17142857142857,1.0,"black,white,latino",0.36040657198551934,0.27918685602896126,0.025693404277115018,asian,"black,latino,white"
18,2.7489521229612506,2.7489521229612506,0.1505209503250055,2.7489521229612506,163.27293233082708,0.3148148148148148,0.013772914164803807,2.6028973423749457,0.27994185605695543,"[114, 140, 155, 170, 204, 238, 241, 250, 252, 254, 302, 309, 315, 334, 339, 344, 345, 356, 372, 376, 384, 403, 405, 429, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 80, 81, 90, 92]",76,4,0,0,12,0,12.819047619047618,1.0,"white,latino,black",0.36612085769980507,0.26775828460038986,0.023710987918758808,asian,"black,latino,other,white"
19,2.7489521229612506,2.7489521229612506,0.1505209503250055,2.7489521229612506,163.27293233082708,0.3148148148148148,0.013772914164803807,2.6297900422281897,0.2846408693758094,"[114, 140, 155, 170, 204, 238, 241, 250, 252, 254, 302, 309, 315, 334, 339, 344, 345, 356, 372, 376, 384, 403, 405, 429, 434, 440, 444, 446, 447, 449, 458, 470, 475, 58, 63, 77, 80, 81, 90, 92]",80,4,0,0,13,0,12.819047619047618,1.0,"white,latino,black",0.36612085769980507,0.26775828460038986,0.023710987918758808,asian,"black,latino,other,white"
