generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.803911652818644,0.05042837900501246,1.803911652818644,50.78481945467944,0.10144927536231885,0.0005925173522939374,1.5871179718274742,0.4892445484962103,"[102, 127, 13, 17, 19, 263, 264, 265, 266, 267, 271, 272, 274, 278, 281, 287, 293, 294, 299, 301, 303, 306, 310, 313, 315, 322, 325, 327, 344, 36, 372, 403, 443, 45, 464, 481, 53, 81, 85, 87]",16,16,0,61,0,25.39240972733972,1.0,"male,female",0.10157209530827807,0.0002456398919184477,3.016947825085334e-08,,
1,1.803911652818644,0.05042837900501246,1.803911652818644,50.78481945467944,0.10144927536231885,0.0005925173522939374,1.7099632266603795,0.44773212072227814,"[102, 127, 13, 17, 19, 263, 264, 265, 266, 267, 271, 272, 274, 278, 281, 287, 293, 294, 299, 301, 303, 306, 310, 313, 315, 322, 325, 327, 344, 36, 372, 403, 443, 45, 464, 481, 53, 81, 85, 87]",16,16,0,46,0,25.39240972733972,1.0,"male,female",0.10157209530827807,0.0002456398919184477,3.016947825085334e-08,,
2,1.8469916420097625,0.05514837472233531,1.8469916420097625,58.63301400147384,0.11594202898550725,0.0056452795408366225,1.7799000190477372,0.4507911602092551,"[102, 127, 13, 14, 17, 19, 263, 264, 265, 266, 267, 27, 271, 272, 274, 281, 287, 293, 294, 299, 300, 303, 306, 313, 315, 327, 33, 344, 36, 369, 37, 393, 406, 44, 45, 464, 481, 53, 81, 85]",16,16,0,46,0,29.31650700073692,1.0,"male,female",0.11729304839105871,0.0027020388111029248,3.6505068683532538e-06,,
3,1.8954420234986482,0.06046485569497028,1.8954420234986482,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8023241182639043,0.4520122929553904,"[102, 137, 14, 17, 19, 23, 263, 264, 265, 266, 267, 27, 271, 272, 274, 287, 294, 299, 300, 306, 313, 315, 325, 344, 36, 369, 37, 38, 393, 44, 443, 45, 464, 481, 495, 53, 61, 77, 81, 85]",16,16,0,45,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
4,1.8954420234986482,0.06046485569497028,1.8954420234986482,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8234294718144766,0.4522467882321104,"[102, 137, 14, 17, 19, 23, 263, 264, 265, 266, 267, 27, 271, 272, 274, 287, 294, 299, 300, 306, 313, 315, 325, 344, 36, 369, 37, 38, 393, 44, 443, 45, 464, 481, 495, 53, 61, 77, 81, 85]",16,16,0,47,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
5,1.8954420234986482,0.06046485569497028,1.8954420234986482,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8318427133689104,0.44196281092461653,"[102, 137, 14, 17, 19, 23, 263, 264, 265, 266, 267, 27, 271, 272, 274, 287, 294, 299, 300, 306, 313, 315, 325, 344, 36, 369, 37, 38, 393, 44, 443, 45, 464, 481, 495, 53, 61, 77, 81, 85]",16,16,0,45,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
6,1.8954420234986482,0.06046485569497028,1.8954420234986482,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8399204322797449,0.44836433524121766,"[102, 137, 14, 17, 19, 23, 263, 264, 265, 266, 267, 27, 271, 272, 274, 287, 294, 299, 300, 306, 313, 315, 325, 344, 36, 369, 37, 38, 393, 44, 443, 45, 464, 481, 495, 53, 61, 77, 81, 85]",16,16,0,46,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
7,1.8954420434986186,0.06046485569497028,1.8954420434986186,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8594395834630804,0.4241410759188755,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 281, 287, 294, 299, 300, 303, 306, 310, 313, 314, 315, 325, 340, 344, 36, 369, 38, 393, 396, 443, 464, 53, 61, 77, 81, 85, 87]",16,16,0,44,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
8,1.8954420434986186,0.06046485569497028,1.8954420434986186,66.48120854826823,0.13043478260869565,0.00950507121875509,1.865160354130581,0.4072679585735282,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 281, 287, 294, 299, 300, 303, 306, 310, 313, 314, 315, 325, 340, 344, 36, 369, 38, 393, 396, 443, 464, 53, 61, 77, 81, 85, 87]",16,16,0,46,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
9,1.8954420434986186,0.06046485569497028,1.8954420434986186,66.48120854826823,0.13043478260869565,0.00950507121875509,1.8681882907861351,0.3940849580385052,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 281, 287, 294, 299, 300, 303, 306, 310, 313, 314, 315, 325, 340, 344, 36, 369, 38, 393, 396, 443, 464, 53, 61, 77, 81, 85, 87]",16,16,0,46,0,33.240604274134114,1.0,"male,female",0.13301400147383935,0.005158437730287402,1.330473990862632e-05,,
10,1.9475598081218717,0.06618887923806895,1.9475598081218717,74.32940309506264,0.14492753623188406,0.012549777755746177,1.8799543211532719,0.39172895761322224,"[108, 127, 13, 137, 17, 19, 263, 264, 266, 267, 27, 271, 274, 281, 287, 294, 299, 300, 303, 306, 310, 313, 315, 325, 33, 340, 344, 38, 393, 396, 44, 45, 464, 481, 53, 61, 77, 81, 85, 87]",16,16,0,46,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
11,1.9475598081218717,0.06618887923806895,1.9475598081218717,74.32940309506264,0.14492753623188406,0.012549777755746177,1.8829824753088222,0.38038496210225703,"[108, 127, 13, 137, 17, 19, 263, 264, 266, 267, 27, 271, 274, 281, 287, 294, 299, 300, 303, 306, 310, 313, 315, 325, 33, 340, 344, 38, 393, 396, 44, 45, 464, 481, 53, 61, 77, 81, 85, 87]",16,16,0,45,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
12,1.9475600731217069,0.06618887923806895,1.9475600731217069,74.32940309506264,0.14492753623188406,0.012549777755746177,1.8953242340019392,0.36548422436131983,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 287, 293, 294, 299, 300, 303, 310, 313, 314, 315, 325, 33, 340, 344, 36, 369, 38, 393, 396, 443, 464, 481, 53, 61, 77, 81, 85]",16,16,0,45,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
13,1.9475600731217069,0.06618887923806895,1.9475600731217069,74.32940309506264,0.14492753623188406,0.012549777755746177,1.898352355657492,0.36030666031432557,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 287, 293, 294, 299, 300, 303, 310, 313, 314, 315, 325, 33, 340, 344, 36, 369, 38, 393, 396, 443, 464, 481, 53, 61, 77, 81, 85]",16,16,0,45,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
14,1.9475600731217069,0.06618887923806895,1.9475600731217069,74.32940309506264,0.14492753623188406,0.012549777755746177,1.9013803320005525,0.35114262871676705,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 287, 293, 294, 299, 300, 303, 310, 313, 314, 315, 325, 33, 340, 344, 36, 369, 38, 393, 396, 443, 464, 481, 53, 61, 77, 81, 85]",16,16,0,45,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
15,1.9475600731217069,0.06618887923806895,1.9475600731217069,74.32940309506264,0.14492753623188406,0.012549777755746177,1.9052135253029872,0.3409376354559224,"[108, 13, 137, 14, 17, 19, 263, 264, 266, 267, 27, 271, 274, 287, 293, 294, 299, 300, 303, 310, 313, 314, 315, 325, 33, 340, 344, 36, 369, 38, 393, 396, 443, 464, 481, 53, 61, 77, 81, 85]",16,16,0,43,0,37.16470154753132,1.0,"male,female",0.14873495455662,0.007614836649471879,2.8992868599070056e-05,,
