generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.1665456600901628,0.3117747706493171,"[10, 108, 114, 140, 155, 17, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",4,4,1,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
1,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.20536568153503632,0.28312440218618645,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",8,4,0,0,19,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
2,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.2617529069755849,0.2875233565016892,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",12,4,0,0,13,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
3,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.23351115457080945,0.2859101261631339,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",16,4,0,0,4,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
4,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.25795115312307504,0.2717647802145114,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",20,4,0,0,9,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
5,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.20362201566992544,0.25745104673243857,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",24,4,0,0,4,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
6,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.2334008008014812,0.2677665213058619,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",28,4,0,0,8,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
7,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.19170551836276606,0.2646844231774995,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",32,4,0,0,8,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
8,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.17091928406700552,0.26919204348458536,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",36,4,0,0,7,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
9,0.3218405417120299,0.3218405417120299,-0.11867444448281124,0.3218405417120299,150.84971603320227,0.0,0.23734888896562248,0.2233446659228494,0.2450018349444269,"[10, 108, 114, 140, 155, 170, 179, 218, 223, 224, 238, 254, 258, 262, 302, 315, 317, 33, 334, 344, 372, 384, 4, 403, 429, 434, 446, 458, 476, 477, 480, 481, 489, 492, 5, 58, 63, 80, 81, 92]",40,4,0,0,6,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.38815068723325596,3.2281278354672844,1.3270060341540617,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
