generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.6497101623639131,-0.1325931233317783,-0.6497101623639131,87.36996505024028,0.0,0.2651862466635566,-0.7699873123569595,0.5414206504846326,"[0, 10, 139, 140, 17, 179, 224, 226, 237, 238, 241, 254, 258, 261, 262, 263, 266, 278, 302, 309, 312, 317, 33, 334, 403, 461, 465, 467, 468, 476, 478, 480, 482, 485, 494, 495, 52, 80, 81, 9]",16,16,0,60,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3554844238330477,3.422791276002285,1.4310502529348947,"lake_los_angeles,leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
1,-0.634800503045185,-0.13107507981828045,-0.634800503045185,81.02900518005367,0.0,0.2621501596365609,-0.7019518684314713,0.5692188971626881,"[0, 10, 122, 139, 140, 17, 179, 223, 226, 229, 241, 254, 258, 261, 262, 263, 266, 278, 302, 309, 312, 33, 4, 403, 43, 461, 464, 465, 467, 468, 478, 480, 482, 485, 495, 5, 52, 80, 81, 9]",16,16,0,42,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3493336501855505,3.9039980988866962,1.8007948910265001,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
2,-0.634800503045185,-0.13107507981828045,-0.634800503045185,81.02900518005367,0.0,0.2621501596365609,-0.688335291787634,0.5473182624262573,"[0, 10, 122, 139, 140, 17, 179, 223, 226, 229, 241, 254, 258, 261, 262, 263, 266, 278, 302, 309, 312, 33, 4, 403, 43, 461, 464, 465, 467, 468, 478, 480, 482, 485, 495, 5, 52, 80, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3493336501855505,3.9039980988866962,1.8007948910265001,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
3,-0.634800503045185,-0.13107507981828045,-0.634800503045185,81.02900518005367,0.0,0.2621501596365609,-0.676439814321347,0.5347536188189548,"[0, 10, 122, 139, 140, 17, 179, 223, 226, 229, 241, 254, 258, 261, 262, 263, 266, 278, 302, 309, 312, 33, 4, 403, 43, 461, 464, 465, 467, 468, 478, 480, 482, 485, 495, 5, 52, 80, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3493336501855505,3.9039980988866962,1.8007948910265001,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
4,-0.6025580782229939,-0.1292537915652286,-0.6025580782229939,87.77341945952693,0.0,0.2585075831304572,-0.6638151364707543,0.5036893541429514,"[12, 122, 138, 139, 140, 223, 229, 238, 254, 257, 258, 260, 262, 263, 266, 3, 309, 317, 33, 334, 403, 43, 461, 462, 463, 464, 465, 467, 476, 480, 482, 485, 492, 5, 52, 58, 8, 81, 9, 92]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.333004959217279,3.3366170744938763,1.436332846292275,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
5,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6475587742219622,0.5074691453252141,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
6,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6381048680145989,0.4894639574275093,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
7,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6341902812949118,0.48174424987408015,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
8,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6270801773981036,0.49354400636955226,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
9,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6270801773981036,0.49354400636955226,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
10,-0.559922176461343,-0.12663527402104907,-0.559922176461343,93.75001560257131,0.0,0.25327054804209814,-0.6194331103042698,0.4705618843951482,"[114, 12, 122, 139, 140, 179, 223, 229, 238, 254, 258, 259, 260, 262, 263, 266, 3, 309, 317, 334, 403, 43, 434, 461, 462, 464, 465, 467, 476, 480, 485, 492, 494, 5, 52, 58, 8, 81, 9, 92]",16,16,0,48,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.33528053423204146,3.321650127941085,1.4250121127679496,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
