generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.2901411527425704,0.2901411527425704,-0.12164120718821146,0.2901411527425704,144.6015602571304,0.0,0.24328241437642292,0.20878806388398885,0.36935529753442703,"[10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 250, 254, 259, 262, 3, 302, 309, 315, 317, 33, 334, 344, 384, 403, 429, 434, 458, 461, 471, 476, 480, 481, 485, 492, 58, 63, 80, 81, 9, 92]",4,4,4,0,40,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3998482949990158,3.4015170500098413,1.3538611699766818,"acton,lake_los_angeles,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
1,0.2975231391280461,0.2975231391280461,-0.1206417272194549,0.2975231391280461,142.5848935904637,0.0,0.2412834544389098,0.2456655415046451,0.3524013545310546,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 315, 317, 33, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",8,4,1,0,26,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3908739360246569,3.257927306420098,1.3352787635961103,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
2,0.2975231391280461,0.2975231391280461,-0.1206417272194549,0.2975231391280461,142.5848935904637,0.0,0.2412834544389098,0.20775030451608426,0.3137824811102099,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 315, 317, 33, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",12,4,1,0,18,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3908739360246569,3.257927306420098,1.3352787635961103,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
3,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.17666447429568244,0.28752671298995464,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",16,4,1,0,15,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
4,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.23636329980655407,0.2879613588796034,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",20,4,3,0,13,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
5,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.20345361539043777,0.29127793100258614,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",24,4,2,0,8,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
6,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.20886564872689806,0.2888041392673809,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",28,4,3,0,11,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
7,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.20936862347259774,0.28088364225401347,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",32,4,1,0,8,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
8,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.18958156186707814,0.29050852208443867,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",36,4,1,0,5,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
9,0.2984574923782375,0.2984574923782375,-0.1205454327113671,0.2984574923782375,142.66952193721525,0.0,0.2410908654227342,0.2351371324816289,0.29585553745118476,"[0, 10, 114, 138, 140, 170, 179, 189, 223, 224, 238, 254, 259, 262, 302, 309, 312, 315, 317, 334, 344, 384, 403, 429, 434, 458, 461, 471, 473, 476, 480, 481, 485, 492, 493, 58, 63, 80, 81, 92]",40,4,3,0,9,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3909531490789683,3.257135175876985,1.3351946197310736,"acton,leona_valley,littlerock,southeast_antelope_valley,sun_village","desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
