generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.6030806508660462,-0.12966453902263736,-0.6030806508660462,92.99915122012108,0.0,0.2593290780452747,-0.7190974958121534,0.5168292726263276,"[0, 10, 139, 140, 17, 179, 189, 224, 225, 230, 238, 239, 241, 258, 261, 262, 263, 275, 302, 309, 312, 315, 317, 33, 334, 372, 403, 461, 465, 471, 476, 480, 482, 485, 493, 494, 495, 52, 8, 81]",16,16,0,63,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.35663637367438156,3.400302929922851,1.4172745736619468,"leona_valley,littlerock,quartz_hill,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale"
1,-0.6030806508660462,-0.12966453902263736,-0.6030806508660462,92.99915122012108,0.0,0.2593290780452747,-0.6744426511837132,0.5242743165282735,"[0, 10, 139, 140, 17, 179, 189, 224, 225, 230, 238, 239, 241, 258, 261, 262, 263, 275, 302, 309, 312, 315, 317, 33, 334, 372, 403, 461, 465, 471, 476, 480, 482, 485, 493, 494, 495, 52, 8, 81]",16,16,0,48,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.35663637367438156,3.400302929922851,1.4172745736619468,"leona_valley,littlerock,quartz_hill,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale"
2,-0.6030806508660462,-0.12966453902263736,-0.6030806508660462,92.99915122012108,0.0,0.2593290780452747,-0.6618558979775108,0.5177552205959733,"[0, 10, 139, 140, 17, 179, 189, 224, 225, 230, 238, 239, 241, 258, 261, 262, 263, 275, 302, 309, 312, 315, 317, 33, 334, 372, 403, 461, 465, 471, 476, 480, 482, 485, 493, 494, 495, 52, 8, 81]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.35663637367438156,3.400302929922851,1.4172745736619468,"leona_valley,littlerock,quartz_hill,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale"
3,-0.5818218004396594,-0.1281650924304966,-0.5818218004396594,93.26696935654996,0.0,0.2563301848609932,-0.6419844424688056,0.5160495351171978,"[0, 1, 10, 114, 139, 17, 189, 223, 224, 229, 238, 241, 257, 258, 260, 262, 3, 309, 312, 315, 317, 33, 334, 372, 4, 403, 429, 43, 461, 462, 463, 464, 471, 476, 480, 485, 495, 5, 63, 81]",16,16,0,48,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3508526205118603,3.32651236923845,1.409038908953892,"leona_valley,littlerock,northeast_antelope_valley,quartz_hill","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
4,-0.5638868752450933,-0.1275384374851395,-0.5638868752450933,102.42934531610808,0.0,0.255076874970279,-0.6293485782673761,0.5308232425875873,"[139, 140, 17, 179, 189, 223, 229, 238, 239, 241, 258, 261, 262, 263, 309, 327, 33, 334, 344, 372, 4, 43, 434, 446, 447, 458, 461, 462, 464, 465, 471, 476, 480, 481, 492, 493, 495, 5, 58, 81]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.370500578495336,3.869328705370645,1.7357275672784853,"leona_valley,littlerock,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
5,-0.5638868752450933,-0.1275384374851395,-0.5638868752450933,102.42934531610808,0.0,0.255076874970279,-0.6092089712316348,0.5283154550598872,"[139, 140, 17, 179, 189, 223, 229, 238, 239, 241, 258, 261, 262, 263, 309, 327, 33, 334, 344, 372, 4, 43, 434, 446, 447, 458, 461, 462, 464, 465, 471, 476, 480, 481, 492, 493, 495, 5, 58, 81]",16,16,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.370500578495336,3.869328705370645,1.7357275672784853,"leona_valley,littlerock,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
6,-0.5638868752450933,-0.1275384374851395,-0.5638868752450933,102.42934531610808,0.0,0.255076874970279,-0.6026721536422457,0.526379018606992,"[139, 140, 17, 179, 189, 223, 229, 238, 239, 241, 258, 261, 262, 263, 309, 327, 33, 334, 344, 372, 4, 43, 434, 446, 447, 458, 461, 462, 464, 465, 471, 476, 480, 481, 492, 493, 495, 5, 58, 81]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.370500578495336,3.869328705370645,1.7357275672784853,"leona_valley,littlerock,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
7,-0.5638868752450933,-0.1275384374851395,-0.5638868752450933,102.42934531610808,0.0,0.255076874970279,-0.5981596050309914,0.5236187090001196,"[139, 140, 17, 179, 189, 223, 229, 238, 239, 241, 258, 261, 262, 263, 309, 327, 33, 334, 344, 372, 4, 43, 434, 446, 447, 458, 461, 462, 464, 465, 471, 476, 480, 481, 492, 493, 495, 5, 58, 81]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.370500578495336,3.869328705370645,1.7357275672784853,"leona_valley,littlerock,southeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill"
8,-0.5309940150344729,-0.12538794148958138,-0.5309940150344729,105.21498158896586,0.0,0.25077588297916276,-0.5898800193958881,0.5275578419785132,"[0, 114, 139, 17, 179, 189, 218, 223, 224, 226, 229, 238, 241, 258, 262, 263, 315, 33, 334, 344, 4, 429, 43, 434, 440, 458, 461, 462, 463, 464, 471, 476, 480, 481, 492, 495, 63, 79, 81, 9]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3550869183241398,3.2926379867402145,1.3883601396248164,"leona_valley,littlerock,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
9,-0.5309940150344729,-0.12538794148958138,-0.5309940150344729,105.21498158896586,0.0,0.25077588297916276,-0.5843494496873334,0.5175706272087943,"[0, 114, 139, 17, 179, 189, 218, 223, 224, 226, 229, 238, 241, 258, 262, 263, 315, 33, 334, 344, 4, 429, 43, 434, 440, 458, 461, 462, 463, 464, 471, 476, 480, 481, 492, 495, 63, 79, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3550869183241398,3.2926379867402145,1.3883601396248164,"leona_valley,littlerock,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
