generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,2.8263051149327607,0.3102581151234664,"[117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 294, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 477, 481, 489, 52, 63, 70, 77, 80, 81, 85, 96]",4,4,2,0,41,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
1,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,2.9240873739435167,0.2582211280637973,"[137, 140, 152, 154, 155, 156, 178, 188, 200, 224, 230, 238, 241, 250, 27, 272, 286, 294, 297, 302, 306, 325, 344, 359, 384, 396, 429, 43, 434, 446, 447, 477, 481, 52, 63, 70, 80, 81, 85, 96]",8,4,0,0,18,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
2,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,3.0401289620994736,0.24314605189594024,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",12,4,0,0,16,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
3,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,3.0031589960018943,0.24491610471666522,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",16,4,0,0,10,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
4,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,3.038999171710485,0.25619621937611997,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",20,4,0,0,5,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
5,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,2.9961643070512616,0.2596100534246132,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",24,4,0,0,5,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
6,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,3.045520801672282,0.26493979508090193,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",28,4,0,0,6,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
7,3.0986749745999127,3.0986749745999127,0.18372797169490374,3.0986749745999127,219.74944731024317,0.4057971014492754,0.03834115805946791,3.0751587470856103,0.25106458181779867,"[137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 27, 272, 286, 297, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 52, 63, 70, 77, 80, 81, 85, 86, 96]",32,4,0,0,4,0,109.87472365512158,1.0,"male,female",0.44018668631785807,0.0687791697371653,0.002365287094866898,female,male
8,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.063345092884608,0.25099138612761157,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",36,4,0,0,8,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
9,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.0717868369065826,0.2398559972590217,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",40,4,0,0,6,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
10,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.050346845520062,0.2488832588016056,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",44,4,0,0,8,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
11,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.0839462444684926,0.24025735626551145,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",48,4,0,0,6,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
12,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.0625863103757185,0.25624636350893387,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",52,4,0,0,10,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
13,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.101673919436421,0.24931251483453776,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",56,4,0,0,10,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
14,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.0629339390036443,0.24565722313653737,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",60,4,0,0,1,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
15,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.066406161225866,0.24522641887508795,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",64,4,0,0,2,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
16,3.1982104757560483,3.1982104757560483,0.19526412238697033,3.1982104757560483,223.44509948415623,0.42028985507246375,0.029761610298523117,3.0939545648153857,0.24618841983708892,"[100, 117, 137, 140, 152, 155, 156, 178, 188, 200, 224, 238, 250, 263, 272, 286, 302, 325, 34, 344, 359, 384, 396, 429, 43, 434, 446, 447, 465, 473, 477, 481, 62, 63, 70, 77, 80, 81, 85, 96]",68,4,0,0,5,0,111.72254974207812,1.0,"male,female",0.4474330631294522,0.05428641611397694,0.0014735074872499277,female,male
