generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.5461453113874635,0.13202958656181762,2.5461453113874635,152.81134856300662,0.2898550724637681,0.025795899340132898,2.2561377638283284,0.6602114369984917,"[100, 121, 128, 137, 138, 150, 154, 168, 22, 221, 229, 230, 238, 241, 263, 267, 27, 272, 293, 300, 303, 325, 34, 343, 366, 371, 393, 434, 447, 45, 465, 471, 476, 481, 489, 63, 81, 84, 85, 90]",16,16,0,62,0,76.40567428150331,1.0,"male,female",0.3059444853844264,0.032178825841316594,0.0005177384162628923,female,male
1,2.6615979287663794,0.14525235734143477,2.6615979287663794,156.50700073691968,0.30434782608695654,0.013843111404086996,2.427928033629435,0.5823082101445576,"[100, 127, 138, 140, 150, 152, 154, 178, 193, 21, 22, 221, 227, 238, 263, 264, 266, 267, 268, 27, 272, 286, 293, 297, 300, 302, 313, 34, 366, 371, 43, 434, 473, 478, 481, 489, 52, 63, 77, 90]",16,16,0,45,0,78.25350036845984,1.0,"male,female",0.31319086219602066,0.01768607221812818,0.0001563985752524227,female,male
2,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.529030543244656,0.572553204818769,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,46,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
3,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.5577308682103146,0.5565890849595562,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,45,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
4,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.600227161523871,0.5532498679242704,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,46,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
5,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.6334595122812603,0.5347367687398807,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,45,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
6,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.71973345428938,0.44716974853034736,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,45,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
7,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.7309663114141047,0.4454154445725778,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,46,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
8,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.757094486450848,0.4655623869221234,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,44,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
9,2.8481305691156398,0.1662091088786331,2.8481305691156398,171.74649963154016,0.3389830508474576,0.006564833090191402,2.779162475638388,0.48445215923855994,"[100, 108, 137, 140, 148, 178, 179, 21, 22, 224, 238, 263, 264, 266, 267, 268, 27, 293, 294, 300, 302, 303, 306, 325, 332, 34, 357, 366, 429, 43, 434, 481, 52, 63, 80, 81, 85, 86, 90, 92]",16,16,0,47,0,85.87324981577008,1.0,"female,male",0.34340456890198967,0.008843036109064117,3.909964381310592e-05,,
