generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.593470207391874,-0.12795208620499143,-0.593470207391874,78.63548024714473,0.0,0.25590417240998287,-0.6745477480069942,0.4736487897632184,"[0, 10, 13, 139, 17, 179, 21, 218, 224, 225, 235, 239, 241, 246, 258, 261, 262, 263, 271, 272, 302, 309, 317, 33, 334, 403, 434, 462, 464, 465, 468, 471, 480, 483, 485, 493, 494, 55, 8, 81]",16,16,0,63,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3099861257135176,3.0334720761981573,1.333581976814179,"leona_valley,littlerock,northeast_antelope_valley,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
1,-0.593470207391874,-0.12795208620499143,-0.593470207391874,78.63548024714473,0.0,0.25590417240998287,-0.6604628312951097,0.46918085649111185,"[0, 10, 13, 139, 17, 179, 21, 218, 224, 225, 235, 239, 241, 246, 258, 261, 262, 263, 271, 272, 302, 309, 317, 33, 334, 403, 434, 462, 464, 465, 468, 471, 480, 483, 485, 493, 494, 55, 8, 81]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3099861257135176,3.0334720761981573,1.333581976814179,"leona_valley,littlerock,northeast_antelope_valley,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
2,-0.593470207391874,-0.12795208620499143,-0.593470207391874,78.63548024714473,0.0,0.25590417240998287,-0.6501950116600286,0.47764575507586166,"[0, 10, 13, 139, 17, 179, 21, 218, 224, 225, 235, 239, 241, 246, 258, 261, 262, 263, 271, 272, 302, 309, 317, 33, 334, 403, 434, 462, 464, 465, 468, 471, 480, 483, 485, 493, 494, 55, 8, 81]",16,16,0,44,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3099861257135176,3.0334720761981573,1.333581976814179,"leona_valley,littlerock,northeast_antelope_valley,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
3,-0.582526923928639,-0.1273085466587865,-0.582526923928639,80.5712600636585,0.0,0.254617093317573,-0.6361679385326604,0.5047281256446393,"[0, 10, 12, 13, 17, 179, 21, 218, 223, 224, 235, 239, 241, 246, 258, 261, 262, 271, 272, 294, 309, 317, 33, 334, 403, 43, 434, 440, 461, 462, 464, 465, 468, 471, 480, 485, 493, 494, 55, 81]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.31069184201556416,3.0264149131776916,1.329991883515427,"leona_valley,littlerock,northeast_antelope_valley,quartz_hill,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
4,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.6289761707412802,0.5087344747073723,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
5,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.6222559755750403,0.5117671445542501,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
6,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.6180136620391858,0.5025491374044069,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
7,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.614801204871412,0.5236932329352202,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,48,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
8,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.614801204871412,0.5236932329352202,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,44,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
9,-0.5563375275723128,-0.12678096611493966,-0.5563375275723128,99.37430880609125,0.0,0.2535619322298793,-0.6075843669801435,0.5152857237919279,"[0, 10, 12, 13, 140, 17, 170, 179, 189, 218, 223, 224, 235, 238, 239, 246, 258, 262, 263, 294, 302, 309, 317, 33, 334, 403, 43, 434, 440, 462, 464, 465, 471, 480, 481, 485, 493, 55, 81, 9]",16,16,0,44,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.36066207711030773,3.5267125622302555,1.4344148755737414,"acton,leona_valley,littlerock,northeast_antelope_valley,quartz_hill","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley,sun_village"
