generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6800380180023033,0.4870176349173353,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,59,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
1,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6577922755005008,0.46880357190486394,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
2,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6507414511734072,0.4696097405913683,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
3,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6445360443503676,0.45637174260266217,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
4,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6423043221254338,0.46023652472981186,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
5,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6361399471821712,0.4638326968355739,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
6,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6261362627633984,0.47768436721087276,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,44,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
7,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6183610590782092,0.47896491023251336,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,47,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
8,-0.5828445582321993,-0.12752310730926733,-0.5828445582321993,83.25574486675404,0.0,0.25504621461853466,-0.6183610590782092,0.47896491023251336,"[0, 10, 13, 140, 17, 170, 179, 224, 226, 230, 239, 241, 246, 258, 261, 262, 263, 271, 275, 302, 312, 317, 33, 334, 40, 403, 434, 462, 465, 468, 469, 471, 480, 482, 485, 494, 495, 80, 81, 9]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3292670632120173,3.365863494303861,1.440483132757893,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,sun_village"
9,-0.5720645987729267,-0.12784822728619188,-0.5720645987729267,98.5898240029957,0.0,0.25569645457238377,-0.6118663333550899,0.4762845184798251,"[10, 12, 13, 140, 17, 170, 223, 224, 226, 229, 238, 254, 257, 262, 263, 271, 275, 3, 302, 309, 315, 33, 334, 403, 428, 43, 434, 458, 461, 462, 463, 464, 471, 476, 477, 480, 485, 493, 63, 81]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3446509584779572,3.042792332176343,1.3169206031808227,"leona_valley,littlerock,quartz_hill,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northeast_antelope_valley,northwest_antelope_valley,northwest_palmdale,palmdale,southeast_antelope_valley"
