generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.4352124203166334,2.4352124203166334,0.12065457970101273,2.4352124203166334,140.59887218045114,0.2631578947368421,0.021848735334816616,2.2696737583563795,0.3135420778677917,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 266, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 81, 90, 92]",4,4,0,0,37,0,11.695238095238095,1.0,"latino,white,other",0.32633528265107214,0.3473294346978558,0.03928885210023729,asian,"black,latino,other,white"
1,2.4352124203166334,2.4352124203166334,0.12065457970101273,2.4352124203166334,140.59887218045114,0.2631578947368421,0.021848735334816616,2.2817493738607357,0.30835877306396065,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 266, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 81, 90, 92]",8,4,1,0,16,0,11.695238095238095,1.0,"latino,white,other",0.32633528265107214,0.3473294346978558,0.03928885210023729,asian,"black,latino,other,white"
2,2.4352124203166334,2.4352124203166334,0.12065457970101273,2.4352124203166334,140.59887218045114,0.2631578947368421,0.021848735334816616,2.2757795493542208,0.2995125985101588,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 266, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 81, 90, 92]",12,4,1,0,11,0,11.695238095238095,1.0,"latino,white,other",0.32633528265107214,0.3473294346978558,0.03928885210023729,asian,"black,latino,other,white"
3,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.2051349478095967,0.2731059519959303,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",16,4,1,0,12,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
4,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.3053381570937304,0.27936333373317096,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",20,4,0,0,11,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
5,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.3136470387866144,0.2765842512899094,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",24,4,0,0,16,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
6,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.3032887712903385,0.26862477999754547,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",28,4,0,0,9,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
7,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.3171046624985836,0.2892042330881294,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",32,4,1,0,12,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
8,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.217486868271741,0.2734638675944884,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",36,4,0,0,12,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
9,2.457502195636858,2.457502195636858,0.12330391981595838,2.457502195636858,138.656015037594,0.2631578947368421,0.016550055104925316,2.2230382057856106,0.28255702142238,"[10, 106, 114, 128, 140, 149, 157, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 334, 340, 345, 348, 356, 403, 405, 429, 434, 442, 444, 446, 447, 458, 470, 474, 475, 497, 58, 63, 81, 90, 92]",40,4,0,0,4,0,11.047619047619046,1.0,"latino,white,black",0.3206209969367865,0.3587580061264274,0.04063046008846182,asian,"black,latino,other,white"
