generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.069730942915778,0.2891553122041957,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",4,4,0,0,43,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
1,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.081955442348555,0.2607359612891369,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",8,4,0,0,21,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
2,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.127811686086407,0.2643396359909017,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",12,4,0,0,9,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
3,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.0978598871502205,0.25496864277074477,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",16,4,0,0,10,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
4,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.134348424565804,0.2527535106115828,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",20,4,0,0,3,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
5,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1450448261323163,0.24243145006541172,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",24,4,0,0,9,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
6,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.117109617558188,0.24595066579567995,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",28,4,0,0,7,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
7,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1307135981602543,0.24844321641158437,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",32,4,0,0,2,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
8,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.123398137368493,0.2609579460300113,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",36,4,0,0,6,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
9,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1011657316775327,0.25363002239304894,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",40,4,0,0,6,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
10,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.0927926456812633,0.26109597225499404,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",44,4,0,0,3,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
11,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.092965767135302,0.2581516958310105,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",48,4,0,0,2,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
12,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1217514953639522,0.24751314212669545,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",52,4,0,0,3,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
13,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.122928963886945,0.2551202966550146,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",56,4,0,0,1,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
14,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1117305861653257,0.25645035102549346,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",60,4,0,0,1,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
15,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.128466192718731,0.25600288672720656,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",64,4,0,0,1,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
16,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.119573561629468,0.2624373538780658,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",68,4,0,0,6,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
17,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.128977487049143,0.25224511998202714,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",72,4,0,0,2,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
18,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.134040052212221,0.2418831951961065,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",76,4,0,0,2,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
19,3.2349585741477336,3.2349585741477336,0.19971635930808035,3.2349585741477336,219.29255711127485,0.42028985507246375,0.020857136456303074,3.1410331776273654,0.23943354657710306,"[137, 140, 152, 155, 156, 168, 178, 188, 200, 224, 227, 238, 250, 263, 27, 272, 286, 295, 297, 325, 344, 359, 366, 384, 396, 429, 434, 446, 447, 476, 477, 481, 52, 63, 70, 80, 81, 82, 85, 96]",80,4,0,0,2,0,109.64627855563742,1.0,"male,female",0.4389584868582658,0.03733726357160405,0.0006970356255077154,female,male
