generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.8328452993159177,0.1646074970583291,2.8328452993159177,168.05084745762713,0.3333333333333333,0.0041183392166751,2.3080557128959613,0.5445565717281643,"[1, 104, 118, 12, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 227, 238, 266, 27, 286, 294, 297, 300, 302, 325, 344, 362, 371, 390, 43, 434, 449, 45, 476, 481, 52, 63, 77, 80, 81]",16,16,0,62,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
1,2.8328452993159177,0.1646074970583291,2.8328452993159177,168.05084745762713,0.3333333333333333,0.0041183392166751,2.4474616086569756,0.5525838079175744,"[1, 104, 118, 12, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 227, 238, 266, 27, 286, 294, 297, 300, 302, 325, 344, 362, 371, 390, 43, 434, 449, 45, 476, 481, 52, 63, 77, 80, 81]",16,16,0,47,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
2,2.8328452993159177,0.1646074970583291,2.8328452993159177,168.05084745762713,0.3333333333333333,0.0041183392166751,2.538954285223964,0.5514047222695129,"[1, 104, 118, 12, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 227, 238, 266, 27, 286, 294, 297, 300, 302, 325, 344, 362, 371, 390, 43, 434, 449, 45, 476, 481, 52, 63, 77, 80, 81]",16,16,0,44,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
3,2.8328452993159177,0.1646074970583291,2.8328452993159177,168.05084745762713,0.3333333333333333,0.0041183392166751,2.6061856300904687,0.5359914792010259,"[1, 104, 118, 12, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 227, 238, 266, 27, 286, 294, 297, 300, 302, 325, 344, 362, 371, 390, 43, 434, 449, 45, 476, 481, 52, 63, 77, 80, 81]",16,16,0,45,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
4,2.8328452993159177,0.1646074970583291,2.8328452993159177,168.05084745762713,0.3333333333333333,0.0041183392166751,2.637965034997407,0.5455969917370893,"[1, 104, 118, 12, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 227, 238, 266, 27, 286, 294, 297, 300, 302, 325, 344, 362, 371, 390, 43, 434, 449, 45, 476, 481, 52, 63, 77, 80, 81]",16,16,0,46,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
5,2.863705006271567,0.16697981947383655,2.863705006271567,192.05232129697865,0.36231884057971014,0.028359201632037038,2.6795861946956707,0.5421192378267714,"[115, 117, 12, 137, 138, 140, 173, 22, 224, 227, 238, 250, 263, 266, 286, 294, 295, 297, 300, 302, 325, 34, 344, 362, 371, 390, 43, 430, 434, 45, 465, 476, 481, 63, 70, 80, 81, 82, 85, 90]",16,16,0,47,0,96.02616064848932,1.0,"male,female",0.3845492507983297,0.044460820437239035,0.0009883822769762062,female,male
6,2.8917930968968237,0.17109040370784256,2.8917930968968237,175.89904200442152,0.34782608695652173,0.005645279540836603,2.7287408819540326,0.5163478602691631,"[104, 108, 115, 117, 125, 127, 13, 137, 140, 21, 224, 227, 238, 250, 263, 266, 27, 293, 294, 295, 297, 302, 332, 34, 344, 371, 420, 429, 43, 434, 45, 465, 476, 481, 52, 63, 70, 81, 85, 90]",16,16,0,45,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
7,2.8917945468967687,0.17109040370784256,2.8917945468967687,175.89904200442152,0.34782608695652173,0.005645279540836603,2.7485309395394624,0.5036558908420848,"[1, 12, 123, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 34, 344, 371, 390, 393, 43, 434, 449, 45, 476, 481, 63, 80, 81, 85, 90]",16,16,0,44,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
8,2.8917945468967687,0.17109040370784256,2.8917945468967687,175.89904200442152,0.34782608695652173,0.005645279540836603,2.7725684045366146,0.5015716602189804,"[1, 12, 123, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 34, 344, 371, 390, 393, 43, 434, 449, 45, 476, 481, 63, 80, 81, 85, 90]",16,16,0,47,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
9,2.8917945468967687,0.17109040370784256,2.8917945468967687,175.89904200442152,0.34782608695652173,0.005645279540836603,2.799417581612754,0.5019668962282147,"[1, 12, 123, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 34, 344, 371, 390, 393, 43, 434, 449, 45, 476, 481, 63, 80, 81, 85, 90]",16,16,0,46,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
10,2.8917945468967687,0.17109040370784256,2.8917945468967687,175.89904200442152,0.34782608695652173,0.005645279540836603,2.8069223395072163,0.49890386783649654,"[1, 12, 123, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 34, 344, 371, 390, 393, 43, 434, 449, 45, 476, 481, 63, 80, 81, 85, 90]",16,16,0,46,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
11,2.8917945468967687,0.17109040370784256,2.8917945468967687,175.89904200442152,0.34782608695652173,0.005645279540836603,2.813840599896073,0.49809041736895804,"[1, 12, 123, 127, 128, 13, 137, 138, 140, 150, 154, 21, 22, 224, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 34, 344, 371, 390, 393, 43, 434, 449, 45, 476, 481, 63, 80, 81, 85, 90]",16,16,0,47,0,87.94952100221076,1.0,"male,female",0.3518791451731761,0.008106116433308774,3.285456181517928e-05,,
12,2.9064566735204003,0.17219139665401437,2.9064566735204003,187.8997789240973,0.36231884057971014,0.017936047271681434,2.82535952336021,0.49916368256172006,"[1, 12, 127, 13, 137, 140, 150, 21, 22, 224, 238, 250, 263, 266, 268, 286, 294, 297, 302, 325, 34, 344, 359, 371, 390, 393, 429, 43, 449, 45, 465, 477, 481, 63, 70, 80, 81, 84, 85, 90]",16,16,0,44,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
13,2.9064566735204003,0.17219139665401437,2.9064566735204003,187.8997789240973,0.36231884057971014,0.017936047271681434,2.831408289388091,0.5072381246832786,"[1, 12, 127, 13, 137, 140, 150, 21, 22, 224, 238, 250, 263, 266, 268, 286, 294, 297, 302, 325, 34, 344, 359, 371, 390, 393, 429, 43, 449, 45, 465, 477, 481, 63, 70, 80, 81, 84, 85, 90]",16,16,0,47,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
14,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.852952690497151,0.5023110296507538,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,44,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
15,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.8539908891055106,0.4928976544738995,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,45,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
16,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.8570115892869516,0.49660012666757947,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,47,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
17,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.8610056733531453,0.49861601606853617,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,46,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
18,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.8630710216721136,0.5016295555902978,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,44,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
19,2.9064570185204808,0.17219139665401437,2.9064570185204808,187.8997789240973,0.36231884057971014,0.017936047271681434,2.864026390097098,0.4992217150497785,"[118, 12, 128, 140, 150, 21, 22, 224, 229, 238, 263, 266, 268, 286, 294, 297, 300, 302, 325, 332, 344, 359, 362, 371, 374, 390, 393, 420, 43, 45, 477, 481, 63, 70, 80, 81, 84, 85, 90, 92]",16,16,0,46,0,93.94988946204865,1.0,"male,female",0.37607467452714316,0.027511667894866088,0.00037844593517870275,female,male
