dataset,protected_attribute,nodes,edges,budget,budget_ratio,target_alpha,rr_sets,mc_runs_eval,population_size,generations,random_seed,spread,mf,dcv_shortfall,dcv_disparity,primary_dcv,target_coverage_ratio,f_score,runtime_seconds,graphsage_spearman,graphsage_precision_at_budget,fairness_gate_status,scalability_pass,output_dir,stack_name,fim_stack,pipeline_mode,permutation_name,embedding_method,community_method,optimizer_mode,diffusion_model,ris_mode,candidate_pool_size,graphsage_training_target,graphsage_hidden_dim,graphsage_embedding_dim,graphsage_epochs_run,graphsage_epochs,use_mf_lift,mf_lift_rounds,mf_lift_candidate_limit,shortfall_repair_rounds,shortfall_repair_candidate_limit,primary_dcv_mode,fscore_mode,dcv_shortfall_zero,target_coverage_pass,fairness_quality_pass,quality,source_file
rice_subset,color,445.0,19320.0,70.0,0.15730337078651685,0.8,2048.0,1000.0,60.0,50.0,,117.173,0.2186799999999999,0.0,0.0847481928430611,0.0,1.0,0.1974929517892347,253.56050989999855,0.8541758252719739,0.6285714285714286,pass,True,results\rice_mf_lift,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,223.0,combined_fairness_gain,32.0,64.0,100.0,,True,8.0,600.0,,,shortfall,shortfall_primary,True,True,True,PASS,result.csv
graph_spa_500_0,age,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,,51.513333333333335,0.095219298245614,0.0,0.0265801043378603,0.0,1.0,0.0885742721611489,6.042740299999423,0.820000686403241,0.7,fail,False,results\graph_spa_age_fast_test,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary,True,True,True,PASS,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,512.0,300.0,20.0,12.0,,40.78,0.0758573388203017,0.0508917894035865,0.0190915571277383,0.050891789403586504,0.4,0.0201926601347807,16.771457999999257,0.9607163745812892,0.65,fail,True,results\ablation_no_graphsage,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,50.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,1024.0,1000.0,40.0,30.0,,41.213,0.0676993464052287,0.0833666103569805,0.0601621549108611,0.08336661035698054,0.6,-0.030707802679467,97.85469879999982,0.9367428941263364,0.6,fail,True,results\graphsage_ea_memetic_full,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,71.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,1024.0,1000.0,40.0,30.0,,41.213,0.0676993464052287,0.0833666103569805,0.0601621549108611,0.08336661035698001,0.6,-0.030707802679467,78.03225480000037,0.9367428941263364,0.6,fail,True,results\graphsage_training_full,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,71.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,512.0,300.0,20.0,12.0,,40.97,0.0677091906721536,0.0805450320279204,0.054518883743945,0.08054503202792046,0.6,-0.026465562291753,17.368852899999183,0.9607163745812892,0.65,fail,True,results\graphsage_training_smoke,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,50.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,512.0,300.0,12.0,5.0,,41.083333333333336,0.0640329218106996,0.06516267689556478,0.06516267689556478,0.06516267689556478,1.0,-0.0005648775424325903,7.693611699998655,,,fail,True,results\no_swarm_smoke_test,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,,,,,,,,,,,disparity,disparity_primary,False,True,False,FAIL,fim_stack_summary.json
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,1.0,2048.0,1000.0,60.0,50.0,,41.566,0.0688765432098765,0.0409786223277909,0.0342959553243599,0.040978622327790995,0.8,0.0193239320509955,266.25966830000107,0.9144567609784412,0.625,fail,True,results\target_first_full,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,400.0,combined_fairness_gain,32.0,64.0,70.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,1.0,1024.0,300.0,40.0,30.0,,41.34666666666666,0.0682441700960219,0.0424386381631037,0.0349463799676992,0.04243863816310374,0.8,0.0170689369409933,58.92299339999954,0.9367428941263364,0.6,fail,True,results\target_first_smoke,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,32.0,64.0,71.0,,,,,,,shortfall,shortfall_primary,False,False,False,FAIL,result.csv
graph_spa_500_0,ethnicity,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,,51.68333333333333,0.0977777777777777,0.0,0.0128130710523486,0.0,1.0,0.0945745100146906,4.979714299997795,0.8133469429975719,0.6,fail,False,results\graph_spa_ethnicity_fast_test,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage_leiden_ris_ic_ea_memetic,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary,True,True,True,PASS,result.csv
