generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.3378525620129,0.36830184971805263,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",4,4,0,0,40,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
1,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.4097204385276365,0.3749047800848473,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",8,4,0,0,25,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
2,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.3988622248124756,0.37796955713156966,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",12,4,0,0,18,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
3,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.4351995376524154,0.38275239490131374,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",16,4,0,0,19,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
4,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.4512643345513,0.38593979822685254,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",20,4,0,0,15,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
5,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.4670277391952817,0.39403818475857566,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",24,4,0,0,13,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
6,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.4726368203327675,0.3941433410087742,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",28,4,0,0,20,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
7,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.393620923263228,0.39986507220094825,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",32,4,0,0,20,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
8,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.3258693091939797,0.4609929720784043,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",36,4,0,0,19,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
9,2.791285014582447,2.791285014582447,0.15289276933476795,2.791285014582447,1519.3682163003305,0.35051546391752575,0.04472992524798985,2.452034445448896,0.396596353477051,"[10284152, 10651272, 11763862, 12149902, 13501922, 13654112, 14062948, 14069593, 14245571, 14268324, 14269768, 14305154, 14307465, 1431301, 14315043, 14350969, 14420451, 14479592, 14527485, 14727321, 14767753, 14770241, 14825622, 14852216, 14858006, 15070780, 15093092, 15145142, 15194724, 15357283, 15422070, 15439239, 15730606, 15791939, 16045488, 16054649, 16152223, 16158546, 16254381, 16269833, 16380856, 16394063, 16395784, 16410966, 16586626, 16945563, 16986733, 17275103, 17357985, 18033114, 18166634, 18183543, 18211716, 18229692, 18301693, 18398842, 18405034, 18444724, 18470677, 18660521, 18725918, 18726713, 18882655, 18983688, 19087305, 19401409, 19444649, 19461979, 19860841, 20077017, 20693960, 20734423, 21395752, 21488707, 21491565, 21702193, 21706932, 21841080, 22026974, 22299209, 22606755, 22975077, 23134293, 23626294, 24222115, 24876633, 24987071, 25671752, 25681991, 26061739, 26478351, 2789161, 28840182, 29103015, 29308780, 29461507, 29591647, 29941073, 30063657, 31237866, 3267891, 33354383, 35444343, 37289924, 37609530, 37750797, 38058345, 38555777, 39080527, 40732805, 43666495, 5699042, 5771302, 6750102, 7594962, 799192, 8053532, 8414602, 8521542, 9909562]",40,4,0,0,16,0,506.45607210011013,1.0,"1,0,2",0.601115217532257,0.797769564935486,0.24389775597804117,2,"0,1"
