generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.0332262219874313,-0.011110137152221908,1.0332262219874313,717.542177267717,0.11340206185567009,0.1356223361601139,0.7361214945197625,0.46552532542829206,"[10104672, 10138132, 10284152, 10732492, 11069572, 11120172, 13253992, 13501922, 13654112, 14061925, 14062948, 14070830, 14110743, 14111623, 14155739, 14268324, 14269768, 14307465, 14315043, 14350969, 14420451, 14444930, 14460783, 14505596, 14514220, 14516061, 14527485, 14702781, 14767753, 14828860, 14832751, 14852216, 14858006, 14923674, 14927129, 15070780, 15093092, 15145142, 15197493, 15357283, 15572221, 15852053, 16054649, 16168407, 16186643, 16335288, 16403341, 16426613, 16548023, 16575742, 16855827, 17173819, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18882655, 18983688, 19160730, 19394410, 19401409, 19479061, 19543485, 19686924, 19753032, 19860841, 20183009, 20635870, 20661527, 20734423, 20745227, 20852423, 21395752, 21838881, 22026974, 22271534, 22295588, 22299209, 22604125, 23015762, 24214759, 24241212, 24369882, 24471813, 24661292, 24920619, 24987071, 25671752, 25681991, 26061739, 27536246, 27646602, 27667262, 29103015, 29777851, 30059344, 30063657, 30197513, 30412906, 31237866, 32294244, 32695795, 34382438, 35541830, 36038057, 36727137, 3675691, 37750797, 40732805, 41947542, 42149443, 5699042, 5771302, 6750102, 6811802, 799192, 8053532, 8521542]",16,16,0,60,0,239.18072575590568,1.0,"1,0,2",0.40397818553819326,0.7475991844791687,0.23108676453150875,2,"0,1"
1,1.1382380484165266,-0.0017145278941008563,1.1382380484165266,750.5731699409972,0.12371134020618557,0.12714039599438728,0.98309973796033,0.49645336918680977,"[10138132, 10284152, 10651272, 11620042, 11763862, 12327342, 13253992, 13501922, 13654112, 14061925, 14062948, 14110743, 14268324, 14307465, 1431301, 14315043, 14333927, 14420451, 14460783, 14479592, 14506615, 14514220, 14527485, 14767753, 14818703, 14852216, 14858006, 14927129, 15011971, 15070780, 15093092, 15145142, 15197493, 15357283, 15572221, 15852053, 15917850, 16054649, 16188243, 16335288, 16380856, 16403341, 16561591, 16670897, 16730276, 16855827, 17291344, 17357985, 17537187, 17850012, 18014005, 18033114, 18102660, 18166634, 18211716, 18221018, 18301693, 18398842, 18405034, 18584267, 18726713, 18882655, 18983688, 19160730, 19202226, 19298258, 19543485, 19860841, 20183009, 20635870, 20661527, 20693960, 20708884, 20734423, 20745227, 20851551, 21248230, 21463619, 21501777, 22026974, 22217321, 22299209, 22303562, 22975077, 23015762, 23769455, 23845287, 24910181, 24987071, 25681991, 26061739, 26478351, 27536246, 27667262, 28644355, 29103015, 29620256, 30059344, 30063657, 30473755, 31237866, 32294244, 32534283, 36727137, 37750797, 38148115, 38843284, 39080527, 40512761, 40732805, 43666495, 5699042, 5771302, 6750102, 6811802, 799192, 8053532, 8414602, 8521542, 901731]",16,16,0,46,0,250.1910566469991,1.0,"1,0,2",0.35220846210925966,0.4569942438061481,0.09419349906242165,"0,2",1
2,1.2275524165611273,0.006502176518516374,1.2275524165611273,789.6670556960383,0.13402061855670103,0.12101626551966828,1.0772025557304836,0.4852499225265847,"[10104672, 10138132, 10651272, 11763862, 13253992, 13501922, 13654112, 14062948, 14110743, 14155739, 14204887, 14268324, 1431301, 14315043, 14333927, 14350969, 14420451, 14527485, 14767753, 14852216, 14858006, 14927129, 15011971, 15070780, 15093092, 15145142, 15162962, 15197493, 15225972, 15357283, 15422070, 15572221, 15730606, 16054649, 16078680, 16335288, 16426613, 16548023, 16561591, 16575742, 16670897, 16796298, 16855827, 16945142, 17173819, 17850012, 18033114, 18102660, 18120477, 18166634, 18301693, 18398842, 18405034, 18584267, 18726713, 18882655, 18983688, 19050831, 19160730, 19202226, 19202272, 19298258, 19394410, 19543485, 19686924, 19792412, 19860841, 20183009, 20635870, 20661527, 20734423, 20745227, 20851551, 21395752, 21463619, 21653078, 22026974, 22217321, 22271534, 22299209, 22303562, 22975077, 23015762, 23769455, 24214759, 24222115, 24920619, 24987071, 25681991, 25841161, 25988864, 26061739, 26478351, 26565599, 27646602, 28644355, 28840182, 29103015, 29461507, 29777851, 30063657, 30473755, 32294244, 32534283, 34382438, 37750797, 38843284, 40732805, 42149443, 43311708, 5699042, 5771302, 6093352, 6750102, 6811802, 689753, 8414602, 8521542, 8971572, 9146202]",16,16,0,46,0,263.22235189867945,1.0,"1,0,2",0.41714034594797084,0.7212748636596136,0.21622513177632585,2,"0,1"
3,1.2883600183401227,0.012543725953540204,1.2883600183401227,843.3647150359852,0.14432989690721648,0.11924244500013607,1.1433408005356054,0.4464042773022197,"[10138132, 10651272, 11620042, 11763862, 12327342, 13253992, 13501922, 13654112, 14062948, 14110743, 14245571, 14268324, 14307465, 1431301, 14315043, 14333927, 14420451, 14444930, 14460783, 14506615, 14514220, 14527485, 14767753, 14832751, 14852216, 14858006, 14927129, 15011971, 15070780, 15093092, 15145142, 15197493, 15225972, 15357283, 15422070, 15572221, 15730606, 15852053, 15865288, 15917850, 16054649, 16188243, 16335288, 16380856, 16426613, 16561591, 16855827, 16945142, 17173819, 17291344, 17850012, 18033114, 18102660, 18166634, 18211716, 18229692, 18301693, 18398842, 18405034, 18584267, 18726713, 18882655, 19050831, 19202226, 19298258, 19401409, 19461979, 19543485, 19686924, 19860841, 20661527, 20734423, 20745227, 20851551, 21062689, 21207933, 21463619, 21543550, 21702193, 21838881, 22026974, 22295588, 22303562, 22604125, 22975077, 23015762, 23769455, 24222115, 24241212, 24920619, 24987071, 25681991, 25841161, 25988864, 26061739, 26478351, 28644355, 28840182, 29103015, 29461507, 29620256, 29777851, 30063657, 32294244, 32534283, 32695795, 37750797, 40732805, 5699042, 5771302, 6750102, 6811802, 689753, 799192, 8414602, 850741, 8521542, 8971572, 9146202, 9244632]",16,16,0,46,0,281.1215716786617,1.0,"1,0,2",0.4024076595560742,0.5285180142211847,0.136475162196012,2,"0,1"
4,1.305523315874632,0.014542381665140859,1.305523315874632,878.2324126304869,0.14948453608247422,0.1203997727521925,1.1925567018220966,0.43025421949094506,"[10104672, 10138132, 10284152, 10651272, 11120172, 11763862, 12222522, 12327342, 13253992, 13501922, 13654112, 14062948, 14110743, 14268324, 1431301, 14315043, 14350969, 14420451, 14444930, 14460783, 14506615, 14514220, 14527485, 14555289, 14767753, 14852216, 14858006, 14959367, 15011971, 15070780, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16426613, 16548023, 16561591, 16575742, 16855827, 17173819, 17416766, 17850012, 18033114, 18102660, 18166634, 18211716, 18229692, 18301693, 18398842, 18405034, 18726713, 18882655, 19202226, 19215129, 19298258, 19394410, 19543485, 19686924, 19745574, 19860841, 20661527, 20734423, 20745227, 20851551, 21207933, 21248230, 21395752, 21463619, 22026974, 22299209, 22975077, 23015762, 23769455, 24222115, 24987071, 25671752, 25681991, 25841161, 25988864, 26061739, 26478351, 28644355, 28840182, 29103015, 29620256, 30063657, 30473755, 32294244, 32534283, 36038057, 37750797, 38843284, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 799192, 8053532, 8414602, 850741, 8521542, 8971572, 9146202, 9244632]",16,16,0,43,0,292.74413754349564,1.0,"1,0,2",0.44116290965153054,0.6732297362524944,0.2004051315946292,2,"0,1"
5,1.305523315874632,0.014542381665140859,1.305523315874632,878.2324126304869,0.14948453608247422,0.1203997727521925,1.2138326371002934,0.4258358980008109,"[10104672, 10138132, 10284152, 10651272, 11120172, 11763862, 12222522, 12327342, 13253992, 13501922, 13654112, 14062948, 14110743, 14268324, 1431301, 14315043, 14350969, 14420451, 14444930, 14460783, 14506615, 14514220, 14527485, 14555289, 14767753, 14852216, 14858006, 14959367, 15011971, 15070780, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16426613, 16548023, 16561591, 16575742, 16855827, 17173819, 17416766, 17850012, 18033114, 18102660, 18166634, 18211716, 18229692, 18301693, 18398842, 18405034, 18726713, 18882655, 19202226, 19215129, 19298258, 19394410, 19543485, 19686924, 19745574, 19860841, 20661527, 20734423, 20745227, 20851551, 21207933, 21248230, 21395752, 21463619, 22026974, 22299209, 22975077, 23015762, 23769455, 24222115, 24987071, 25671752, 25681991, 25841161, 25988864, 26061739, 26478351, 28644355, 28840182, 29103015, 29620256, 30063657, 30473755, 32294244, 32534283, 36038057, 37750797, 38843284, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 799192, 8053532, 8414602, 850741, 8521542, 8971572, 9146202, 9244632]",16,16,0,47,0,292.74413754349564,1.0,"1,0,2",0.44116290965153054,0.6732297362524944,0.2004051315946292,2,"0,1"
6,1.350364541988922,0.017315088161407727,1.350364541988922,807.3772936523375,0.14432989690721648,0.10969972058440103,1.2444644090031851,0.42910609878026,"[10104672, 10138132, 10651272, 11120172, 11620042, 11763862, 12222522, 12327342, 13253992, 13501922, 13654112, 14062948, 14110743, 14245571, 14268324, 14307465, 1431301, 14315043, 14350969, 14420451, 14444930, 14460783, 14506615, 14514220, 14527485, 14555289, 14767753, 14852216, 14858006, 14959367, 15011971, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16548023, 16561591, 16855827, 16945142, 17291344, 17416766, 17537187, 17850012, 18033114, 18102660, 18166634, 18211716, 18229692, 18301693, 18398842, 18405034, 18584267, 18726713, 18882655, 19202226, 19215129, 19298258, 19461979, 19479061, 19543485, 19686924, 19745574, 19860841, 20661527, 20708884, 20734423, 20745227, 20851551, 21248230, 22026974, 22299209, 22303562, 22975077, 23769455, 23845287, 24241212, 24920619, 24987071, 25681991, 26061739, 26478351, 27536246, 28644355, 28840182, 29620256, 29777851, 30063657, 30473755, 31237866, 32695795, 37750797, 38843284, 39080527, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 689753, 799192, 8053532, 8414602, 8521542, 901731, 9244632]",16,16,0,46,0,269.12576455077914,1.0,"1,0,2",0.3590813143429366,0.42950283487144025,0.0850543539214156,"0,2",1
7,1.4230783805078042,0.02430207099948644,1.4230783805078042,851.1001102249887,0.15463917525773196,0.10603503325875908,1.2715001378212145,0.41804353966682334,"[10104672, 10138132, 10284152, 10651272, 11620042, 11763862, 12327342, 13253992, 13501922, 13654112, 14062948, 14069593, 14102919, 14110743, 14245571, 14268324, 1431301, 14315043, 14350969, 14420451, 14460783, 14506615, 14514220, 14527485, 14767753, 14852216, 14858006, 14959367, 15070780, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15592537, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16548023, 16561591, 16575742, 16855827, 16945142, 17112843, 17357985, 17416766, 17537187, 17850012, 18014005, 18033114, 18102660, 18166634, 18211716, 18229692, 182563, 18398842, 18405034, 18584267, 18660521, 18726713, 18882655, 19160730, 19202226, 19215129, 19394410, 19479061, 19543485, 19686924, 19745574, 19860841, 20183009, 20352155, 20661527, 20708884, 20734423, 20851551, 21248230, 21463619, 21501777, 21781613, 22026974, 22299209, 22975077, 23769455, 24008715, 24241212, 24920619, 24987071, 25681991, 26061739, 26478351, 28644355, 28840182, 29103015, 30063657, 37750797, 38843284, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 689753, 7594962, 799192, 8053532, 8414602, 8521542, 901731]",16,16,0,45,0,283.7000367416629,1.0,"1,0,2",0.3688070486358757,0.42833574675628755,0.08149470448102987,"0,2",1
8,1.4230783805078042,0.02430207099948644,1.4230783805078042,851.1001102249887,0.15463917525773196,0.10603503325875908,1.3272658209898611,0.4046814703627629,"[10104672, 10138132, 10284152, 10651272, 11620042, 11763862, 12327342, 13253992, 13501922, 13654112, 14062948, 14069593, 14102919, 14110743, 14245571, 14268324, 1431301, 14315043, 14350969, 14420451, 14460783, 14506615, 14514220, 14527485, 14767753, 14852216, 14858006, 14959367, 15070780, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15592537, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16548023, 16561591, 16575742, 16855827, 16945142, 17112843, 17357985, 17416766, 17537187, 17850012, 18014005, 18033114, 18102660, 18166634, 18211716, 18229692, 182563, 18398842, 18405034, 18584267, 18660521, 18726713, 18882655, 19160730, 19202226, 19215129, 19394410, 19479061, 19543485, 19686924, 19745574, 19860841, 20183009, 20352155, 20661527, 20708884, 20734423, 20851551, 21248230, 21463619, 21501777, 21781613, 22026974, 22299209, 22975077, 23769455, 24008715, 24241212, 24920619, 24987071, 25681991, 26061739, 26478351, 28644355, 28840182, 29103015, 30063657, 37750797, 38843284, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 689753, 7594962, 799192, 8053532, 8414602, 8521542, 901731]",16,16,0,47,0,283.7000367416629,1.0,"1,0,2",0.3688070486358757,0.42833574675628755,0.08149470448102987,"0,2",1
9,1.4230783805078042,0.02430207099948644,1.4230783805078042,851.1001102249887,0.15463917525773196,0.10603503325875908,1.339195154323979,0.4085609132501694,"[10104672, 10138132, 10284152, 10651272, 11620042, 11763862, 12327342, 13253992, 13501922, 13654112, 14062948, 14069593, 14102919, 14110743, 14245571, 14268324, 1431301, 14315043, 14350969, 14420451, 14460783, 14506615, 14514220, 14527485, 14767753, 14852216, 14858006, 14959367, 15070780, 15093092, 15145142, 15197493, 15225972, 15303316, 15357283, 15422070, 15572221, 15592537, 15798850, 15865288, 16040695, 16045488, 16054649, 16078680, 16158546, 16186643, 16188243, 16380856, 16548023, 16561591, 16575742, 16855827, 16945142, 17112843, 17357985, 17416766, 17537187, 17850012, 18014005, 18033114, 18102660, 18166634, 18211716, 18229692, 182563, 18398842, 18405034, 18584267, 18660521, 18726713, 18882655, 19160730, 19202226, 19215129, 19394410, 19479061, 19543485, 19686924, 19745574, 19860841, 20183009, 20352155, 20661527, 20708884, 20734423, 20851551, 21248230, 21463619, 21501777, 21781613, 22026974, 22299209, 22975077, 23769455, 24008715, 24241212, 24920619, 24987071, 25681991, 26061739, 26478351, 28644355, 28840182, 29103015, 30063657, 37750797, 38843284, 40732805, 42149443, 5699042, 5771302, 6750102, 6811802, 689753, 7594962, 799192, 8053532, 8414602, 8521542, 901731]",16,16,0,47,0,283.7000367416629,1.0,"1,0,2",0.3688070486358757,0.42833574675628755,0.08149470448102987,"0,2",1
