generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.7676100245532913,0.05247945328091876,1.7676100245532913,99.8188425370148,0.16326530612244897,0.05830639956061144,1.5304756461409854,0.36751818710205614,"[122, 14, 140, 15, 179, 187, 189, 19, 21, 219, 22, 223, 238, 250, 263, 264, 286, 287, 292, 294, 317, 32, 327, 332, 339, 34, 381, 393, 40, 43, 45, 458, 467, 481, 488, 63, 70, 81, 92, 95]",16,16,0,63,0,11.00514705882353,1.0,"30-39,40-49,65+",0.23022137426399134,0.467349797061682,0.04508161009644815,"25-29,60-64","18-24,30-39,40-49,50-59,65+"
1,1.9027606772741026,0.06621004004563251,1.9027606772741026,97.60341174931511,0.175,0.04257991990873498,1.6501992386853601,0.456658905791765,"[100, 137, 14, 140, 155, 187, 189, 19, 21, 219, 22, 232, 238, 250, 252, 253, 263, 264, 27, 286, 287, 292, 317, 327, 33, 339, 34, 381, 393, 40, 429, 43, 44, 458, 464, 481, 492, 63, 92, 95]",16,16,0,45,0,7.758088235294117,1.0,"18-24,25-29,30-39",0.19444365658351254,0.11026113742200178,0.002522737753640104,"40-49,50-59,60-64","18-24,25-29,30-39,65+"
2,1.9027606772741026,0.06621004004563251,1.9027606772741026,97.60341174931511,0.175,0.04257991990873498,1.726507080664602,0.4982805515646807,"[100, 137, 14, 140, 155, 187, 189, 19, 21, 219, 22, 232, 238, 250, 252, 253, 263, 264, 27, 286, 287, 292, 317, 327, 33, 339, 34, 381, 393, 40, 429, 43, 44, 458, 464, 481, 492, 63, 92, 95]",16,16,0,44,0,7.758088235294117,1.0,"18-24,25-29,30-39",0.19444365658351254,0.11026113742200178,0.002522737753640104,"40-49,50-59,60-64","18-24,25-29,30-39,65+"
3,1.9027606772741026,0.06621004004563251,1.9027606772741026,97.60341174931511,0.175,0.04257991990873498,1.7429101746521671,0.5146821065648931,"[100, 137, 14, 140, 155, 187, 189, 19, 21, 219, 22, 232, 238, 250, 252, 253, 263, 264, 27, 286, 287, 292, 317, 327, 33, 339, 34, 381, 393, 40, 429, 43, 44, 458, 464, 481, 492, 63, 92, 95]",16,16,0,43,0,7.758088235294117,1.0,"18-24,25-29,30-39",0.19444365658351254,0.11026113742200178,0.002522737753640104,"40-49,50-59,60-64","18-24,25-29,30-39,65+"
4,1.9027606772741026,0.06621004004563251,1.9027606772741026,97.60341174931511,0.175,0.04257991990873498,1.7549654037489801,0.5253129392479172,"[100, 137, 14, 140, 155, 187, 189, 19, 21, 219, 22, 232, 238, 250, 252, 253, 263, 264, 27, 286, 287, 292, 317, 327, 33, 339, 34, 381, 393, 40, 429, 43, 44, 458, 464, 481, 492, 63, 92, 95]",16,16,0,47,0,7.758088235294117,1.0,"18-24,25-29,30-39",0.19444365658351254,0.11026113742200178,0.002522737753640104,"40-49,50-59,60-64","18-24,25-29,30-39,65+"
5,1.9027606772741026,0.06621004004563251,1.9027606772741026,97.60341174931511,0.175,0.04257991990873498,1.7839461781422745,0.5147720503084536,"[100, 137, 14, 140, 155, 187, 189, 19, 21, 219, 22, 232, 238, 250, 252, 253, 263, 264, 27, 286, 287, 292, 317, 327, 33, 339, 34, 381, 393, 40, 429, 43, 44, 458, 464, 481, 492, 63, 92, 95]",16,16,0,45,0,7.758088235294117,1.0,"18-24,25-29,30-39",0.19444365658351254,0.11026113742200178,0.002522737753640104,"40-49,50-59,60-64","18-24,25-29,30-39,65+"
6,1.938410837198594,0.07026203199876702,1.938410837198594,108.53072421276204,0.1875,0.046975936002465954,1.8036917554591594,0.5116828681795257,"[108, 122, 140, 15, 178, 179, 186, 187, 189, 21, 22, 223, 232, 250, 252, 253, 263, 264, 275, 286, 292, 294, 317, 327, 33, 332, 40, 403, 43, 44, 45, 476, 481, 485, 490, 492, 63, 81, 92, 95]",16,16,0,46,0,9.381617647058823,1.0,"65+,40-49,18-24",0.2276190146388226,0.2060987032175507,0.009248364400751018,"25-29,30-39,50-59,60-64","18-24,40-49,65+"
7,1.938410837198594,0.07026203199876702,1.938410837198594,108.53072421276204,0.1875,0.046975936002465954,1.8154466882081735,0.5033887595036559,"[108, 122, 140, 15, 178, 179, 186, 187, 189, 21, 22, 223, 232, 250, 252, 253, 263, 264, 275, 286, 292, 294, 317, 327, 33, 332, 40, 403, 43, 44, 45, 476, 481, 485, 490, 492, 63, 81, 92, 95]",16,16,0,45,0,9.381617647058823,1.0,"65+,40-49,18-24",0.2276190146388226,0.2060987032175507,0.009248364400751018,"25-29,30-39,50-59,60-64","18-24,40-49,65+"
8,1.938410837198594,0.07026203199876702,1.938410837198594,108.53072421276204,0.1875,0.046975936002465954,1.8167710933749612,0.5011296176173972,"[108, 122, 140, 15, 178, 179, 186, 187, 189, 21, 22, 223, 232, 250, 252, 253, 263, 264, 275, 286, 292, 294, 317, 327, 33, 332, 40, 403, 43, 44, 45, 476, 481, 485, 490, 492, 63, 81, 92, 95]",16,16,0,46,0,9.381617647058823,1.0,"65+,40-49,18-24",0.2276190146388226,0.2060987032175507,0.009248364400751018,"25-29,30-39,50-59,60-64","18-24,40-49,65+"
9,2.094752846133555,0.08528883342232034,2.094752846133555,113.9385767768646,0.2,0.029422333155359342,1.8372901555836392,0.4959034438541926,"[100, 114, 122, 14, 140, 15, 178, 179, 189, 223, 231, 238, 250, 252, 258, 263, 264, 272, 275, 278, 281, 286, 292, 317, 327, 33, 332, 339, 34, 381, 40, 429, 43, 45, 458, 481, 63, 81, 92, 95]",16,16,0,47,0,9.996200980392157,1.0,"18-24,40-49,65+",0.23574630401611193,0.14681070230289914,0.006101743810770873,"30-39,60-64","18-24,40-49,65+"
