node_id,cluster_id
1,0
10,1
100,2
101,2
102,1
103,2
104,0
105,3
106,2
107,0
108,1
109,4
11,0
110,1
111,0
112,5
113,0
114,1
115,1
116,6
117,6
118,0
119,3
12,4
120,0
121,4
122,2
123,1
124,1
125,1
126,0
127,3
128,1
129,3
13,2
130,4
131,2
132,0
133,2
134,1
135,3
136,2
137,3
138,1
139,3
14,3
140,2
141,1
142,2
143,6
144,4
145,2
146,1
147,0
148,3
149,1
15,4
150,2
151,1
152,4
153,2
154,0
155,2
156,2
157,6
158,6
159,4
16,6
160,7
161,4
162,4
163,1
164,2
165,4
166,4
167,1
168,0
169,0
17,0
170,2
171,2
172,4
173,3
174,2
175,6
176,0
177,0
178,0
179,0
18,3
180,0
181,1
182,0
183,0
184,4
185,3
186,6
187,2
188,4
189,2
19,1
190,0
191,6
192,2
193,1
194,0
195,2
196,3
197,0
198,2
199,0
2,1
20,4
200,0
201,6
202,4
203,1
204,1
205,0
206,3
207,1
208,6
209,2
21,1
210,1
211,3
212,1
213,3
214,3
215,2
216,1
217,1
218,0
219,2
22,6
220,4
221,4
222,2
223,0
224,2
225,1
226,2
227,1
228,2
229,6
23,1
230,6
231,3
232,0
233,3
234,6
235,1
236,6
237,1
238,1
239,2
24,2
240,4
241,2
242,2
243,2
244,2
245,1
246,0
247,4
248,0
249,0
25,4
250,1
251,3
252,1
253,2
254,0
255,6
256,2
257,2
258,1
259,3
26,4
260,3
261,1
262,3
263,6
264,1
265,2
266,1
267,6
268,2
269,1
27,4
270,3
271,3
272,4
273,1
274,1
275,1
276,1
277,2
278,2
279,0
28,2
280,1
281,1
282,0
283,1
284,4
285,6
286,0
287,4
288,2
289,2
29,0
290,6
291,3
292,4
293,1
294,6
295,3
296,3
297,2
298,2
299,0
3,6
30,3
300,2
301,3
302,3
303,4
304,0
305,1
306,4
307,1
308,4
309,1
31,3
310,3
311,4
312,2
313,1
314,1
315,1
316,1
317,1
318,1
319,2
32,1
320,0
321,1
322,0
323,2
324,1
325,6
326,0
327,0
328,3
329,3
33,3
330,2
331,3
332,2
333,6
334,2
335,2
336,1
337,3
338,4
339,4
34,1
340,1
341,4
342,1
343,1
344,6
345,3
346,4
347,3
348,1
349,1
35,2
350,2
351,8
352,9
353,9
354,9
355,10
356,5
357,5
358,5
359,8
36,0
360,5
361,10
362,5
363,5
364,8
365,5
366,5
367,5
368,9
369,5
37,1
370,8
371,10
372,9
373,9
374,9
375,8
376,5
377,8
378,8
379,5
38,1
380,9
381,9
382,5
383,8
384,9
385,9
386,5
387,5
388,5
389,8
39,0
390,9
391,9
392,9
393,8
394,8
395,9
396,9
397,8
398,8
399,8
4,6
40,3
400,9
401,9
402,9
403,8
404,5
405,5
406,9
407,10
408,8
409,8
41,0
410,10
411,9
412,9
413,8
414,5
415,8
416,8
417,9
418,9
419,9
42,1
420,8
421,5
422,9
423,8
424,5
425,9
426,9
427,9
428,8
429,8
43,4
430,9
431,5
432,5
433,8
434,5
435,8
436,5
437,9
438,5
439,5
44,1
440,8
441,8
442,8
443,8
444,8
445,9
446,9
447,9
448,9
449,5
45,1
450,9
451,8
452,8
453,9
454,9
455,5
456,9
457,10
458,9
459,9
46,2
460,8
461,9
462,8
463,5
464,7
465,8
466,8
467,8
468,9
469,5
47,4
470,9
471,5
472,8
473,8
474,9
475,5
476,9
477,9
478,9
479,8
48,0
480,8
481,8
482,6
483,5
484,5
485,5
486,8
487,7
488,8
489,5
49,2
490,9
491,8
492,9
493,8
494,9
495,9
496,8
497,9
498,8
499,9
5,4
50,1
500,8
51,2
52,3
53,0
54,0
55,4
56,6
57,4
58,0
59,2
6,6
60,1
61,2
62,4
63,1
64,1
65,6
66,2
67,1
68,6
69,2
7,4
70,2
71,0
72,3
73,1
74,4
75,4
76,0
77,2
78,1
79,1
8,4
80,0
81,4
82,3
83,3
84,1
85,4
86,0
87,4
88,1
89,1
9,0
90,0
91,2
92,0
93,3
94,0
95,1
96,2
97,2
98,1
99,0
