generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.0075772502582185,0.07255233130302953,2.0075772502582185,89.977572189515,0.17073170731707318,0.02562704471101412,1.251304589446628,0.5584933704016163,"[140, 15, 159, 170, 172, 180, 185, 194, 20, 218, 227, 233, 237, 239, 240, 254, 284, 288, 293, 298, 308, 311, 312, 319, 331, 338, 361, 369, 372, 407, 425, 426, 436, 440, 454, 476, 50, 63, 73, 77]",16,16,0,62,0,44.9887860947575,1.0,"0,1",0.17731987664704235,0.013176338659938308,8.680795024069242e-05,1,0
1,2.138843556006303,0.0874630050244339,2.138843556006303,93.63610877488085,0.1839080459770115,0.008982035928143693,1.7015768752015843,0.5304372468183064,"[120, 159, 172, 180, 185, 20, 208, 233, 240, 254, 256, 277, 282, 284, 29, 293, 298, 308, 312, 331, 338, 361, 369, 372, 373, 405, 407, 410, 426, 436, 440, 454, 467, 476, 49, 50, 63, 73, 77, 81]",16,16,0,44,0,46.81805438744043,1.0,"1,0",0.18951499859826185,0.01121390524250071,6.287583539389246e-05,0,1
2,2.2258806197738688,0.09730979145588789,2.2258806197738688,97.65909728062798,0.1951219512195122,0.0005023683077364102,1.9374911746053791,0.5130043738348774,"[109, 140, 156, 159, 172, 180, 184, 185, 20, 233, 237, 239, 240, 256, 29, 293, 308, 311, 312, 331, 361, 362, 367, 369, 371, 372, 373, 379, 407, 422, 425, 426, 434, 436, 440, 467, 476, 49, 63, 73]",16,16,0,46,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
3,2.2258806197738688,0.09730979145588789,2.2258806197738688,97.65909728062798,0.1951219512195122,0.0005023683077364102,1.9905196944853745,0.5023157670580611,"[109, 140, 156, 159, 172, 180, 184, 185, 20, 233, 237, 239, 240, 256, 29, 293, 308, 311, 312, 331, 361, 362, 367, 369, 371, 372, 373, 379, 407, 422, 425, 426, 434, 436, 440, 467, 476, 49, 63, 73]",16,16,0,46,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
4,2.2258815947738806,0.09730979145588789,2.2258815947738806,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.03326449573054,0.4814229013805517,"[109, 140, 159, 172, 180, 184, 185, 20, 227, 233, 237, 239, 254, 256, 29, 293, 308, 311, 312, 331, 338, 361, 362, 369, 372, 373, 379, 407, 422, 426, 434, 436, 440, 467, 476, 49, 50, 63, 73, 81]",16,16,0,44,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
5,2.2258815947738806,0.09730979145588789,2.2258815947738806,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.0777154239833373,0.4749955646004423,"[109, 140, 159, 172, 180, 184, 185, 20, 227, 233, 237, 239, 254, 256, 29, 293, 308, 311, 312, 331, 338, 361, 362, 369, 372, 373, 379, 407, 422, 426, 434, 436, 440, 467, 476, 49, 50, 63, 73, 81]",16,16,0,45,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
6,2.2258816097738583,0.09730979145588789,2.2258816097738583,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.1148863741300774,0.45634781394123214,"[140, 159, 170, 185, 20, 233, 237, 240, 252, 254, 284, 29, 298, 308, 311, 312, 331, 355, 361, 362, 367, 369, 371, 372, 40, 405, 410, 426, 434, 436, 440, 454, 467, 476, 49, 50, 63, 73, 77, 81]",16,16,0,46,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
7,2.225881644773852,0.09730979145588789,2.225881644773852,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.149423399694125,0.4491818952139989,"[109, 112, 140, 15, 159, 170, 185, 194, 233, 237, 240, 254, 29, 3, 308, 311, 312, 319, 331, 361, 362, 369, 372, 373, 379, 40, 405, 410, 422, 424, 425, 426, 436, 440, 454, 467, 476, 63, 73, 81]",16,16,0,44,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
8,2.225881644773852,0.09730979145588789,2.225881644773852,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.1596137897655066,0.445543912393787,"[109, 112, 140, 15, 159, 170, 185, 194, 233, 237, 240, 254, 29, 3, 308, 311, 312, 319, 331, 361, 362, 369, 372, 373, 379, 40, 405, 410, 422, 424, 425, 426, 436, 440, 454, 467, 476, 63, 73, 81]",16,16,0,44,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
9,2.225881644773852,0.09730979145588789,2.225881644773852,97.65909728062798,0.1951219512195122,0.0005023683077364102,2.166575582223806,0.43766220855222204,"[109, 112, 140, 15, 159, 170, 185, 194, 233, 237, 240, 254, 29, 3, 308, 311, 312, 319, 331, 361, 362, 369, 372, 373, 379, 40, 405, 410, 422, 424, 425, 426, 436, 440, 454, 467, 476, 63, 73, 81]",16,16,0,46,0,48.82954864031399,1.0,"0,1",0.19526212503504345,0.00028034763106249416,3.929739712117617e-08,,
