generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,2.8602388689068596,0.44845670810097865,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",4,4,0,0,41,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
1,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.019717727556362,0.2632202664161531,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",8,4,0,0,17,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
2,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.0619217652880915,0.25831907189814673,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",12,4,0,0,7,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
3,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.0552200667970295,0.31916955046681916,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",16,4,0,0,3,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
4,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.0532301779655286,0.33196496670696235,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",20,4,0,0,7,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
5,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.0625422464203416,0.31960923608009595,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",24,4,0,0,3,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
6,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.026115213167823,0.3887855078984242,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",28,4,0,0,5,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
7,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.034190753543352,0.38920443243683955,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",32,4,0,0,4,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
8,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.049944409097778,0.3829787811624109,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",36,4,0,0,3,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
9,3.319419465145922,3.319419465145922,0.2067442055937297,3.319419465145922,207.02270815811605,0.41379310344827586,0.0003046922608165011,3.044211204316884,0.3891084889755406,"[122, 139, 149, 150, 159, 161, 163, 167, 2, 233, 238, 243, 253, 261, 299, 308, 319, 323, 331, 34, 345, 361, 393, 413, 431, 438, 440, 441, 460, 472, 476, 478, 480, 486, 49, 493, 72, 80, 81, 82]",40,4,0,0,2,0,103.51135407905802,1.0,"1,0",0.4142136248948696,0.000841042893187538,3.5367657409063225e-07,,
