generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.414742921094647,0.5095402012783613,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,62,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
1,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.6901601265017745,0.47770933707499436,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,44,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
2,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.698255992793971,0.48956185528053514,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,44,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
3,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.7332963942376685,0.4836633389266607,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,47,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
4,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.7362593916901967,0.4774553910669411,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,47,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
5,2.834870841529296,0.16485068603712671,2.834870841529296,167.8861788617886,0.3333333333333333,0.0036319612590798656,2.764357184761344,0.45831662753521024,"[102, 105, 11, 121, 124, 139, 149, 159, 163, 167, 185, 2, 21, 238, 261, 299, 308, 309, 314, 319, 324, 34, 345, 360, 386, 393, 398, 406, 408, 431, 438, 441, 468, 473, 49, 496, 63, 72, 80, 94]",16,16,0,47,0,83.9430894308943,1.0,"1,0",0.33739837398373984,0.008130081300813052,3.3049110978915024e-05,,
6,2.872346656999994,0.1690193785499499,2.872346656999994,171.90916736753576,0.34146341463414637,0.0034246575342465673,2.777557588848134,0.4441684003551028,"[105, 11, 115, 139, 150, 163, 167, 173, 179, 185, 2, 21, 233, 238, 261, 269, 308, 309, 312, 331, 332, 339, 34, 345, 360, 386, 406, 408, 431, 438, 468, 473, 475, 484, 494, 496, 63, 72, 80, 82]",16,16,0,47,0,85.95458368376788,1.0,"0,1",0.3431455004205215,0.0033641715727502075,5.658825185450302e-06,,
7,2.872346656999994,0.1690193785499499,2.872346656999994,171.90916736753576,0.34146341463414637,0.0034246575342465673,2.786265677995506,0.44645942924033455,"[105, 11, 115, 139, 150, 163, 167, 173, 179, 185, 2, 21, 233, 238, 261, 269, 308, 309, 312, 331, 332, 339, 34, 345, 360, 386, 406, 408, 431, 438, 468, 473, 475, 484, 494, 496, 63, 72, 80, 82]",16,16,0,46,0,85.95458368376788,1.0,"0,1",0.3431455004205215,0.0033641715727502075,5.658825185450302e-06,,
8,2.872346656999994,0.1690193785499499,2.872346656999994,171.90916736753576,0.34146341463414637,0.0034246575342465673,2.7880018151752806,0.437532187020512,"[105, 11, 115, 139, 150, 163, 167, 173, 179, 185, 2, 21, 233, 238, 261, 269, 308, 309, 312, 331, 332, 339, 34, 345, 360, 386, 406, 408, 431, 438, 468, 473, 475, 484, 494, 496, 63, 72, 80, 82]",16,16,0,47,0,85.95458368376788,1.0,"0,1",0.3431455004205215,0.0033641715727502075,5.658825185450302e-06,,
9,2.872346931999996,0.1690193785499499,2.872346931999996,171.90916736753576,0.34146341463414637,0.0034246575342465673,2.7960485200114817,0.4467949852806046,"[110, 115, 121, 139, 150, 163, 167, 173, 179, 185, 2, 200, 233, 238, 261, 269, 299, 308, 309, 319, 324, 34, 345, 360, 386, 398, 406, 408, 431, 438, 441, 468, 473, 48, 484, 494, 63, 72, 80, 82]",16,16,0,47,0,85.95458368376788,1.0,"0,1",0.3431455004205215,0.0033641715727502075,5.658825185450302e-06,,
