generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.7829421318449827,0.05874606209472746,1.7829421318449827,110.50300751879699,0.16666666666666666,0.049174542477211744,1.6225302108182382,0.3912725083476502,"[114, 12, 139, 140, 156, 175, 193, 214, 242, 245, 251, 252, 253, 302, 309, 33, 334, 340, 344, 354, 376, 384, 403, 405, 410, 429, 43, 434, 442, 444, 447, 470, 475, 492, 58, 63, 80, 81, 85, 92]",16,16,0,62,0,11.523809523809524,1.0,"white,latino,black",0.3082205513784461,0.48140350877192983,0.06559071865126476,"asian,other","black,latino,white"
1,1.9501820116377753,0.07638998293832197,1.9501820116377753,114.06353383458647,0.19444444444444445,0.04166447856780049,1.7039983147638427,0.4607251990299295,"[114, 12, 140, 193, 224, 238, 241, 245, 250, 252, 254, 263, 266, 272, 296, 306, 340, 354, 37, 371, 384, 403, 405, 410, 429, 43, 44, 444, 447, 464, 470, 475, 489, 492, 58, 63, 81, 85, 90, 92]",16,16,0,46,0,9.923809523809522,1.0,"white,other,latino",0.2815956558061821,0.4368086883876358,0.061983849906023764,asian,"black,latino,other,white"
2,1.9501820116377753,0.07638998293832197,1.9501820116377753,114.06353383458647,0.19444444444444445,0.04166447856780049,1.740316448888292,0.474107143227713,"[114, 12, 140, 193, 224, 238, 241, 245, 250, 252, 254, 263, 266, 272, 296, 306, 340, 354, 37, 371, 384, 403, 405, 410, 429, 43, 44, 444, 447, 464, 470, 475, 489, 492, 58, 63, 81, 85, 90, 92]",16,16,0,46,0,9.923809523809522,1.0,"white,other,latino",0.2815956558061821,0.4368086883876358,0.061983849906023764,asian,"black,latino,other,white"
3,1.9501820116377753,0.07638998293832197,1.9501820116377753,114.06353383458647,0.19444444444444445,0.04166447856780049,1.7682976497843792,0.5056971465929394,"[114, 12, 140, 193, 224, 238, 241, 245, 250, 252, 254, 263, 266, 272, 296, 306, 340, 354, 37, 371, 384, 403, 405, 410, 429, 43, 44, 444, 447, 464, 470, 475, 489, 492, 58, 63, 81, 85, 90, 92]",16,16,0,46,0,9.923809523809522,1.0,"white,other,latino",0.2815956558061821,0.4368086883876358,0.061983849906023764,asian,"black,latino,other,white"
4,1.9501820116377753,0.07638998293832197,1.9501820116377753,114.06353383458647,0.19444444444444445,0.04166447856780049,1.8045759111032678,0.5009576845968222,"[114, 12, 140, 193, 224, 238, 241, 245, 250, 252, 254, 263, 266, 272, 296, 306, 340, 354, 37, 371, 384, 403, 405, 410, 429, 43, 44, 444, 447, 464, 470, 475, 489, 492, 58, 63, 81, 85, 90, 92]",16,16,0,44,0,9.923809523809522,1.0,"white,other,latino",0.2815956558061821,0.4368086883876358,0.061983849906023764,asian,"black,latino,other,white"
5,2.1625713367566632,0.09560821950905324,2.1625713367566632,112.953007518797,0.21296296296296297,0.02174652394485648,1.8427622290854027,0.5090368934953016,"[114, 12, 175, 238, 241, 245, 250, 252, 254, 263, 266, 272, 306, 315, 327, 33, 334, 340, 354, 37, 376, 405, 429, 434, 44, 447, 458, 466, 470, 471, 475, 489, 492, 495, 58, 63, 81, 85, 87, 92]",16,16,0,45,0,8.59047619047619,1.0,"white,other,latino",0.2331940963519911,0.08150932887774992,0.0016254159176523559,"asian,black","other,white"
6,2.1625713367566632,0.09560821950905324,2.1625713367566632,112.953007518797,0.21296296296296297,0.02174652394485648,1.8807064899591102,0.5285326018675253,"[114, 12, 175, 238, 241, 245, 250, 252, 254, 263, 266, 272, 306, 315, 327, 33, 334, 340, 354, 37, 376, 405, 429, 434, 44, 447, 458, 466, 470, 471, 475, 489, 492, 495, 58, 63, 81, 85, 87, 92]",16,16,0,44,0,8.59047619047619,1.0,"white,other,latino",0.2331940963519911,0.08150932887774992,0.0016254159176523559,"asian,black","other,white"
7,2.1625713367566632,0.09560821950905324,2.1625713367566632,112.953007518797,0.21296296296296297,0.02174652394485648,1.9284000943988657,0.5235810231292729,"[114, 12, 175, 238, 241, 245, 250, 252, 254, 263, 266, 272, 306, 315, 327, 33, 334, 340, 354, 37, 376, 405, 429, 434, 44, 447, 458, 466, 470, 471, 475, 489, 492, 495, 58, 63, 81, 85, 87, 92]",16,16,0,45,0,8.59047619047619,1.0,"white,other,latino",0.2331940963519911,0.08150932887774992,0.0016254159176523559,"asian,black","other,white"
8,2.1625713367566632,0.09560821950905324,2.1625713367566632,112.953007518797,0.21296296296296297,0.02174652394485648,1.9345083772580502,0.523629903094957,"[114, 12, 175, 238, 241, 245, 250, 252, 254, 263, 266, 272, 306, 315, 327, 33, 334, 340, 354, 37, 376, 405, 429, 434, 44, 447, 458, 466, 470, 471, 475, 489, 492, 495, 58, 63, 81, 85, 87, 92]",16,16,0,46,0,8.59047619047619,1.0,"white,other,latino",0.2331940963519911,0.08150932887774992,0.0016254159176523559,"asian,black","other,white"
9,2.1625713367566632,0.09560821950905324,2.1625713367566632,112.953007518797,0.21296296296296297,0.02174652394485648,1.9636809087603315,0.49884915364595156,"[114, 12, 175, 238, 241, 245, 250, 252, 254, 263, 266, 272, 306, 315, 327, 33, 334, 340, 354, 37, 376, 405, 429, 434, 44, 447, 458, 466, 470, 471, 475, 489, 492, 495, 58, 63, 81, 85, 87, 92]",16,16,0,44,0,8.59047619047619,1.0,"white,other,latino",0.2331940963519911,0.08150932887774992,0.0016254159176523559,"asian,black","other,white"
