generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.2304579108154208,2.2304579108154208,0.09677144995577329,2.2304579108154208,125.57111274871039,0.2318840579710145,0.03834115805946792,1.9974397179354828,0.3539313896886348,"[108, 117, 120, 121, 127, 128, 13, 137, 138, 146, 149, 150, 151, 153, 154, 156, 158, 168, 173, 188, 193, 202, 204, 232, 238, 24, 250, 271, 39, 45, 466, 52, 62, 63, 77, 80, 81, 82, 83, 96]",4,4,1,0,41,0,62.785556374355195,1.0,"male,female",0.2515352493244903,0.039302382706951605,0.0007723386432218443,female,male
1,2.2304579108154208,2.2304579108154208,0.09677144995577329,2.2304579108154208,125.57111274871039,0.2318840579710145,0.03834115805946792,2.063808214486528,0.3716951919654573,"[108, 117, 120, 121, 127, 128, 13, 137, 138, 146, 149, 150, 151, 153, 154, 156, 158, 168, 173, 188, 193, 202, 204, 232, 238, 24, 250, 271, 39, 45, 466, 52, 62, 63, 77, 80, 81, 82, 83, 96]",8,4,0,0,18,0,62.785556374355195,1.0,"male,female",0.2515352493244903,0.039302382706951605,0.0007723386432218443,female,male
2,2.2304579108154208,2.2304579108154208,0.09677144995577329,2.2304579108154208,125.57111274871039,0.2318840579710145,0.03834115805946792,2.052725295351082,0.32745951315933214,"[108, 117, 120, 121, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 232, 238, 24, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",12,4,0,0,11,0,62.785556374355195,1.0,"male,female",0.2515352493244903,0.039302382706951605,0.0007723386432218443,female,male
3,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.097669424441173,0.2663001124272507,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",16,4,3,0,10,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
4,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.090118468414024,0.2650170931168137,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",20,4,0,0,13,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
5,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.0283690927787217,0.27747578271460754,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",24,4,0,0,7,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
6,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.0688397603754436,0.2725576218023568,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",28,4,0,0,2,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
7,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.0618077620248063,0.27589263763842303,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",32,4,2,0,2,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
8,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.091449584435871,0.2679289934650812,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",36,4,0,0,6,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
9,2.295621553335291,2.295621553335291,0.11143294968825486,2.295621553335291,129.26676492262342,0.2463768115942029,0.0235109122176932,2.028417759742373,0.2625748420037697,"[100, 108, 117, 120, 121, 122, 127, 128, 13, 137, 138, 146, 149, 150, 153, 154, 156, 158, 168, 173, 18, 188, 193, 202, 204, 238, 250, 271, 45, 466, 480, 52, 62, 63, 77, 80, 81, 82, 83, 96]",40,4,0,0,5,0,64.63338246131171,1.0,"male,female",0.2587816261360845,0.02480962908376319,0.0003077588476369542,female,male
