generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.4444537402811815,0.11980766368936649,2.4444537402811815,161.11643330876933,0.2898550724637681,0.05023974508503515,2.080725131286222,0.6573939296934448,"[1, 101, 102, 108, 114, 115, 12, 120, 123, 128, 137, 140, 150, 152, 168, 178, 21, 22, 227, 229, 230, 238, 241, 27, 293, 294, 300, 325, 332, 359, 371, 429, 43, 434, 465, 477, 489, 52, 63, 80]",16,16,0,62,0,80.55821665438467,1.0,"male,female",0.3228936379267993,0.06607713092606238,0.0021830936157099944,female,male
1,2.4444537402811815,0.11980766368936649,2.4444537402811815,161.11643330876933,0.2898550724637681,0.05023974508503515,2.2094939782928558,0.6285570594287446,"[1, 101, 102, 108, 114, 115, 12, 120, 123, 128, 137, 140, 150, 152, 168, 178, 21, 22, 227, 229, 230, 238, 241, 27, 293, 294, 300, 325, 332, 359, 371, 429, 43, 434, 465, 477, 489, 52, 63, 80]",16,16,0,45,0,80.55821665438467,1.0,"male,female",0.3228936379267993,0.06607713092606238,0.0021830936157099944,female,male
2,2.559662273562914,0.1330033340137443,2.559662273562914,164.8120854826824,0.30434782608695654,0.03834115805946791,2.32977585713122,0.6050371437237408,"[1, 101, 108, 114, 115, 12, 120, 128, 13, 137, 140, 150, 152, 168, 178, 21, 22, 227, 229, 230, 238, 241, 266, 268, 27, 294, 325, 332, 359, 371, 393, 429, 43, 434, 477, 481, 489, 52, 63, 80]",16,16,0,42,0,82.4060427413412,1.0,"male,female",0.3301400147383935,0.05158437730287396,0.0013304739908626293,female,male
3,2.717073699626551,0.15187765436733128,2.717073699626551,152.35445836403835,0.30434782608695654,0.0005925173522939602,2.374444500352137,0.5832611799189209,"[102, 104, 108, 114, 115, 118, 12, 120, 127, 13, 136, 140, 152, 178, 21, 224, 230, 238, 250, 263, 266, 268, 293, 294, 295, 297, 300, 302, 313, 34, 359, 371, 393, 429, 43, 477, 481, 489, 52, 90]",16,16,0,46,0,76.17722918201918,1.0,"male,female",0.30471628592483424,0.0007369196757553431,2.7152530425768e-07,,
4,2.7745710735484854,0.15819939394363627,2.7745710735484854,160.2026529108327,0.3188405797101449,0.00244179182287235,2.4467787908728282,0.5545909783508125,"[103, 104, 115, 12, 123, 127, 128, 136, 140, 152, 21, 22, 224, 230, 238, 263, 268, 27, 295, 300, 302, 313, 325, 34, 359, 393, 420, 429, 43, 449, 45, 465, 476, 477, 481, 52, 80, 81, 85, 90]",16,16,0,44,0,80.10132645541636,1.0,"male,female",0.3204372390076148,0.00319331859493982,5.098641824394214e-06,,
5,2.7745710735484854,0.15819939394363627,2.7745710735484854,160.2026529108327,0.3188405797101449,0.00244179182287235,2.510066913196605,0.5518742738071436,"[103, 104, 115, 12, 123, 127, 128, 136, 140, 152, 21, 22, 224, 230, 238, 263, 268, 27, 295, 300, 302, 313, 325, 34, 359, 393, 420, 429, 43, 449, 45, 465, 476, 477, 481, 52, 80, 81, 85, 90]",16,16,0,46,0,80.10132645541636,1.0,"male,female",0.3204372390076148,0.00319331859493982,5.098641824394214e-06,,
6,2.832845769315927,0.1646074970583291,2.832845769315927,168.05084745762713,0.3333333333333333,0.0041183392166751,2.591494824044013,0.539118496940547,"[1, 127, 13, 136, 137, 150, 21, 22, 224, 230, 238, 263, 266, 268, 27, 272, 293, 294, 297, 300, 302, 313, 332, 34, 344, 359, 371, 393, 429, 43, 45, 465, 477, 481, 489, 77, 80, 81, 85, 92]",16,16,0,47,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
7,2.832845769315927,0.1646074970583291,2.832845769315927,168.05084745762713,0.3333333333333333,0.0041183392166751,2.6308071426886546,0.5142056353898365,"[1, 127, 13, 136, 137, 150, 21, 22, 224, 230, 238, 263, 266, 268, 27, 272, 293, 294, 297, 300, 302, 313, 332, 34, 344, 359, 371, 393, 429, 43, 45, 465, 477, 481, 489, 77, 80, 81, 85, 92]",16,16,0,45,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
8,2.832845769315927,0.1646074970583291,2.832845769315927,168.05084745762713,0.3333333333333333,0.0041183392166751,2.6412917742038435,0.5204912683687805,"[1, 127, 13, 136, 137, 150, 21, 22, 224, 230, 238, 263, 266, 268, 27, 272, 293, 294, 297, 300, 302, 313, 332, 34, 344, 359, 371, 393, 429, 43, 45, 465, 477, 481, 489, 77, 80, 81, 85, 92]",16,16,0,46,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
9,2.832845769315927,0.1646074970583291,2.832845769315927,168.05084745762713,0.3333333333333333,0.0041183392166751,2.647277574397505,0.4980807284362599,"[1, 127, 13, 136, 137, 150, 21, 22, 224, 230, 238, 263, 266, 268, 27, 272, 293, 294, 297, 300, 302, 313, 332, 34, 344, 359, 371, 393, 429, 43, 45, 465, 477, 481, 489, 77, 80, 81, 85, 92]",16,16,0,46,0,84.02542372881356,1.0,"male,female",0.33615819209039544,0.005649717514124297,1.5959653994701412e-05,,
