generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.168110354268677,0.3593837822381035,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",4,4,4,0,39,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
1,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.191278041625673,0.3273887573339285,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",8,4,4,0,18,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
2,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.17457490068200124,0.28443447816224215,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",12,4,3,0,17,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
3,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.08166851057413588,0.3615378644694862,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",16,4,0,0,10,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
4,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.20630985828000836,0.24221945316351629,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",20,4,2,0,15,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
5,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.15272744103613622,0.2574081742603934,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",24,4,2,0,11,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
6,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.2042364384078985,0.24017647259050268,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",28,4,2,0,6,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
7,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.1779535543012303,0.23833734162289402,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",32,4,2,0,9,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
8,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.20261272030668045,0.23112474294299948,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",36,4,1,0,6,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
9,0.2773630076886703,0.2773630076886703,-0.12225260870269163,0.2773630076886703,135.50714597765713,0.0,0.24450521740538325,0.1922117998877666,0.23720940487321246,"[10, 114, 138, 139, 140, 179, 196, 223, 224, 238, 250, 259, 262, 3, 302, 317, 33, 334, 372, 384, 403, 429, 43, 434, 440, 456, 458, 461, 471, 476, 480, 481, 486, 492, 5, 58, 63, 81, 9, 92]",40,4,3,0,5,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.4072026269929284,3.7423789840565727,1.6397262195175613,"acton,leona_valley,littlerock,northeast_antelope_valley","desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
