generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.6177402503026144,-0.13027971602858174,-0.6177402503026144,86.95574486675405,0.0,0.2605594320571635,-0.8380236578358009,0.5243948750596292,"[0, 10, 117, 139, 17, 170, 223, 224, 238, 241, 258, 262, 263, 264, 286, 3, 309, 317, 393, 403, 428, 43, 434, 461, 463, 465, 467, 468, 471, 476, 479, 480, 482, 485, 495, 5, 52, 58, 8, 81]",16,16,0,62,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.34721578116073526,3.388940417380784,1.4248593579598063,"leona_valley,littlerock,northeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley"
1,-0.6177402503026144,-0.13027971602858174,-0.6177402503026144,86.95574486675405,0.0,0.2605594320571635,-0.725012322484704,0.5270126740503741,"[0, 10, 117, 139, 17, 170, 223, 224, 238, 241, 258, 262, 263, 264, 286, 3, 309, 317, 393, 403, 428, 43, 434, 461, 463, 465, 467, 468, 471, 476, 479, 480, 482, 485, 495, 5, 52, 58, 8, 81]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.34721578116073526,3.388940417380784,1.4248593579598063,"leona_valley,littlerock,northeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley"
2,-0.6177402503026144,-0.13027971602858174,-0.6177402503026144,86.95574486675405,0.0,0.2605594320571635,-0.7077487825303206,0.5083741053775869,"[0, 10, 117, 139, 17, 170, 223, 224, 238, 241, 258, 262, 263, 264, 286, 3, 309, 317, 393, 403, 428, 43, 434, 461, 463, 465, 467, 468, 471, 476, 479, 480, 482, 485, 495, 5, 52, 58, 8, 81]",16,16,0,43,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.34721578116073526,3.388940417380784,1.4248593579598063,"leona_valley,littlerock,northeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley"
3,-0.6177402503026144,-0.13027971602858174,-0.6177402503026144,86.95574486675405,0.0,0.2605594320571635,-0.6833278645537688,0.5411520705238445,"[0, 10, 117, 139, 17, 170, 223, 224, 238, 241, 258, 262, 263, 264, 286, 3, 309, 317, 393, 403, 428, 43, 434, 461, 463, 465, 467, 468, 471, 476, 479, 480, 482, 485, 495, 5, 52, 58, 8, 81]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.34721578116073526,3.388940417380784,1.4248593579598063,"leona_valley,littlerock,northeast_antelope_valley,sun_village","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley"
4,-0.6123372803479016,-0.12933918116684526,-0.6123372803479016,79.19051675716157,0.0,0.2586783623336905,-0.6606804315921125,0.5285439056745656,"[0, 117, 179, 189, 223, 224, 238, 239, 241, 257, 258, 259, 260, 261, 262, 263, 264, 272, 3, 309, 317, 319, 33, 334, 372, 403, 428, 43, 434, 461, 462, 463, 464, 471, 480, 481, 495, 5, 7, 81]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.30187590914982787,2.91832606013471,1.3292092286923096,"leona_valley,littlerock,northeast_antelope_valley,southeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,sun_village"
5,-0.5593968910716658,-0.12678614423418508,-0.5593968910716658,96.38723397615927,0.0,0.25357228846837016,-0.6459835513478666,0.5357902159422486,"[0, 10, 12, 122, 139, 17, 179, 189, 223, 227, 238, 241, 260, 262, 263, 272, 3, 317, 33, 334, 344, 403, 428, 43, 434, 458, 461, 464, 471, 476, 479, 480, 485, 492, 5, 52, 80, 81, 9, 92]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3624412503180524,3.8253524980916853,1.7420317461809562,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
6,-0.5593968910716658,-0.12678614423418508,-0.5593968910716658,96.38723397615927,0.0,0.25357228846837016,-0.6333839924339263,0.49826889906823285,"[0, 10, 12, 122, 139, 17, 179, 189, 223, 227, 238, 241, 260, 262, 263, 272, 3, 317, 33, 334, 344, 403, 428, 43, 434, 458, 461, 464, 471, 476, 479, 480, 485, 492, 5, 52, 80, 81, 9, 92]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3624412503180524,3.8253524980916853,1.7420317461809562,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
7,-0.5593968910716658,-0.12678614423418508,-0.5593968910716658,96.38723397615927,0.0,0.25357228846837016,-0.6278725049282488,0.49439439695591403,"[0, 10, 12, 122, 139, 17, 179, 189, 223, 227, 238, 241, 260, 262, 263, 272, 3, 317, 33, 334, 344, 403, 428, 43, 434, 458, 461, 464, 471, 476, 479, 480, 485, 492, 5, 52, 80, 81, 9, 92]",16,16,0,46,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3624412503180524,3.8253524980916853,1.7420317461809562,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
8,-0.5593968910716658,-0.12678614423418508,-0.5593968910716658,96.38723397615927,0.0,0.25357228846837016,-0.6232777162659446,0.4950127248267544,"[0, 10, 12, 122, 139, 17, 179, 189, 223, 227, 238, 241, 260, 262, 263, 272, 3, 317, 33, 334, 344, 403, 428, 43, 434, 458, 461, 464, 471, 476, 479, 480, 485, 492, 5, 52, 80, 81, 9, 92]",16,16,0,45,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3624412503180524,3.8253524980916853,1.7420317461809562,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
9,-0.5593968910716658,-0.12678614423418508,-0.5593968910716658,96.38723397615927,0.0,0.25357228846837016,-0.6190177696868211,0.4881877536333298,"[0, 10, 12, 122, 139, 17, 179, 189, 223, 227, 238, 241, 260, 262, 263, 272, 3, 317, 33, 334, 344, 403, 428, 43, 434, 458, 461, 464, 471, 476, 479, 480, 485, 492, 5, 52, 80, 81, 9, 92]",16,16,0,44,3,0.0,0.7692307692307693,"desert_view_highlands,northwest_antelope_valley,northwest_palmdale",0.3624412503180524,3.8253524980916853,1.7420317461809562,"leona_valley,littlerock,northeast_antelope_valley","acton,desert_view_highlands,lake_los_angeles,lancaster,northwest_antelope_valley,northwest_palmdale,palmdale,quartz_hill,southeast_antelope_valley,sun_village"
