node_id,cluster_id
10007042,0
10046442,1
10074432,2
10077242,3
10093672,4
10104672,5
10107362,6
10125152,7
10125822,8
10130032,9
10138132,10
10144442,11
10166632,12
10214802,13
10241462,13
10241802,14
10263662,15
10270072,16
10270872,17
10284152,2
1032291,18
10326,19
10332972,20
10348132,21
10367842,22
10507892,23
10523552,24
10524,25
10545772,26
1058591,27
10599392,28
10609292,0
10618402,29
10638782,30
10645702,29
10651272,31
10659742,31
10701982,5
10717512,32
10722102,7
10728992,33
10732492,34
10750192,35
10768042,5
10790832,3
10804132,36
1081091,35
10821392,35
10836002,19
1086591,13
10936542,37
10969982,31
10996862,38
1100251,1
11039482,39
1106311,22
11069572,40
11071232,41
11120172,42
1112751,38
11130772,5
11138972,43
11142222,13
11162812,13
11206912,8
11221192,44
11231562,25
11264322,45
11288162,46
11332342,35
11347052,47
11350892,48
11358372,49
11360912,13
11364652,50
11376132,37
11379982,28
11395432,41
11402482,5
11425612,25
11442052,51
1147031,50
11541862,31
11550142,5
1160081,37
11606702,52
11620042,53
11625152,13
11626822,13
11650012,54
11672342,31
11702862,55
11724382,56
11726732,39
11763862,36
11767072,57
11769872,31
11770552,6
11786302,49
11792612,19
11819122,6
11842342,50
11918842,22
11920922,13
11926262,58
11944562,11
11963282,5
11981952,4
12018412,20
12037502,6
12062282,13
12080652,19
12081592,35
12114432,6
12115732,35
12118882,41
12149902,50
12163342,45
12168312,5
12174212,57
12217472,53
12222522,47
12227112,15
12230022,0
12264532,28
12286822,46
12287142,6
12301112,52
12327342,31
12334662,49
12369282,57
12377702,22
12389772,59
12429382,13
12448322,60
12455292,41
12464552,26
12470922,5
1249501,28
1253451,48
12618652,61
12623252,2
12650962,5
1265601,41
12681372,22
12695882,13
12706762,41
12715022,28
12739402,31
12740012,62
12741382,19
12771132,49
1277191,50
12783392,20
12787922,35
12790082,63
12793382,13
12803772,25
12818,2
12874212,35
1290661,13
12920142,37
12925,44
12952252,53
12964542,5
12966662,18
12967642,5
12973362,64
13008262,53
1304091,8
13043702,24
13051142,45
13116482,65
13118432,9
1315431,30
13159492,13
13170292,5
13211,2
13222222,29
13224342,43
13225072,53
13232092,41
13253832,32
13253992,66
13258742,13
13264762,60
13285072,6
13291122,15
13302,6
1330691,35
13308842,25
13330612,37
13354182,4
13406742,28
13454462,36
13466982,0
13467242,31
13473142,50
13473852,15
13501922,10
13541632,41
13648652,21
13651452,67
13654112,66
13722332,21
13746182,68
13755792,6
13763362,28
13767032,5
13768662,54
13772282,69
13789152,35
13797692,0
13894222,10
13897532,13
13923382,56
13936882,28
13942322,6
13960822,45
13979662,46
14025482,11
14027132,13
14038472,49
14050355,70
14051473,31
14052933,23
14053148,13
14055022,35
14061925,31
14062948,49
14063351,43
14065315,28
14066623,68
14069593,24
14070736,50
14070830,71
14073382,35
14078385,7
14086918,68
14087968,15
14092350,7
14092673,57
14095083,46
14097544,1
14098609,8
14099733,15
14100597,22
14102919,5
14103852,22
14108775,5
14109605,49
14110253,47
14110743,40
14111623,11
14115889,28
14116517,25
14120099,5
14125985,23
14126174,37
14126360,35
14129238,53
14133057,35
14133447,26
14133954,35
14135487,31
14138511,41
14139527,53
14139780,72
14140382,39
14142706,50
14146262,28
14152810,28
14155050,49
14155739,9
14160053,7
14160799,15
14160956,20
14161205,47
14161889,13
14163711,19
14164472,5
14167991,73
14169105,7
14170847,2
14171337,23
14172103,19
14172656,47
14177779,26
14180279,25
14180577,44
14181437,32
14181937,13
14186692,28
14188391,46
14190794,18
14193124,26
14195918,11
14198539,25
14200945,31
14202860,9
14203889,28
14204673,14
14204887,46
14206313,19
14206767,15
14207225,31
14207256,69
14209248,50
14212820,52
14213287,39
14213837,28
14215410,15
14218593,47
14219559,5
14219598,21
14220008,4
14220561,15
14237254,64
14237896,37
14238479,5
14239038,13
14242280,21
14245571,59
14249581,41
14251709,50
14253587,49
14254414,24
14255057,0
14255702,0
14258044,31
14259990,37
14261400,9
14262680,19
14262785,39
14265113,24
14268141,4
14268164,19
14268324,74
14269768,75
14270650,19
14277183,5
14278838,13
14279461,35
14282136,6
14291706,5
14294948,5
14299765,44
14300586,76
14301374,35
14301386,30
14301443,47
14301804,18
14302121,7
14305154,24
14306885,24
14307465,45
1431301,26
14315043,6
14315063,7
1431551,4
14316661,53
14319626,1
14326094,24
14326743,13
14328764,73
14333927,25
14334937,77
14334981,18
14338426,78
14340048,4
14342597,71
14344131,13
14344614,79
14347788,3
14349955,5
14350969,31
14353449,41
14354411,15
14356416,0
14361342,49
14361793,79
14365965,80
14366450,26
14366549,25
14368074,66
14372426,22
14372710,2
14373362,15
14376745,15
14380723,47
14385076,56
14387400,49
14389149,36
14390067,3
14400049,49
14402868,25
14405372,28
14405379,39
14410711,26
14418930,13
14420451,81
14420936,7
14421893,35
14426940,79
14426992,0
14430556,1
14431629,14
14434688,19
14437066,23
14437161,26
14439519,25
14441617,37
14442244,82
14442703,4
14444798,50
14444930,32
14447648,39
14450630,28
14451294,64
14451981,45
14454433,28
14455718,5
14456344,14
14456828,41
14457848,18
14459159,22
14459303,46
14460783,31
14461330,50
14461792,37
14462500,18
14463102,53
14463675,64
14464020,23
14465317,24
14467222,14
14475952,75
14476022,5
14479538,2
14479592,36
14483590,18
14484634,25
14499717,28
14501275,41
14505596,71
14506615,34
14508359,15
14512268,41
14513507,23
14514220,66
14514703,2
14516061,47
14519514,49
14519891,64
14521343,64
14521383,1
14521896,17
14527485,44
14537873,15
14549852,19
14551274,22
14552124,19
14553715,35
14554753,5
14555289,15
14558773,9
14560510,1
14564657,7
14574911,23
14578032,81
1458001,25
14581841,26
14590651,37
14599976,1
14605765,13
14625006,29
14642711,19
14647281,2
14662013,49
14680965,13
14682248,13
14685548,22
14687072,24
14690122,21
14690638,15
14694370,7
14694965,47
14695367,6
14696659,24
14696934,1
14700957,37
14702781,32
14707837,11
14710900,20
14711966,79
14715516,53
14716327,5
14719154,22
14719235,69
14720172,83
14720695,22
14721480,84
14721642,5
14726448,50
14727321,6
14727766,36
14728116,21
14730488,47
14731797,5
14731904,5
14735417,6
14737175,7
14737298,15
14739557,22
14742505,73
14745620,41
14746865,45
14747961,28
14749267,69
14752933,32
14754547,28
147563,19
14759197,49
14763573,13
14767753,31
14770241,32
14771089,20
14772707,19
14773226,47
1477511,46
14778372,15
14778534,46
14778685,15
14783101,15
14785887,64
14786640,28
14788470,35
14788631,32
14790224,80
14792975,31
14793446,58
14794913,17
14795369,19
14796006,5
14799428,69
14799737,46
14802405,74
14803185,4
14808468,45
14812022,5
14813714,14
14818703,40
14824238,17
14824349,19
14824584,64
14825622,25
14825748,5
14828860,34
14828938,1
14829029,47
14830184,25
14832751,33
14834422,22
14834530,17
14837785,44
14837803,24
14842910,46
14849301,2
14849643,58
14850673,6
14852204,35
14852216,81
14852377,19
14854384,10
14856432,28
14857310,47
14858006,81
14861336,51
14863834,9
14866770,2
14871174,41
14871283,64
14872695,14
14875152,15
14879825,56
14882176,49
14887872,5
14901848,25
14909369,1
14912783,49
14914062,18
14916450,6
14923674,70
14925627,11
14927129,7
14930659,13
14931988,28
14932486,58
14935079,19
14949111,28
14950987,64
14951093,10
14951244,28
14951853,17
14959367,33
14964894,82
14965263,7
14965482,9
14966504,64
14976574,77
14980052,15
14980117,36
14982693,5
14983638,31
14983673,36
14984480,24
14985991,56
14986396,60
14990262,32
14992758,5
14994079,6
14994212,0
14996598,85
15001089,22
15005664,21
15006507,80
15007774,0
15008154,23
15011971,46
15013313,61
15013394,55
15017875,61
15020350,0
15038481,46
15053286,15
15053955,18
15055852,31
15063431,25
15064403,15
15068090,35
15068456,67
15070780,53
15070923,5
15073198,13
15074041,28
15076390,48
15078437,25
15079276,5
15082542,21
15085767,40
15087024,63
15088655,11
15093092,39
15098044,28
15100166,39
15102107,45
15105099,31
15105269,30
15108462,5
15112648,31
15113441,7
15122176,43
15127424,28
15130854,21
15133785,47
15135342,69
15140286,60
15145142,69
15156740,66
15157283,47
15162962,33
15165724,49
15170581,15
15172774,31
15174079,41
15177325,79
15184942,1
15186408,86
15186722,1
15186787,31
15189995,15
15194724,35
15197493,40
15200582,43
15202082,69
15207554,5
15212777,37
15220372,58
15221267,42
15225972,13
15231051,13
15236550,45
15244246,13
15244650,64
15245522,28
15251252,64
15254525,81
15256094,9
15256188,66
15258293,13
15261848,5
15264436,6
15264854,87
15264996,56
15266031,14
15269276,0
15272006,13
15272960,75
15279175,46
15285795,45
15286167,35
15286867,41
15286893,15
15291641,31
15294868,5
15296201,28
15297709,46
15298719,14
15299357,86
15300081,5
15303316,33
15305959,68
15307206,62
15309336,81
15312421,39
15312645,41
15315375,13
15319555,44
15322509,61
15324534,49
15326799,54
15328843,41
15328911,23
15333555,45
15336858,32
15338788,31
15338937,12
15339370,32
15354381,68
15357283,26
15357578,46
15359181,11
15365571,68
15370031,32
15374556,13
15374640,21
15375297,15
15385010,35
15385968,68
15390684,9
15394051,1
15400651,28
15404189,47
15409431,18
15412118,25
15420486,64
15422070,50
15427732,19
15437590,17
15438387,31
15439239,35
