cluster_id,size
0,63
1,43
2,52
3,36
4,50
5,179
6,109
7,59
8,16
9,49
10,22
11,47
12,25
13,269
14,36
15,163
16,20
17,31
18,30
19,65
20,14
21,72
22,74
23,43
24,36
25,72
26,52
27,14
28,208
29,26
30,13
31,123
32,69
33,16
34,12
35,137
36,40
37,57
38,25
39,33
40,21
41,66
42,8
43,19
44,41
45,35
46,97
47,60
48,8
49,67
50,60
51,45
52,25
53,48
54,40
55,11
56,17
57,26
58,19
59,10
60,35
61,14
62,18
63,17
64,48
65,20
66,23
67,4
68,20
69,24
70,13
71,15
72,4
73,8
74,14
75,34
76,18
77,6
78,13
79,24
80,14
81,24
82,16
83,11
84,10
85,14
86,4
87,6
88,11
89,9
90,2
91,11
92,3
93,1
94,8
95,5
96,1
97,1
98,5
99,2
