generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,1.7334684066676471,1.7334684066676471,0.03292853131606765,1.7334684066676471,105.3397129186603,0.18181818181818182,0.11596111918604653,1.1572720010009936,0.16326942344649803,"[1007, 1048, 1137, 1175, 1237, 1291, 1494, 1625, 1718, 1897, 2014, 2216, 2333, 2382, 2628, 2659, 2787, 2848, 2855, 2993, 3030, 3232, 3259, 3292, 339, 3634, 3782, 3825, 4171, 4359, 4480, 4493, 4945, 4996, 5, 5035, 5078, 5135, 5306, 5338, 5351, 5370, 5482, 5615, 5679, 5698, 5730, 5785, 5879, 6019, 6090, 6096, 6097, 642, 677, 695, 72, 822, 97, 970]",4,4,0,0,30,0,52.66985645933015,1.0,"0,1",0.21722488038277513,0.0708133971291866,0.002507268606487947,1,0
1,1.7334684066676471,1.7334684066676471,0.03292853131606765,1.7334684066676471,105.3397129186603,0.18181818181818182,0.11596111918604653,1.2133709761313978,0.27076692721224516,"[1007, 1048, 1137, 1175, 1237, 1291, 1494, 1625, 1718, 1897, 2014, 2216, 2333, 2382, 2628, 2659, 2787, 2848, 2855, 2993, 3030, 3232, 3259, 3292, 339, 3634, 3782, 3825, 4171, 4359, 4480, 4493, 4945, 4996, 5, 5035, 5078, 5135, 5306, 5338, 5351, 5370, 5482, 5615, 5679, 5698, 5730, 5785, 5879, 6019, 6090, 6096, 6097, 642, 677, 695, 72, 822, 97, 970]",8,4,0,0,12,0,52.66985645933015,1.0,"0,1",0.21722488038277513,0.0708133971291866,0.002507268606487947,1,0
2,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.3199444661512465,0.4173462263998791,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",12,4,0,0,15,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
3,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.5876349565964127,0.5332035540025276,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",16,4,0,0,20,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
4,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.657226163374213,0.5371034282817516,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",20,4,0,0,20,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
5,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.66170864815474,0.4994626396940047,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",24,4,0,0,21,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
6,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.7442820144000626,0.4413148720202819,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",28,4,0,0,27,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
7,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.7622418501284351,0.4689614244014965,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",32,4,0,0,17,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
8,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.7663139795985459,0.4533444203207354,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",36,4,0,0,20,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
9,2.2128774246176985,2.2128774246176985,0.08857564194267023,2.2128774246176985,79.91866028708134,0.17894736842105263,0.0017960845357121611,1.7915400488304163,0.4518801509210693,"[1235, 1318, 1324, 1335, 1424, 1448, 1494, 1718, 1847, 1849, 1897, 2014, 2317, 2333, 2382, 2730, 2787, 2908, 3010, 3030, 3078, 3197, 3341, 3364, 3374, 3825, 3830, 3924, 4171, 4359, 4472, 4480, 4493, 4519, 4671, 4996, 5, 5000, 5078, 5082, 5107, 5135, 5351, 5528, 5698, 5834, 586, 5879, 5958, 6019, 605, 6090, 6096, 6109, 616, 642, 775, 813, 947, 970]",40,4,0,0,17,0,39.95933014354067,1.0,"1,0",0.18038277511961723,0.0028708133971291905,4.120784780568222e-06,,
