generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.2604187071892285,2.2604187071892285,0.08538203863448304,2.2604187071892285,125.92663476874003,0.24242424242424243,0.07166016515527636,1.8909855433666003,0.3219997601203322,"[1092, 1159, 1215, 13, 1424, 1477, 1550, 1561, 1593, 1771, 1822, 1849, 1978, 20, 205, 2055, 2121, 220, 2382, 2628, 2684, 291, 2946, 3030, 3073, 3078, 3087, 325, 3374, 3382, 3825, 3830, 3872, 4001, 4241, 4359, 4398, 4945, 4960, 507, 5306, 5463, 5513, 5558, 5625, 5686, 569, 5730, 5834, 586, 5913, 599, 6019, 6090, 6119, 773, 817, 822, 938, 947]",4,4,0,0,30,0,62.963317384370015,1.0,"0,1",0.2685805422647528,0.0523125996810207,0.0013683040426933635,1,0
1,2.2604187071892285,2.2604187071892285,0.08538203863448304,2.2604187071892285,125.92663476874003,0.24242424242424243,0.07166016515527636,1.8615073923603584,0.29484983786734936,"[1092, 1159, 1215, 13, 1424, 1477, 1550, 1561, 1593, 1771, 1822, 1849, 1978, 20, 205, 2055, 2121, 220, 2382, 2628, 2684, 291, 2946, 3030, 3073, 3078, 3087, 325, 3374, 3382, 3825, 3830, 3872, 4001, 4241, 4359, 4398, 4945, 4960, 507, 5306, 5463, 5513, 5558, 5625, 5686, 569, 5730, 5834, 586, 5913, 599, 6019, 6090, 6119, 773, 817, 822, 938, 947]",8,4,0,0,4,0,62.963317384370015,1.0,"0,1",0.2685805422647528,0.0523125996810207,0.0013683040426933635,1,0
2,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,1.9834021068606087,0.322241885949046,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",12,4,0,0,10,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
3,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.0351970559332226,0.42393882212145767,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",16,4,0,0,7,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
4,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.0727801060338384,0.4544553033663283,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",20,4,0,0,11,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
5,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.0857528965978025,0.5186081503832084,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",24,4,1,0,7,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
6,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.151558620660799,0.5201513545323561,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",28,4,2,0,14,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
7,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.143564258934802,0.524699929952519,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",32,4,1,0,11,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
8,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.1736519778171086,0.5217719402910129,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",36,4,1,0,4,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
9,2.3143927775710846,2.3143927775710846,0.09174186207989465,2.3143927775710846,122.29505582137162,0.24242424242424243,0.05894051826445314,2.1776285002557794,0.5474333655776643,"[1007, 1009, 1137, 1159, 1215, 1237, 13, 1318, 1335, 1424, 1561, 1593, 1771, 1792, 1822, 1849, 20, 2055, 2317, 2628, 2908, 2946, 3010, 325, 3255, 3341, 3374, 3382, 3413, 3825, 3830, 3872, 3924, 3939, 4018, 4241, 4359, 4398, 4727, 5082, 5165, 5306, 5463, 5482, 5558, 5625, 5730, 578, 5828, 5834, 586, 5879, 5906, 5913, 6019, 6090, 6119, 695, 822, 938]",40,4,2,0,18,0,61.14752791068581,1.0,"0,1",0.26331738437001595,0.04178628389154704,0.0008730467607324817,1,0
