generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.9535525884748309,0.0007485838505470258,0.9535525884748309,138.7,0.033539019963702364,0.03204185226260831,0.7551297525612475,0.5680245406413956,"[10651272, 10790832, 11231562, 11541862, 11763862, 12149902, 1315431, 13253992, 13501922, 13654112, 14062948, 14299765, 14305154, 14315043, 14319626, 14350969, 14420451, 14514220, 14519891, 14527485, 14599976, 147563, 14849643, 14932486, 14986396, 15011971, 15070780, 15076390, 15078437, 15093092, 15130854, 15145142, 15225972, 15357283, 15439239, 15513388, 15757811, 15791939, 15953354, 16045488, 16054649, 16236786, 16254381, 16335288, 16395784, 16586626, 16918618, 16958590, 17173775, 17275103, 17316916, 17365848, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18179554, 18398842, 18405034, 18551792, 18954398, 19109908, 19394410, 19564125, 19686924, 19782176, 20088940, 20661527, 20734423, 21266715, 21463619, 21491565, 21550185, 21808591, 22026974, 22078338, 22183550, 22242176, 22461427, 23015762, 23456569, 23516386, 2384071, 23843209, 23885448, 24599593, 24987071, 25546904, 25681991, 25803035, 26061739, 26478351, 27486099, 28840182, 29103015, 29308780, 30063657, 30296618, 35478531, 35501247, 37750797, 38058345, 38189795, 40732805, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8053532, 8521542, 8820652, 9146202]",20,256,0,314,0,46.23333333333333,1.0,"1,0,2",0.05284457435765907,0.07065493730618722,0.0018774362084204674,2,"0,1"
1,0.9535525884748309,0.0007485838505470258,0.9535525884748309,138.7,0.033539019963702364,0.03204185226260831,0.866789323759073,0.5184803413067894,"[10651272, 10790832, 11231562, 11541862, 11763862, 12149902, 1315431, 13253992, 13501922, 13654112, 14062948, 14299765, 14305154, 14315043, 14319626, 14350969, 14420451, 14514220, 14519891, 14527485, 14599976, 147563, 14849643, 14932486, 14986396, 15011971, 15070780, 15076390, 15078437, 15093092, 15130854, 15145142, 15225972, 15357283, 15439239, 15513388, 15757811, 15791939, 15953354, 16045488, 16054649, 16236786, 16254381, 16335288, 16395784, 16586626, 16918618, 16958590, 17173775, 17275103, 17316916, 17365848, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18179554, 18398842, 18405034, 18551792, 18954398, 19109908, 19394410, 19564125, 19686924, 19782176, 20088940, 20661527, 20734423, 21266715, 21463619, 21491565, 21550185, 21808591, 22026974, 22078338, 22183550, 22242176, 22461427, 23015762, 23456569, 23516386, 2384071, 23843209, 23885448, 24599593, 24987071, 25546904, 25681991, 25803035, 26061739, 26478351, 27486099, 28840182, 29103015, 29308780, 30063657, 30296618, 35478531, 35501247, 37750797, 38058345, 38189795, 40732805, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8053532, 8521542, 8820652, 9146202]",20,244,0,283,0,46.23333333333333,1.0,"1,0,2",0.05284457435765907,0.07065493730618722,0.0018774362084204674,2,"0,1"
2,1.028743459215648,0.002845522473471661,1.028743459215648,138.75,0.0338475499092559,0.028156504962312576,0.9348936900945883,0.4713478958285218,"[10046442, 10138132, 10790832, 11231562, 11402482, 11541862, 11672342, 1315431, 13501922, 13654112, 14062948, 14110743, 1431301, 14315043, 14319626, 14350969, 14420451, 14430556, 14479592, 14514220, 14519891, 14527485, 14599976, 14702781, 14767753, 14849643, 14852216, 14986396, 15011971, 15070780, 15076390, 15078437, 15093092, 15145142, 15225972, 15357283, 15390684, 15439239, 15513388, 1565151, 15757811, 15953354, 16054649, 16077875, 16231946, 16236786, 16561591, 16918618, 1708661, 17150049, 17173775, 17275103, 17365848, 17498138, 17537187, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18179554, 18301693, 18398842, 18405034, 18660521, 19109908, 19315174, 19564125, 19686924, 19782176, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 21062689, 21266715, 21488707, 21491565, 21550185, 22026974, 22183550, 22299209, 22461427, 23015762, 23160361, 23456569, 2384071, 23843209, 23885448, 24599593, 24987071, 25468909, 25546904, 25681991, 26061739, 26478351, 27486099, 29103015, 30063657, 35478531, 37343638, 37750797, 39469612, 40732805, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7791532, 7858302, 799192, 8053532, 8414602, 8521542, 8820652]",20,236,0,273,0,46.25,1.0,"1,0,2",0.05096108365091445,0.061518692913224836,0.0014252186362163975,2,"0,1"
3,1.028743459215648,0.002845522473471661,1.028743459215648,138.75,0.0338475499092559,0.028156504962312576,0.9502103348916918,0.4629432001578522,"[10046442, 10138132, 10790832, 11231562, 11402482, 11541862, 11672342, 1315431, 13501922, 13654112, 14062948, 14110743, 1431301, 14315043, 14319626, 14350969, 14420451, 14430556, 14479592, 14514220, 14519891, 14527485, 14599976, 14702781, 14767753, 14849643, 14852216, 14986396, 15011971, 15070780, 15076390, 15078437, 15093092, 15145142, 15225972, 15357283, 15390684, 15439239, 15513388, 1565151, 15757811, 15953354, 16054649, 16077875, 16231946, 16236786, 16561591, 16918618, 1708661, 17150049, 17173775, 17275103, 17365848, 17498138, 17537187, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18179554, 18301693, 18398842, 18405034, 18660521, 19109908, 19315174, 19564125, 19686924, 19782176, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 21062689, 21266715, 21488707, 21491565, 21550185, 22026974, 22183550, 22299209, 22461427, 23015762, 23160361, 23456569, 2384071, 23843209, 23885448, 24599593, 24987071, 25468909, 25546904, 25681991, 26061739, 26478351, 27486099, 29103015, 30063657, 35478531, 37343638, 37750797, 39469612, 40732805, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7791532, 7858302, 799192, 8053532, 8414602, 8521542, 8820652]",20,240,0,276,0,46.25,1.0,"1,0,2",0.05096108365091445,0.061518692913224836,0.0014252186362163975,2,"0,1"
4,1.028743459215648,0.002845522473471661,1.028743459215648,138.75,0.0338475499092559,0.028156504962312576,0.9630379551786229,0.44725295153261585,"[10046442, 10138132, 10790832, 11231562, 11402482, 11541862, 11672342, 1315431, 13501922, 13654112, 14062948, 14110743, 1431301, 14315043, 14319626, 14350969, 14420451, 14430556, 14479592, 14514220, 14519891, 14527485, 14599976, 14702781, 14767753, 14849643, 14852216, 14986396, 15011971, 15070780, 15076390, 15078437, 15093092, 15145142, 15225972, 15357283, 15390684, 15439239, 15513388, 1565151, 15757811, 15953354, 16054649, 16077875, 16231946, 16236786, 16561591, 16918618, 1708661, 17150049, 17173775, 17275103, 17365848, 17498138, 17537187, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18179554, 18301693, 18398842, 18405034, 18660521, 19109908, 19315174, 19564125, 19686924, 19782176, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 21062689, 21266715, 21488707, 21491565, 21550185, 22026974, 22183550, 22299209, 22461427, 23015762, 23160361, 23456569, 2384071, 23843209, 23885448, 24599593, 24987071, 25468909, 25546904, 25681991, 26061739, 26478351, 27486099, 29103015, 30063657, 35478531, 37343638, 37750797, 39469612, 40732805, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7791532, 7858302, 799192, 8053532, 8414602, 8521542, 8820652]",20,248,0,285,0,46.25,1.0,"1,0,2",0.05096108365091445,0.061518692913224836,0.0014252186362163975,2,"0,1"
5,1.0945974295479137,0.004446206352174893,1.0945974295479137,137.8,0.03395644283121597,0.025064030126866182,0.9900614769479781,0.42940372157647205,"[10138132, 10790832, 11231562, 11672342, 11763862, 1315431, 13253992, 13501922, 13654112, 14062948, 14110743, 14255057, 14305154, 14390067, 14420451, 14430556, 14460783, 14479592, 14514220, 14519891, 14527485, 14727321, 14767753, 14849643, 14852216, 14986396, 15070780, 15076390, 15093092, 15100166, 15112648, 15145142, 15357283, 15390684, 15422070, 15439239, 15572221, 15757811, 15802312, 15953354, 15978412, 16054649, 16077875, 16152223, 16231946, 16236786, 16586626, 16918618, 16958590, 17150049, 17173775, 17275103, 17316916, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18551792, 18660521, 18882655, 18983688, 19109908, 19543485, 19860841, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 20745227, 21266715, 21463619, 21488707, 21491565, 21550185, 22026974, 22183550, 22242176, 22299209, 22461427, 23015762, 23456569, 2384071, 23843209, 23885448, 24987071, 25468909, 25602221, 25671752, 25681991, 25803035, 26061739, 26478351, 27486099, 29186233, 29591647, 30063657, 35478531, 37750797, 38189795, 39469612, 40732805, 42149443, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8521542, 8820652]",20,228,0,266,0,45.93333333333334,1.0,"1,0,2",0.04875723792239219,0.05248552415521563,0.0010386647053115072,2,"0,1"
6,1.0945974295479137,0.004446206352174893,1.0945974295479137,137.8,0.03395644283121597,0.025064030126866182,0.9980155183129717,0.4215442674906234,"[10138132, 10790832, 11231562, 11672342, 11763862, 1315431, 13253992, 13501922, 13654112, 14062948, 14110743, 14255057, 14305154, 14390067, 14420451, 14430556, 14460783, 14479592, 14514220, 14519891, 14527485, 14727321, 14767753, 14849643, 14852216, 14986396, 15070780, 15076390, 15093092, 15100166, 15112648, 15145142, 15357283, 15390684, 15422070, 15439239, 15572221, 15757811, 15802312, 15953354, 15978412, 16054649, 16077875, 16152223, 16231946, 16236786, 16586626, 16918618, 16958590, 17150049, 17173775, 17275103, 17316916, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18551792, 18660521, 18882655, 18983688, 19109908, 19543485, 19860841, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 20745227, 21266715, 21463619, 21488707, 21491565, 21550185, 22026974, 22183550, 22242176, 22299209, 22461427, 23015762, 23456569, 2384071, 23843209, 23885448, 24987071, 25468909, 25602221, 25671752, 25681991, 25803035, 26061739, 26478351, 27486099, 29186233, 29591647, 30063657, 35478531, 37750797, 38189795, 39469612, 40732805, 42149443, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8521542, 8820652]",20,264,0,301,0,45.93333333333334,1.0,"1,0,2",0.04875723792239219,0.05248552415521563,0.0010386647053115072,2,"0,1"
7,1.0945974295479137,0.004446206352174893,1.0945974295479137,137.8,0.03395644283121597,0.025064030126866182,1.0100170719671326,0.4142049395566763,"[10138132, 10790832, 11231562, 11672342, 11763862, 1315431, 13253992, 13501922, 13654112, 14062948, 14110743, 14255057, 14305154, 14390067, 14420451, 14430556, 14460783, 14479592, 14514220, 14519891, 14527485, 14727321, 14767753, 14849643, 14852216, 14986396, 15070780, 15076390, 15093092, 15100166, 15112648, 15145142, 15357283, 15390684, 15422070, 15439239, 15572221, 15757811, 15802312, 15953354, 15978412, 16054649, 16077875, 16152223, 16231946, 16236786, 16586626, 16918618, 16958590, 17150049, 17173775, 17275103, 17316916, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18551792, 18660521, 18882655, 18983688, 19109908, 19543485, 19860841, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 20745227, 21266715, 21463619, 21488707, 21491565, 21550185, 22026974, 22183550, 22242176, 22299209, 22461427, 23015762, 23456569, 2384071, 23843209, 23885448, 24987071, 25468909, 25602221, 25671752, 25681991, 25803035, 26061739, 26478351, 27486099, 29186233, 29591647, 30063657, 35478531, 37750797, 38189795, 39469612, 40732805, 42149443, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8521542, 8820652]",20,256,0,290,0,45.93333333333334,1.0,"1,0,2",0.04875723792239219,0.05248552415521563,0.0010386647053115072,2,"0,1"
8,1.0945974295479137,0.004446206352174893,1.0945974295479137,137.8,0.03395644283121597,0.025064030126866182,1.0130288088908392,0.4067462030332516,"[10138132, 10790832, 11231562, 11672342, 11763862, 1315431, 13253992, 13501922, 13654112, 14062948, 14110743, 14255057, 14305154, 14390067, 14420451, 14430556, 14460783, 14479592, 14514220, 14519891, 14527485, 14727321, 14767753, 14849643, 14852216, 14986396, 15070780, 15076390, 15093092, 15100166, 15112648, 15145142, 15357283, 15390684, 15422070, 15439239, 15572221, 15757811, 15802312, 15953354, 15978412, 16054649, 16077875, 16152223, 16231946, 16236786, 16586626, 16918618, 16958590, 17150049, 17173775, 17275103, 17316916, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18551792, 18660521, 18882655, 18983688, 19109908, 19543485, 19860841, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 20745227, 21266715, 21463619, 21488707, 21491565, 21550185, 22026974, 22183550, 22242176, 22299209, 22461427, 23015762, 23456569, 2384071, 23843209, 23885448, 24987071, 25468909, 25602221, 25671752, 25681991, 25803035, 26061739, 26478351, 27486099, 29186233, 29591647, 30063657, 35478531, 37750797, 38189795, 39469612, 40732805, 42149443, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8521542, 8820652]",20,216,0,254,0,45.93333333333334,1.0,"1,0,2",0.04875723792239219,0.05248552415521563,0.0010386647053115072,2,"0,1"
9,1.0945974295479137,0.004446206352174893,1.0945974295479137,137.8,0.03395644283121597,0.025064030126866182,1.0136378484571826,0.40468233135820997,"[10138132, 10790832, 11231562, 11672342, 11763862, 1315431, 13253992, 13501922, 13654112, 14062948, 14110743, 14255057, 14305154, 14390067, 14420451, 14430556, 14460783, 14479592, 14514220, 14519891, 14527485, 14727321, 14767753, 14849643, 14852216, 14986396, 15070780, 15076390, 15093092, 15100166, 15112648, 15145142, 15357283, 15390684, 15422070, 15439239, 15572221, 15757811, 15802312, 15953354, 15978412, 16054649, 16077875, 16152223, 16231946, 16236786, 16586626, 16918618, 16958590, 17150049, 17173775, 17275103, 17316916, 17416766, 17498138, 17542666, 17645505, 17850012, 18033114, 18102660, 18166634, 18398842, 18405034, 18551792, 18660521, 18882655, 18983688, 19109908, 19543485, 19860841, 20088940, 20414967, 20567161, 20657078, 20661527, 20734423, 20745227, 21266715, 21463619, 21488707, 21491565, 21550185, 22026974, 22183550, 22242176, 22299209, 22461427, 23015762, 23456569, 2384071, 23843209, 23885448, 24987071, 25468909, 25602221, 25671752, 25681991, 25803035, 26061739, 26478351, 27486099, 29186233, 29591647, 30063657, 35478531, 37750797, 38189795, 39469612, 40732805, 42149443, 5054721, 5699042, 5771302, 6750102, 6811802, 7536882, 7858302, 799192, 8521542, 8820652]",20,232,0,269,0,45.93333333333334,1.0,"1,0,2",0.04875723792239219,0.05248552415521563,0.0010386647053115072,2,"0,1"
