generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.09936799130977236,-0.09936799130977236,89.33333333333333,0.016666666666666666,0.2154026492862114,-0.11129377767189776,0.5521039523747765,"[106, 107, 115, 121, 13, 130, 158, 160, 183, 211, 215, 269, 271, 28, 329, 333, 340, 377, 44, 5, 533, 62, 648, 653, 658, 660, 670, 684, 691, 703, 711, 731, 746, 772, 798, 808, 820, 84, 86, 971]",12,1920,0,1954,0,0.03333333333333333,1.0,"41,6,31"
1,-0.09359250654556533,-0.09359250654556533,92.83333333333333,0.016666666666666666,0.20385167975779733,-0.09914943388040458,0.5248272147281529,"[1, 106, 107, 115, 121, 128, 129, 130, 160, 163, 169, 183, 21, 210, 211, 269, 28, 301, 329, 333, 340, 362, 365, 377, 405, 419, 434, 5, 533, 560, 58, 580, 62, 684, 81, 820, 84, 86, 89, 971]",12,1920,0,1941,0,0.044444444444444446,1.0,"41,30,6"
2,-0.0786787928927268,-0.0786787928927268,89.96666666666667,0.016666666666666666,0.17402425245212028,-0.09131854070982087,0.5023909109979785,"[1, 106, 107, 115, 121, 128, 13, 130, 160, 21, 211, 269, 28, 283, 329, 333, 340, 355, 362, 377, 411, 419, 427, 5, 533, 537, 560, 580, 62, 64, 660, 684, 711, 746, 772, 798, 808, 82, 84, 86]",12,1920,0,1941,0,0.044444444444444446,1.0,"30,41,33"
3,-0.0786787928927268,-0.0786787928927268,89.96666666666667,0.016666666666666666,0.17402425245212028,-0.08727242959665261,0.4863316661106092,"[1, 106, 107, 115, 121, 128, 13, 130, 160, 21, 211, 269, 28, 283, 329, 333, 340, 355, 362, 377, 411, 419, 427, 5, 533, 537, 560, 580, 62, 64, 660, 684, 711, 746, 772, 798, 808, 82, 84, 86]",12,1920,0,1943,0,0.044444444444444446,1.0,"30,41,33"
4,-0.0786787928927268,-0.0786787928927268,89.96666666666667,0.016666666666666666,0.17402425245212028,-0.08603539244581178,0.4800076645118886,"[1, 106, 107, 115, 121, 128, 13, 130, 160, 21, 211, 269, 28, 283, 329, 333, 340, 355, 362, 377, 411, 419, 427, 5, 533, 537, 560, 580, 62, 64, 660, 684, 711, 746, 772, 798, 808, 82, 84, 86]",12,1920,0,1943,0,0.044444444444444446,1.0,"30,41,33"
5,-0.07692311865166784,-0.07692311865166784,97.43333333333334,0.029523809523809525,0.18337004682714522,-0.08381462982285874,0.45470838176207523,"[106, 107, 115, 121, 128, 130, 160, 180, 183, 21, 211, 236, 249, 252, 28, 301, 329, 331, 333, 340, 355, 365, 371, 377, 405, 411, 434, 491, 5, 533, 560, 580, 62, 675, 711, 81, 82, 84, 86, 971]",12,1920,0,1944,0,0.05555555555555556,1.0,"17,18,24"
6,-0.07692311865166784,-0.07692311865166784,97.43333333333334,0.029523809523809525,0.18337004682714522,-0.08301380757641721,0.46435480940323154,"[106, 107, 115, 121, 128, 130, 160, 180, 183, 21, 211, 236, 249, 252, 28, 301, 329, 331, 333, 340, 355, 365, 371, 377, 405, 411, 434, 491, 5, 533, 560, 580, 62, 675, 711, 81, 82, 84, 86, 971]",12,1920,0,1863,0,0.05555555555555556,1.0,"17,18,24"
7,-0.07692311865166784,-0.07692311865166784,97.43333333333334,0.029523809523809525,0.18337004682714522,-0.08171869777913719,0.48850751894971484,"[106, 107, 115, 121, 128, 130, 160, 180, 183, 21, 211, 236, 249, 252, 28, 301, 329, 331, 333, 340, 355, 365, 371, 377, 405, 411, 434, 491, 5, 533, 560, 580, 62, 675, 711, 81, 82, 84, 86, 971]",12,1920,0,1862,0,0.05555555555555556,1.0,"17,18,24"
8,-0.07363640874106878,-0.07363640874106878,96.6,0.03333333333333333,0.18060615081547088,-0.07926590870379376,0.4634271653899714,"[106, 107, 115, 121, 128, 13, 130, 160, 183, 21, 211, 236, 249, 252, 268, 269, 28, 280, 333, 340, 377, 405, 411, 427, 434, 495, 533, 560, 62, 64, 648, 66, 675, 691, 767, 81, 82, 84, 86, 971]",12,1920,0,1861,0,0.09999999999999999,1.0,"33,6,24"
9,-0.07123506587227237,-0.07123506587227237,92.6,0.03333333333333333,0.17580346507787806,-0.07738867699955071,0.43824293466754305,"[1, 106, 107, 115, 121, 128, 129, 130, 160, 21, 210, 211, 249, 252, 269, 28, 301, 329, 333, 340, 355, 365, 377, 411, 434, 462, 5, 533, 537, 560, 58, 589, 62, 64, 79, 81, 82, 84, 86, 971]",12,1920,0,1783,0,0.044444444444444446,1.0,"18,24,33"
