generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.08759610137645095,-0.08759610137645095,92.8,0.03333333333333333,0.20852553608623522,-0.11438204769173756,0.7083576255795797,"[1, 105, 106, 107, 114, 115, 121, 128, 13, 130, 142, 160, 164, 166, 183, 21, 211, 215, 340, 365, 411, 434, 463, 473, 5, 518, 61, 62, 633, 64, 660, 684, 703, 731, 732, 79, 82, 86, 870, 971]",12,192,0,219,0,0.1111111111111111,1.0,"18,29,31"
1,-0.08256700410587758,-0.08256700410587758,91.73333333333333,0.03333333333333333,0.1984673415450885,-0.0964485199899795,0.7011715108934934,"[105, 107, 114, 115, 121, 128, 129, 130, 160, 174, 21, 211, 215, 23, 252, 329, 333, 340, 405, 44, 463, 5, 537, 561, 564, 6, 62, 64, 653, 658, 695, 703, 711, 744, 810, 84, 86, 870, 929, 941]",12,184,0,205,0,0.09999999999999999,1.0,"18,24,31"
2,-0.07812779014766787,-0.07812779014766787,87.16666666666667,0.024999999999999998,0.18125558029533573,-0.08662142148963604,0.6559159694312245,"[106, 107, 128, 13, 130, 160, 163, 166, 169, 174, 183, 189, 21, 210, 211, 268, 28, 333, 340, 411, 424, 434, 45, 462, 518, 580, 6, 64, 658, 660, 675, 703, 731, 732, 744, 772, 82, 86, 870, 96]",12,184,0,205,0,0.09999999999999999,1.0,"6,23,18"
3,-0.07198232832047063,-0.07198232832047063,87.96666666666667,0.0308641975308642,0.17482885417180546,-0.08205950591246525,0.6472794366372334,"[1, 107, 114, 115, 121, 128, 129, 13, 130, 160, 174, 183, 210, 211, 212, 252, 28, 329, 340, 365, 371, 405, 411, 424, 463, 531, 533, 537, 561, 62, 64, 653, 703, 711, 746, 772, 819, 86, 870, 941]",12,192,0,214,0,0.12222222222222222,1.0,"23,18,31"
4,-0.06954515452349351,-0.06954515452349351,87.16666666666667,0.025,0.16409030904698702,-0.07830995318716179,0.6394837609238324,"[106, 107, 128, 129, 13, 160, 163, 166, 169, 17, 174, 189, 21, 210, 211, 212, 252, 268, 28, 329, 333, 340, 365, 405, 411, 45, 462, 5, 518, 537, 580, 6, 64, 653, 658, 703, 726, 758, 759, 870]",12,192,0,214,0,0.10000000000000002,1.0,"40,23,0"
5,-0.05898261634981289,-0.05898261634981289,84.9,0.04133333333333334,0.1592985660329591,-0.0712452115249131,0.6695968584250668,"[1, 106, 107, 114, 121, 128, 129, 130, 160, 163, 165, 210, 211, 212, 215, 252, 255, 268, 329, 340, 365, 411, 420, 434, 45, 462, 463, 518, 533, 6, 61, 62, 658, 673, 703, 726, 767, 86, 870, 941]",12,168,0,190,0,0.26666666666666666,1.0,"16,27,21"
6,-0.05898261634981289,-0.05898261634981289,84.9,0.04133333333333334,0.1592985660329591,-0.06938372443828576,0.6603207272990831,"[1, 106, 107, 114, 121, 128, 129, 130, 160, 163, 165, 210, 211, 212, 215, 252, 255, 268, 329, 340, 365, 411, 420, 434, 45, 462, 463, 518, 533, 6, 61, 62, 658, 673, 703, 726, 767, 86, 870, 941]",12,152,0,159,0,0.26666666666666666,1.0,"16,27,21"
7,-0.05898261634981289,-0.05898261634981289,84.9,0.04133333333333334,0.1592985660329591,-0.06621306048424873,0.6241755815463542,"[1, 106, 107, 114, 121, 128, 129, 130, 160, 163, 165, 210, 211, 212, 215, 252, 255, 268, 329, 340, 365, 411, 420, 434, 45, 462, 463, 518, 533, 6, 61, 62, 658, 673, 703, 726, 767, 86, 870, 941]",12,192,0,215,0,0.26666666666666666,1.0,"16,27,21"
8,-0.05898261634981289,-0.05898261634981289,84.9,0.04133333333333334,0.1592985660329591,-0.0651488377355909,0.6511566511073558,"[1, 106, 107, 114, 121, 128, 129, 130, 160, 163, 165, 210, 211, 212, 215, 252, 255, 268, 329, 340, 365, 411, 420, 434, 45, 462, 463, 518, 533, 6, 61, 62, 658, 673, 703, 726, 767, 86, 870, 941]",12,192,0,213,0,0.26666666666666666,1.0,"16,27,21"
9,-0.05757670029972916,-0.05757670029972916,90.8,0.03580246913580247,0.1509558697352608,-0.06401456892079631,0.6495820726110522,"[1, 106, 115, 121, 128, 129, 13, 160, 180, 183, 21, 211, 212, 249, 268, 28, 329, 333, 340, 365, 371, 393, 411, 434, 462, 472, 518, 533, 58, 62, 64, 653, 660, 726, 772, 808, 82, 859, 870, 941]",12,176,0,190,0,0.14444444444444446,1.0,"23,24,12"
