generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.5630845164010639,-0.0891665383628432,0.5630845164010639,43.3,0.05466666666666666,0.23299974339235308,-0.061469756878868013,0.5873994954703676,"[116, 117, 13, 155, 159, 167, 178, 18, 201, 202, 203, 207, 209, 229, 235, 236, 248, 251, 252, 264, 277, 287, 289, 290, 291, 292, 330, 331, 343, 344, 370, 390, 396, 445, 461, 465, 471, 55, 7, 9]",16,16,0,63,0,14.433333333333332,1.0,"2,0,1"
1,0.9158706757142937,-0.050209523809523815,0.9158706757142937,43.75,0.0512,0.15161904761904763,0.17006077421631668,0.5421094540864807,"[11, 116, 13, 134, 155, 159, 167, 169, 178, 18, 180, 2, 201, 203, 207, 209, 248, 251, 264, 265, 28, 287, 331, 344, 370, 390, 396, 419, 445, 458, 461, 465, 471, 477, 56, 61, 7, 78, 81, 9]",16,16,0,46,0,14.583333333333334,1.0,"0,2,1"
2,0.9158706757142937,-0.050209523809523815,0.9158706757142937,43.75,0.0512,0.15161904761904763,0.35791949672392165,0.5413376123491468,"[11, 116, 13, 134, 155, 159, 167, 169, 178, 18, 180, 2, 201, 203, 207, 209, 248, 251, 264, 265, 28, 287, 331, 344, 370, 390, 396, 419, 445, 458, 461, 465, 471, 477, 56, 61, 7, 78, 81, 9]",16,16,0,47,0,14.583333333333334,1.0,"0,2,1"
3,0.9158706757142937,-0.050209523809523815,0.9158706757142937,43.75,0.0512,0.15161904761904763,0.5154104601238025,0.5002522062706791,"[11, 116, 13, 134, 155, 159, 167, 169, 178, 18, 180, 2, 201, 203, 207, 209, 248, 251, 264, 265, 28, 287, 331, 344, 370, 390, 396, 419, 445, 458, 461, 465, 471, 477, 56, 61, 7, 78, 81, 9]",16,16,0,45,0,14.583333333333334,1.0,"0,2,1"
4,0.9158706757142937,-0.050209523809523815,0.9158706757142937,43.75,0.0512,0.15161904761904763,0.6083771229524524,0.5111240320334225,"[11, 116, 13, 134, 155, 159, 167, 169, 178, 18, 180, 2, 201, 203, 207, 209, 248, 251, 264, 265, 28, 287, 331, 344, 370, 390, 396, 419, 445, 458, 461, 465, 471, 477, 56, 61, 7, 78, 81, 9]",16,16,0,46,0,14.583333333333334,1.0,"0,2,1"
5,0.9158706757142937,-0.050209523809523815,0.9158706757142937,43.75,0.0512,0.15161904761904763,0.6732869929235368,0.5234791240455643,"[11, 116, 13, 134, 155, 159, 167, 169, 178, 18, 180, 2, 201, 203, 207, 209, 248, 251, 264, 265, 28, 287, 331, 344, 370, 390, 396, 419, 445, 458, 461, 465, 471, 477, 56, 61, 7, 78, 81, 9]",16,16,0,45,0,14.583333333333334,1.0,"0,2,1"
6,0.9606940707142648,-0.04505396825396825,0.9606940707142648,43.75,0.0544,0.1445079365079365,0.7388343969559868,0.492729364169446,"[108, 11, 121, 13, 134, 159, 167, 169, 180, 201, 202, 203, 207, 209, 248, 251, 252, 260, 262, 264, 265, 287, 290, 291, 292, 330, 331, 370, 38, 390, 396, 419, 445, 458, 461, 465, 471, 477, 54, 9]",16,16,0,46,0,14.583333333333334,1.0,"0,2,1"
7,1.0955630731672168,-0.029655644648084498,1.0955630731672168,43.65,0.0616,0.120911289296169,0.7702131251827036,0.4975502963604543,"[11, 116, 118, 121, 13, 155, 159, 167, 169, 178, 180, 182, 209, 236, 251, 257, 264, 265, 266, 28, 290, 292, 330, 331, 344, 347, 370, 390, 396, 445, 458, 461, 465, 471, 477, 56, 61, 63, 7, 78]",16,16,0,47,0,14.550000000000002,1.0,"0,2,1"
8,1.0955630731672168,-0.029655644648084498,1.0955630731672168,43.65,0.0616,0.120911289296169,0.7816833729116155,0.49110198199568444,"[11, 116, 118, 121, 13, 155, 159, 167, 169, 178, 180, 182, 209, 236, 251, 257, 264, 265, 266, 28, 290, 292, 330, 331, 344, 347, 370, 390, 396, 445, 458, 461, 465, 471, 477, 56, 61, 63, 7, 78]",16,16,0,47,0,14.550000000000002,1.0,"0,2,1"
9,1.0955630731672168,-0.029655644648084498,1.0955630731672168,43.65,0.0616,0.120911289296169,0.8008573514264088,0.4803447970712165,"[11, 116, 118, 121, 13, 155, 159, 167, 169, 178, 180, 182, 209, 236, 251, 257, 264, 265, 266, 28, 290, 292, 330, 331, 344, 347, 370, 390, 396, 445, 458, 461, 465, 471, 477, 56, 61, 63, 7, 78]",16,16,0,45,0,14.550000000000002,1.0,"0,2,1"
