node_id,community_id,community_size
1,0,30
10,1,32
100,2,48
101,0,30
102,1,32
103,3,36
104,2,48
105,4,33
106,5,35
107,0,30
108,6,116
109,0,30
11,3,36
110,1,32
111,5,35
112,7,34
113,8,21
114,9,35
115,7,34
116,9,35
117,0,30
118,2,48
119,10,34
12,9,35
120,4,33
121,4,33
122,3,36
123,9,35
124,9,35
125,7,34
126,2,48
127,1,32
128,8,21
129,5,35
13,5,35
130,2,48
131,5,35
132,4,33
133,4,33
134,3,36
135,5,35
136,10,34
137,9,35
138,9,35
139,7,34
14,5,35
140,1,32
141,2,48
142,3,36
143,3,36
144,2,48
145,9,35
146,1,32
147,5,35
148,10,34
149,5,35
15,3,36
150,9,35
151,7,34
152,0,30
153,4,33
154,1,32
155,7,34
156,4,33
157,4,33
158,2,48
159,9,35
16,10,34
160,7,34
161,4,33
162,1,32
163,4,33
164,5,35
165,7,34
166,4,33
167,2,48
168,3,36
169,7,34
17,10,34
170,10,34
171,4,33
172,1,32
173,5,35
174,5,35
175,3,36
176,10,34
177,2,48
178,10,34
179,0,30
18,9,35
180,1,32
181,5,35
182,2,48
183,2,48
184,4,33
185,9,35
186,2,48
187,0,30
188,7,34
189,10,34
19,0,30
190,9,35
191,10,34
192,2,48
193,7,34
194,3,36
195,7,34
196,3,36
197,9,35
198,10,34
199,10,34
2,4,33
20,10,34
200,7,34
201,1,32
202,10,34
203,4,33
204,7,34
205,3,36
206,10,34
207,2,48
208,7,34
209,9,35
21,5,35
210,2,48
211,9,35
212,0,30
213,3,36
214,1,32
215,3,36
216,3,36
217,7,34
218,2,48
219,7,34
22,1,32
220,3,36
221,2,48
222,1,32
223,2,48
224,5,35
225,4,33
226,4,33
227,0,30
228,2,48
229,2,48
23,1,32
230,9,35
231,7,34
232,2,48
233,7,34
234,1,32
235,10,34
236,0,30
237,2,48
238,7,34
239,5,35
24,4,33
240,4,33
241,0,30
242,7,34
243,7,34
244,0,30
245,3,36
246,9,35
247,6,116
248,1,32
249,3,36
25,10,34
250,1,32
251,3,36
252,7,34
253,10,34
254,3,36
255,9,35
256,0,30
257,1,32
258,1,32
259,4,33
26,10,34
260,2,48
261,7,34
262,10,34
263,3,36
264,4,33
265,2,48
266,9,35
267,4,33
268,5,35
269,10,34
27,1,32
270,1,32
271,1,32
272,5,35
273,1,32
274,7,34
275,0,30
276,2,48
277,9,35
278,7,34
279,5,35
28,9,35
280,5,35
281,0,30
282,10,34
283,2,48
284,2,48
285,10,34
286,8,21
287,0,30
288,0,30
289,5,35
29,2,48
290,2,48
291,2,48
292,2,48
293,3,36
294,9,35
295,4,33
296,10,34
297,2,48
298,1,32
299,7,34
3,3,36
30,5,35
300,2,48
301,5,35
302,6,116
303,6,116
304,11,2
305,6,116
306,6,116
307,6,116
308,6,116
309,6,116
31,3,36
310,6,116
311,6,116
312,7,34
313,6,116
314,6,116
315,6,116
316,6,116
317,6,116
318,6,116
319,6,116
32,9,35
320,6,116
321,9,35
322,6,116
323,6,116
324,6,116
325,6,116
326,12,1
327,6,116
328,6,116
329,6,116
33,10,34
330,6,116
331,6,116
332,6,116
333,6,116
334,6,116
335,6,116
336,6,116
337,6,116
338,6,116
339,6,116
34,5,35
340,6,116
341,6,116
342,6,116
343,6,116
344,6,116
345,5,35
346,6,116
347,6,116
348,6,116
349,6,116
35,7,34
350,6,116
351,6,116
352,6,116
353,6,116
354,6,116
355,6,116
356,6,116
357,6,116
358,6,116
359,6,116
36,3,36
360,6,116
361,6,116
362,6,116
363,6,116
364,6,116
365,6,116
366,6,116
367,6,116
368,6,116
369,6,116
37,2,48
370,6,116
371,6,116
372,6,116
373,6,116
374,6,116
375,6,116
376,6,116
377,6,116
378,6,116
379,6,116
38,10,34
380,6,116
381,6,116
382,6,116
383,6,116
384,6,116
385,6,116
386,6,116
387,6,116
388,6,116
389,6,116
39,0,30
390,6,116
391,6,116
392,6,116
393,6,116
394,6,116
395,6,116
396,6,116
397,6,116
398,6,116
399,6,116
4,3,36
40,9,35
400,13,2
401,6,116
402,6,116
403,6,116
404,0,30
405,6,116
406,6,116
407,6,116
408,6,116
409,6,116
41,9,35
410,6,116
411,6,116
412,6,116
413,6,116
414,6,116
415,6,116
416,13,2
417,6,116
418,6,116
419,6,116
42,1,32
420,6,116
421,6,116
422,5,35
423,11,2
424,6,116
425,5,35
426,14,26
427,14,26
428,8,21
429,15,1
43,5,35
430,8,21
431,8,21
432,14,26
433,4,33
434,16,1
435,4,33
436,8,21
437,14,26
438,14,26
439,14,26
44,3,36
440,4,33
441,8,21
442,1,32
443,8,21
444,17,1
445,14,26
446,18,2
447,1,32
448,19,1
449,20,1
45,5,35
450,8,21
451,8,21
452,21,1
453,22,1
454,14,26
455,3,36
456,14,26
457,8,21
458,10,34
459,14,26
46,3,36
460,14,26
461,2,48
462,14,26
463,23,1
464,14,26
465,14,26
466,24,1
467,8,21
468,8,21
469,14,26
47,7,34
470,25,1
471,14,26
472,26,1
473,14,26
474,1,32
475,8,21
476,3,36
477,3,36
478,14,26
479,8,21
48,0,30
480,3,36
481,4,33
482,14,26
483,14,26
484,14,26
485,8,21
486,8,21
487,2,48
488,14,26
489,2,48
49,5,35
490,8,21
491,8,21
492,8,21
493,14,26
494,6,116
495,18,2
496,14,26
497,14,26
498,27,1
499,28,1
5,0,30
50,9,35
500,14,26
51,2,48
52,0,30
53,4,33
54,9,35
55,2,48
56,9,35
57,9,35
58,2,48
59,2,48
6,10,34
60,10,34
61,5,35
62,2,48
63,2,48
64,9,35
65,9,35
66,2,48
67,2,48
68,0,30
69,1,32
7,7,34
70,0,30
71,10,34
72,4,33
73,5,35
74,10,34
75,9,35
76,2,48
77,7,34
78,4,33
79,10,34
8,5,35
80,0,30
81,2,48
82,4,33
83,5,35
84,10,34
85,10,34
86,7,34
87,5,35
88,0,30
89,3,36
9,4,33
90,3,36
91,3,36
92,9,35
93,0,30
94,7,34
95,1,32
96,3,36
97,0,30
98,1,32
99,4,33
