generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-0.41750106417600186,-0.16666666666666666,-0.41750106417600186,65.84856915739269,0.0,0.3333333333333333,-0.4216229809212657,0.29410414864501816,"[303, 306, 315, 320, 322, 324, 327, 330, 344, 348, 349, 357, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 411, 412, 413, 428, 430, 431, 432, 433, 436, 439, 442, 445, 447, 456, 471, 474, 479, 484]",16,90,0,136,1,21.94952305246423,0.6666666666666666,"1,2,0",0.20442501324854265,0.40885002649708535,0.07903640337241759,"0,2",1
1,-0.41750106417600186,-0.16666666666666666,-0.41750106417600186,65.84856915739269,0.0,0.3333333333333333,-0.4200366676283438,0.30270631908745477,"[303, 306, 315, 320, 322, 324, 327, 330, 344, 348, 349, 357, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 411, 412, 413, 428, 430, 431, 432, 433, 436, 439, 442, 445, 447, 456, 471, 474, 479, 484]",16,84,0,113,1,21.94952305246423,0.6666666666666666,"1,2,0",0.20442501324854265,0.40885002649708535,0.07903640337241759,"0,2",1
2,-0.4119795482936355,-0.16666666666666666,-0.4119795482936355,71.36327503974563,0.0,0.3333333333333333,-0.41761254682149385,0.27961980444156004,"[303, 307, 315, 320, 322, 324, 327, 330, 333, 344, 348, 349, 357, 360, 367, 370, 382, 384, 386, 390, 396, 401, 403, 411, 412, 413, 417, 428, 430, 431, 436, 439, 442, 445, 447, 456, 459, 474, 483, 484]",16,102,0,133,1,23.787758346581878,0.6666666666666666,"1,2,0",0.21913089560148383,0.44409114997350285,0.09733108213422437,0,1
3,-0.411977763293686,-0.16666666666666666,-0.411977763293686,71.36327503974563,0.0,0.3333333333333333,-0.41640346265866085,0.2510666583061714,"[303, 306, 307, 315, 320, 322, 324, 327, 330, 333, 344, 348, 349, 357, 360, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 447, 465, 471, 483, 484, 494]",16,81,0,110,1,23.787758346581878,0.6666666666666666,"1,2,0",0.21913089560148383,0.44409114997350285,0.09733108213422437,0,1
4,-0.411977763293686,-0.16666666666666666,-0.411977763293686,71.36327503974563,0.0,0.3333333333333333,-0.4156798022234559,0.25053832915974533,"[303, 306, 307, 315, 320, 322, 324, 327, 330, 333, 344, 348, 349, 357, 360, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 447, 465, 471, 483, 484, 494]",16,99,0,130,1,23.787758346581878,0.6666666666666666,"1,2,0",0.21913089560148383,0.44409114997350285,0.09733108213422437,0,1
5,-0.411977763293686,-0.16666666666666666,-0.411977763293686,71.36327503974563,0.0,0.3333333333333333,-0.4145296461021404,0.2336880812218186,"[303, 306, 307, 315, 320, 322, 324, 327, 330, 333, 344, 348, 349, 357, 360, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 447, 465, 471, 483, 484, 494]",16,99,0,129,1,23.787758346581878,0.6666666666666666,"1,2,0",0.21913089560148383,0.44409114997350285,0.09733108213422437,0,1
6,-0.411977763293686,-0.16666666666666666,-0.411977763293686,71.36327503974563,0.0,0.3333333333333333,-0.41357491438013355,0.20596176064259597,"[303, 306, 307, 315, 320, 322, 324, 327, 330, 333, 344, 348, 349, 357, 360, 367, 370, 381, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 447, 465, 471, 483, 484, 494]",16,81,0,109,1,23.787758346581878,0.6666666666666666,"1,2,0",0.21913089560148383,0.44409114997350285,0.09733108213422437,0,1
7,-0.4099512512665786,-0.16666666666666666,-0.4099512512665786,73.39030206677266,0.0,0.3333333333333333,-0.41262045734568326,0.20688423318459057,"[303, 307, 315, 320, 322, 324, 327, 330, 333, 344, 347, 348, 349, 357, 367, 370, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 445, 447, 456, 459, 465, 471, 474, 484]",16,87,0,116,1,24.463434022257555,0.6666666666666666,"1,2,0",0.22813990461049286,0.4562798092209857,0.0976605053571293,"0,2",1
8,-0.4099512512665786,-0.16666666666666666,-0.4099512512665786,73.39030206677266,0.0,0.3333333333333333,-0.4122403038406094,0.20266358460578957,"[303, 307, 315, 320, 322, 324, 327, 330, 333, 344, 347, 348, 349, 357, 367, 370, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 445, 447, 456, 459, 465, 471, 474, 484]",16,93,0,123,1,24.463434022257555,0.6666666666666666,"1,2,0",0.22813990461049286,0.4562798092209857,0.0976605053571293,"0,2",1
9,-0.4099512512665786,-0.16666666666666666,-0.4099512512665786,73.39030206677266,0.0,0.3333333333333333,-0.41201072692884044,0.19622677621342752,"[303, 307, 315, 320, 322, 324, 327, 330, 333, 344, 347, 348, 349, 357, 367, 370, 382, 384, 386, 390, 396, 401, 403, 412, 413, 417, 428, 430, 431, 436, 439, 442, 445, 447, 456, 459, 465, 471, 474, 484]",16,96,0,127,1,24.463434022257555,0.6666666666666666,"1,2,0",0.22813990461049286,0.4562798092209857,0.0976605053571293,"0,2",1
