generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.4089082271702978,-0.1086916769784509,0.4089082271702978,50.65626348982406,0.02702702702702703,0.24441038098392884,0.3389882145855302,0.5644178015200595,"[103, 107, 116, 13, 136, 146, 164, 177, 183, 187, 226, 228, 229, 231, 244, 257, 271, 274, 28, 293, 296, 298, 303, 312, 331, 334, 343, 347, 362, 382, 390, 396, 401, 419, 425, 47, 494, 65, 9, 96]",16,72,0,116,0,16.88542116327469,1.0,"2,0,1",0.08305783383695343,0.1120616136198528,0.004841437792434099,"0,1",2
1,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.3587130601656814,0.5472187811807824,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,66,0,94,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
2,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.37606639963546545,0.5058125544588751,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,75,0,107,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
3,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.3807974037941159,0.4936199015119856,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,72,0,100,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
4,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.3848028480833847,0.4834717493703125,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,72,0,103,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
5,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.38891056100664967,0.4558492968240027,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,75,0,106,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
6,0.4232586839119759,-0.10687669956638998,0.4232586839119759,48.669508522936646,0.02702702702702703,0.240780426159807,0.3955369259630053,0.42127484248303787,"[103, 108, 116, 117, 13, 146, 159, 164, 177, 180, 183, 187, 207, 23, 252, 264, 266, 279, 28, 293, 296, 33, 331, 343, 347, 349, 358, 362, 376, 382, 390, 401, 409, 417, 419, 42, 494, 62, 65, 9]",16,75,0,107,0,16.22316950764555,1.0,"2,0,1",0.08085032831818963,0.10764660258232521,0.004391901916175452,"0,1",2
7,0.4576732269488643,-0.1025946859393442,0.4576732269488643,44.547478916392045,0.02702702702702703,0.23221639890571544,0.40355460902920154,0.42298784305305576,"[108, 116, 117, 13, 146, 159, 164, 180, 183, 187, 207, 226, 23, 244, 252, 257, 264, 28, 293, 296, 303, 306, 312, 343, 349, 358, 360, 376, 390, 396, 401, 409, 419, 42, 47, 494, 62, 65, 9, 96]",16,63,0,94,0,14.849159638797348,1.0,"2,1,0",0.07912977254621197,0.10420549103836989,0.004382842135618216,"0,1",2
8,0.4576732269488643,-0.1025946859393442,0.4576732269488643,44.547478916392045,0.02702702702702703,0.23221639890571544,0.4050661392550437,0.4248905179752015,"[108, 116, 117, 13, 146, 159, 164, 180, 183, 187, 207, 226, 23, 244, 252, 257, 264, 28, 293, 296, 303, 306, 312, 343, 349, 358, 360, 376, 390, 396, 401, 409, 419, 42, 47, 494, 62, 65, 9, 96]",16,75,0,104,0,14.849159638797348,1.0,"2,1,0",0.07912977254621197,0.10420549103836989,0.004382842135618216,"0,1",2
9,0.4576732269488643,-0.1025946859393442,0.4576732269488643,44.547478916392045,0.02702702702702703,0.23221639890571544,0.4091151607987082,0.435393627888654,"[108, 116, 117, 13, 146, 159, 164, 180, 183, 187, 207, 226, 23, 244, 252, 257, 264, 28, 293, 296, 303, 306, 312, 343, 349, 358, 360, 376, 390, 396, 401, 409, 419, 42, 47, 494, 62, 65, 9, 96]",16,63,0,93,0,14.849159638797348,1.0,"2,1,0",0.07912977254621197,0.10420549103836989,0.004382842135618216,"0,1",2
