node_id,community_id,community_size
1,0,64
10,0,64
100,1,58
101,2,62
102,3,45
103,3,45
104,0,64
105,0,64
106,4,38
107,4,38
108,1,58
109,2,62
11,0,64
110,0,64
111,5,34
112,2,62
113,2,62
114,6,57
115,3,45
116,0,64
117,5,34
118,0,64
119,1,58
12,6,57
120,1,58
121,5,34
122,2,62
123,3,45
124,2,62
125,2,62
126,2,62
127,1,58
128,0,64
129,2,62
13,3,45
130,5,34
131,1,58
132,6,57
133,5,34
134,2,62
135,0,64
136,1,58
137,2,62
138,6,57
139,2,62
14,1,58
140,3,45
141,5,34
142,0,64
143,2,62
144,3,45
145,5,34
146,0,64
147,0,64
148,2,62
149,2,62
15,2,62
150,6,57
151,2,62
152,0,64
153,6,57
154,6,57
155,6,57
156,5,34
157,6,57
158,5,34
159,5,34
16,2,62
160,7,1
161,2,62
162,3,45
163,0,64
164,6,57
165,2,62
166,2,62
167,4,38
168,0,64
169,0,64
17,2,62
170,4,38
171,1,58
172,0,64
173,0,64
174,1,58
175,1,58
176,6,57
177,2,62
178,4,38
179,0,64
18,1,58
180,4,38
181,6,57
182,3,45
183,4,38
184,6,57
185,2,62
186,1,58
187,1,58
188,5,34
189,1,58
19,1,58
190,6,57
191,5,34
192,2,62
193,5,34
194,4,38
195,1,58
196,6,57
197,4,38
198,2,62
199,4,38
2,1,58
20,3,45
200,2,62
201,1,58
202,0,64
203,1,58
204,2,62
205,6,57
206,2,62
207,1,58
208,4,38
209,5,34
21,6,57
210,3,45
211,1,58
212,4,38
213,1,58
214,2,62
215,0,64
216,6,57
217,6,57
218,2,62
219,4,38
22,6,57
220,3,45
221,0,64
222,4,38
223,0,64
224,1,58
225,4,38
226,0,64
227,3,45
228,1,58
229,5,34
23,5,34
230,5,34
231,2,62
232,6,57
233,3,45
234,6,57
235,2,62
236,0,64
237,4,38
238,2,62
239,4,38
24,2,62
240,6,57
241,3,45
242,5,34
243,6,57
244,6,57
245,6,57
246,8,139
247,5,34
248,4,38
249,6,57
25,1,58
250,5,34
251,0,64
252,6,57
253,6,57
254,4,38
255,8,139
256,4,38
257,4,38
258,0,64
259,0,64
26,0,64
260,1,58
261,1,58
262,4,38
263,5,34
264,0,64
265,0,64
266,0,64
267,0,64
268,6,57
269,6,57
27,2,62
270,1,58
271,0,64
272,0,64
273,3,45
274,3,45
275,1,58
276,0,64
277,3,45
278,2,62
279,2,62
28,5,34
280,0,64
281,4,38
282,0,64
283,3,45
284,6,57
285,0,64
286,0,64
287,6,57
288,6,57
289,2,62
29,6,57
290,5,34
291,1,58
292,0,64
293,3,45
294,0,64
295,2,62
296,2,62
297,3,45
298,6,57
299,4,38
3,5,34
30,0,64
300,0,64
301,2,62
302,0,64
303,5,34
304,4,38
305,1,58
306,6,57
307,4,38
308,6,57
309,1,58
31,0,64
310,4,38
311,3,45
312,3,45
313,2,62
314,6,57
315,6,57
316,3,45
317,6,57
318,1,58
319,3,45
32,3,45
320,1,58
321,6,57
322,6,57
323,1,58
324,5,34
325,1,58
326,6,57
327,6,57
328,2,62
329,1,58
33,2,62
330,1,58
331,6,57
332,6,57
333,3,45
334,1,58
335,2,62
336,1,58
337,2,62
338,3,45
339,0,64
34,6,57
340,5,34
341,1,58
342,6,57
343,1,58
344,5,34
345,6,57
346,3,45
347,1,58
348,0,64
349,3,45
35,4,38
350,4,38
351,8,139
352,8,139
353,8,139
354,8,139
355,8,139
356,8,139
357,8,139
358,8,139
359,8,139
36,4,38
360,8,139
