rank,node
1,10821392
2,11288162
3,11379982
4,11770552
5,13051142
6,13763362
7,14102919
8,14110743
9,14129238
10,14268324
11,1431301
12,14326743
13,14338426
14,14516061
15,14625006
16,14680965
17,14767753
18,14852216
19,14866770
20,14916450
21,14982693
22,14986396
23,15220372
24,15225972
25,15357283
26,15447927
27,15473329
28,15495464
29,15739621
30,15777354
31,15791939
32,15911231
33,15964263
34,16040695
35,16166839
36,16254381
37,16304739
38,16410966
39,16784574
40,16884008
41,16931885
42,17326261
43,17416766
44,17918441
45,18141609
46,18166634
47,18405034
48,18745797
49,18826341
50,18983688
51,19396079
52,19461979
53,19479376
54,19520915
55,19543485
56,19624691
57,19904805
58,20150376
59,20199133
60,20650869
61,20788139
62,21250871
63,21463619
64,21624641
65,21706932
66,21841080
67,22026974
68,22052371
69,22183550
70,22210679
71,22299209
72,22461427
73,22606755
74,23134293
75,23236261
76,23662170
77,23933453
78,23967016
79,24731038
80,24829706
81,24987071
82,25389502
83,25500750
84,26061739
85,26951888
86,27109599
87,27603170
88,27684535
89,28432226
90,28697421
91,29103015
92,29308780
93,30412906
94,30556522
95,30702406
96,32150710
97,3267891
98,33433404
99,33839778
100,36883116
101,38189795
102,38499508
103,38555777
104,38609291
105,38813185
106,39179439
107,41197349
108,42390043
109,42578978
110,5699042
111,5771302
112,6675742
113,7067852
114,7519082
115,7594962
116,7909882
117,8031702
118,876061
119,9939382
120,9983972
