node_id,community_id,community_size
10007042,0,468
10046442,0,468
10074432,1,261
10077242,2,336
10093672,3,67
10104672,4,146
10107362,2,336
10125152,5,24
10125822,6,210
10130032,4,146
10138132,0,468
10144442,7,128
10166632,0,468
10214802,8,2
10241462,9,3
10241802,2,336
10263662,10,98
10270072,11,59
10270872,12,5
10284152,13,169
1032291,1,261
10326,2,336
10332972,14,19
10348132,2,336
10367842,1,261
10507892,15,241
10523552,5,24
10524,2,336
10545772,16,81
1058591,13,169
10599392,6,210
10609292,4,146
10618402,0,468
10638782,2,336
10645702,17,111
10651272,17,111
10659742,3,67
10701982,18,86
10717512,19,75
10722102,5,24
10728992,0,468
10732492,13,169
10750192,6,210
10768042,6,210
10790832,7,128
10804132,0,468
1081091,20,50
10821392,4,146
10836002,21,70
1086591,22,4
10936542,18,86
10969982,17,111
10996862,23,339
1100251,21,70
11039482,2,336
1106311,1,261
11069572,13,169
11071232,0,468
11120172,2,336
1112751,17,111
11130772,2,336
11138972,4,146
11142222,22,4
11162812,4,146
11206912,15,241
11221192,23,339
11231562,0,468
11264322,15,241
11288162,1,261
11332342,24,38
11347052,25,2
11350892,16,81
11358372,0,468
11360912,1,261
11364652,1,261
11376132,6,210
11379982,1,261
11395432,2,336
11402482,18,86
11425612,10,98
11442052,23,339
1147031,26,164
11541862,6,210
11550142,15,241
1160081,6,210
11606702,19,75
11620042,27,7
11625152,10,98
11626822,28,3
11650012,0,468
11672342,4,146
11702862,2,336
11724382,1,261
11726732,0,468
11763862,3,67
11767072,13,169
11769872,3,67
11770552,4,146
11786302,0,468
11792612,11,59
11819122,19,75
11842342,29,56
11918842,1,261
11920922,30,2
11926262,31,107
11944562,0,468
11963282,2,336
11981952,11,59
12018412,14,19
12037502,17,111
12062282,32,2
12080652,7,128
12081592,17,111
12114432,21,70
12115732,15,241
12118882,23,339
12149902,21,70
12163342,2,336
12168312,15,241
12174212,0,468
12217472,2,336
12222522,2,336
12227112,6,210
12230022,23,339
12264532,6,210
12286822,4,146
12287142,20,50
12301112,21,70
12327342,0,468
12334662,0,468
12369282,0,468
12377702,1,261
12389772,0,468
12429382,33,3
12448322,34,50
12455292,4,146
12464552,7,128
12470922,15,241
1249501,17,111
1253451,2,336
12618652,0,468
12623252,1,261
12650962,0,468
1265601,0,468
12681372,1,261
12695882,10,98
12706762,2,336
12715022,6,210
12739402,15,241
12740012,27,7
12741382,17,111
12771132,0,468
1277191,2,336
12783392,14,19
12787922,35,4
12790082,18,86
12793382,18,86
12803772,29,56
12818,1,261
12874212,6,210
1290661,36,2
12920142,16,81
12925,23,339
12952252,21,70
12964542,15,241
12966662,1,261
12967642,11,59
12973362,7,128
13008262,27,7
1304091,6,210
13043702,2,336
13051142,2,336
13116482,13,169
13118432,13,169
1315431,0,468
13159492,2,336
13170292,6,210
13211,19,75
13222222,13,169
13224342,10,98
13225072,31,107
13232092,2,336
13253832,2,336
13253992,0,468
13258742,37,2
13264762,4,146
13285072,0,468
13291122,6,210
13302,6,210
1330691,38,3
13308842,23,339
13330612,17,111
13354182,15,241
13406742,23,339
13454462,10,98
13466982,6,210
13467242,6,210
13473142,2,336
13473852,2,336
13501922,2,336
13541632,23,339
13648652,3,67
13651452,2,336
13654112,0,468
13722332,26,164
13746182,1,261
13755792,2,336
13763362,16,81
13767032,21,70
13768662,0,468
13772282,2,336
13789152,2,336
13797692,2,336
13894222,0,468
13897532,6,210
13923382,23,339
13936882,31,107
13942322,0,468
13960822,2,336
13979662,23,339
14025482,17,111
14027132,23,339
14038472,3,67
14050355,13,169
14051473,1,261
14052933,15,241
14053148,39,2
14055022,7,128
14061925,4,146
14062948,2,336
14063351,19,75
14065315,2,336
14066623,7,128
14069593,26,164
14070736,16,81
14070830,0,468
14073382,13,169
14078385,5,24
14086918,2,336
14087968,2,336
14092350,7,128
14092673,0,468
14095083,2,336
14097544,0,468
14098609,15,241
14099733,27,7
14100597,1,261
14102919,1,261
14103852,1,261
14108775,0,468
14109605,2,336
14110253,26,164
14110743,17,111
14111623,0,468
14115889,2,336
14116517,0,468
14120099,16,81
14125985,7,128
14126174,1,261
14126360,15,241
14129238,26,164
14133057,15,241
14133447,7,128
14133954,23,339
14135487,3,67
14138511,2,336
14139527,20,50
14139780,1,261
14140382,2,336
14142706,3,67
14146262,18,86
14152810,31,107
14155050,2,336
14155739,2,336
14160053,29,56
14160799,2,336
14160956,14,19
14161205,40,2
14161889,41,2
14163711,7,128
14164472,6,210
14167991,17,111
14169105,7,128
14170847,2,336
14171337,15,241
14172103,19,75
14172656,10,98
14177779,17,111
14180279,3,67
14180577,0,468
14181437,4,146
14181937,42,2
14186692,6,210
14188391,3,67
14190794,1,261
14193124,4,146
14195918,0,468
14198539,0,468
14200945,21,70
14202860,0,468
14203889,17,111
14204673,2,336
14204887,26,164
14206313,2,336
14206767,15,241
14207225,20,50
14207256,31,107
14209248,10,98
14212820,0,468
14213287,2,336
14213837,11,59
14215410,4,146
14218593,10,98
14219559,7,128
14219598,1,261
14220008,16,81
14220561,16,81
14237254,0,468
14237896,21,70
14238479,29,56
14239038,43,2
14242280,29,56
14245571,13,169
14249581,31,107
14251709,21,70
14253587,2,336
14254414,10,98
14255057,26,164
14255702,0,468
14258044,2,336
14259990,6,210
14261400,31,107
14262680,21,70
14262785,0,468
14265113,6,210
14268141,6,210
14268164,2,336
14268324,17,111
14269768,2,336
14270650,4,146
14277183,15,241
14278838,26,164
14279461,31,107
14282136,6,210
14291706,2,336
14294948,4,146
14299765,1,261
14300586,4,146
14301374,10,98
14301386,0,468
14301443,4,146
14301804,1,261
14302121,26,164
14305154,16,81
14306885,1,261
14307465,7,128
1431301,7,128
14315043,15,241
14315063,12,5
1431551,11,59
14316661,2,336
14319626,13,169
14326094,44,49
14326743,45,2
14328764,2,336
14333927,0,468
14334937,1,261
14334981,18,86
14338426,26,164
14340048,6,210
14342597,0,468
14344131,15,241
14344614,19,75
14347788,21,70
14349955,6,210
14350969,4,146
14353449,31,107
14354411,15,241
14356416,44,49
14361342,0,468
14361793,44,49
14365965,26,164
14366450,1,261
14366549,31,107
14368074,2,336
14372426,1,261
14372710,20,50
14373362,15,241
14376745,18,86
14380723,46,2
14385076,4,146
14387400,0,468
14389149,15,241
14390067,6,210
14400049,0,468
14402868,0,468
14405372,16,81
14405379,0,468
14410711,1,261
14418930,2,336
14420451,17,111
14420936,7,128
14421893,7,128
14426940,1,261
14426992,13,169
14430556,17,111
14431629,2,336
14434688,17,111
14437066,15,241
14437161,2,336
14439519,0,468
14441617,2,336
14442244,26,164
14442703,21,70
14444798,17,111
14444930,2,336
14447648,2,336
14450630,2,336
14451294,0,468
14451981,2,336
14454433,6,210
14455718,3,67
14456344,2,336
14456828,26,164
14457848,1,261
14459159,1,261
14459303,0,468
14460783,0,468
14461330,17,111
14461792,18,86
14462500,1,261
14463102,3,67
14463675,0,468
14464020,7,128
14465317,13,169
14467222,2,336
14475952,0,468
14476022,6,210
14479538,13,169
14479592,2,336
14483590,1,261
14484634,31,107
14499717,16,81
14501275,0,468
14505596,0,468
14506615,13,169
14508359,6,210
14512268,0,468
14513507,15,241
14514220,0,468
14514703,34,50
14516061,2,336
14519514,6,210
14519891,0,468
14521343,0,468
14521383,0,468
14521896,26,164
14527485,44,49
14537873,4,146
14549852,7,128
14551274,1,261
14552124,1,261
14553715,3,67
14554753,2,336
14555289,4,146
14558773,1,261
14560510,0,468
14564657,4,146
14574911,15,241
14578032,19,75
1458001,34,50
14581841,21,70
14590651,6,210
14599976,2,336
14605765,28,3
14625006,38,3
14642711,4,146
14647281,4,146
14662013,0,468
14680965,47,2
14682248,21,70
14685548,1,261
14687072,2,336
14690122,31,107
14690638,11,59
14694370,5,24
14694965,1,261
14695367,29,56
14696659,2,336
14696934,0,468
14700957,3,67
14702781,29,56
14707837,0,468
14710900,14,19
14711966,1,261
14715516,2,336
14716327,10,98
14719154,1,261
14719235,2,336
14720172,26,164
14720695,1,261
14721480,13,169
14721642,15,241
14726448,10,98
14727321,18,86
14727766,15,241
14728116,7,128
14730488,11,59
14731797,29,56
14731904,0,468
14735417,20,50
14737175,31,107
14737298,16,81
14739557,1,261
14742505,26,164
14745620,19,75
14746865,6,210
14747961,44,49
14749267,0,468
14752933,4,146
14754547,44,49
147563,17,111
14759197,0,468
14763573,43,2
14767753,48,6
14770241,13,169
14771089,14,19
14772707,7,128
14773226,1,261
1477511,2,336
14778372,15,241
14778534,34,50
14778685,6,210
14783101,18,86
14785887,0,468
14786640,18,86
14788470,18,86
14788631,29,56
14790224,6,210
14792975,15,241
14793446,1,261
14794913,4,146
14795369,2,336
14796006,3,67
14799428,2,336
14799737,7,128
14802405,10,98
14803185,3,67
14808468,2,336
14812022,17,111
14813714,1,261
14818703,10,98
14824238,26,164
14824349,19,75
14824584,0,468
14825622,11,59
14825748,2,336
14828860,13,169
14828938,2,336
14829029,31,107
14830184,3,67
14832751,13,169
14834422,1,261
14834530,1,261
14837785,19,75
14837803,3,67
14842910,21,70
14849301,3,67
14849643,21,70
14850673,15,241
14852204,2,336
14852216,1,261
14852377,1,261
14854384,2,336
14856432,6,210
14857310,49,2
14858006,1,261
14861336,15,241
14863834,44,49
14866770,48,6
14871174,2,336
14871283,0,468
14872695,2,336
14875152,6,210
14879825,1,261
14882176,0,468
14887872,15,241
14901848,0,468
14909369,0,468
14912783,0,468
14914062,16,81
14916450,50,6
14923674,10,98
14925627,0,468
14927129,16,81
14930659,51,2
14931988,18,86
14932486,20,50
14935079,1,261
14949111,1,261
14950987,0,468
14951093,0,468
14951244,27,7
14951853,4,146
14959367,11,59
14964894,16,81
14965263,5,24
14965482,7,128
14966504,0,468
14976574,1,261
14980052,15,241
14980117,6,210
14982693,2,336
14983638,4,146
14983673,18,86
14984480,1,261
14985991,1,261
14986396,20,50
14990262,1,261
14992758,6,210
14994079,23,339
14994212,0,468
14996598,13,169
15001089,1,261
15005664,20,50
15006507,1,261
15007774,44,49
15008154,15,241
15011971,17,111
15013313,26,164
15013394,2,336
15017875,0,468
15020350,0,468
15038481,29,56
15053286,6,210
15053955,1,261
15055852,6,210
15063431,29,56
15064403,15,241
15068090,26,164
15068456,1,261
15070780,11,59
15070923,2,336
15073198,38,3
15074041,15,241
15076390,26,164
15078437,26,164
15079276,15,241
15082542,23,339
15085767,0,468
15087024,11,59
15088655,0,468
15093092,0,468
15098044,2,336
15100166,2,336
15102107,2,336
15105099,17,111
15105269,0,468
15108462,18,86
15112648,29,56
15113441,26,164
15122176,1,261
15127424,1,261
15130854,29,56
15133785,14,19
15135342,2,336
15140286,31,107
15145142,34,50
15156740,0,468
15157283,52,2
15162962,4,146
15165724,2,336
15170581,6,210
15172774,20,50
15174079,19,75
15177325,10,98
15184942,0,468
15186408,2,336
15186722,26,164
15186787,15,241
15189995,6,210
15194724,48,6
15197493,7,128
15200582,19,75
15202082,26,164
15207554,6,210
15212777,21,70
15220372,21,70
15221267,0,468
15225972,53,6
15231051,3,67
15236550,2,336
15244246,15,241
15244650,0,468
15245522,17,111
15251252,0,468
15254525,21,70
15256094,2,336
15256188,0,468
15258293,54,2
15261848,6,210
15264436,6,210
15264854,2,336
15264996,1,261
15266031,2,336
15269276,31,107
15272006,47,2
15272960,4,146
15279175,31,107
15285795,26,164
15286167,6,210
15286867,34,50
15286893,16,81
15291641,29,56
15294868,10,98
15296201,6,210
15297709,7,128
15298719,2,336
15299357,2,336
15300081,20,50
15303316,13,169
15305959,2,336
15307206,0,468
15309336,26,164
15312421,0,468
15312645,20,50
15315375,3,67
15319555,7,128
15322509,2,336
15324534,34,50
15326799,0,468
15328843,34,50
15328911,6,210
15333555,2,336
15336858,4,146
15338788,11,59
15338937,7,128
15339370,23,339
15354381,10,98
15357283,21,70
15357578,10,98
15359181,0,468
15365571,11,59
15370031,16,81
15374556,2,336
15374640,4,146
15375297,6,210
15385010,21,70
15385968,4,146
15390684,7,128
15394051,34,50
15400651,4,146
15404189,1,261
15409431,1,261
15412118,23,339
15420486,0,468
15422070,2,336
15427732,3,67
15437590,19,75
15438387,6,210
15439239,26,164
15447927,31,107
15448175,6,210
15450146,4,146
15453188,6,210
15453466,2,336
15461382,14,19
