rank,node
1,11963282
2,13118432
3,13159492
4,13225072
5,13789152
6,14092350
7,14110743
8,14126174
9,14268324
10,14334981
11,14625006
12,14680965
13,14830184
14,14849301
15,14852377
16,14866770
17,14951244
18,14986396
19,15112648
20,15225972
21,15480002
22,15495464
23,15777354
24,15838767
25,1584901
26,15872418
27,15893411
28,15998006
29,1605141
30,16152223
31,16261754
32,16286974
33,16347512
34,16462841
35,16573966
36,16645520
37,16743661
38,16796298
39,16855827
40,16871327
41,16874180
42,16971414
43,17022135
44,1708661
45,17107079
46,17176166
47,17291344
48,17326261
49,17398289
50,17416766
51,17864134
52,18031789
53,18216488
54,182563
55,18503945
56,18532459
57,19202272
58,19351120
59,19393442
60,19461979
61,19546355
62,19609221
63,19624691
64,19849576
65,20494264
66,20697142
67,21463619
68,21526244
69,21841080
70,21842565
71,22052371
72,22169218
73,2232381
74,23381383
75,23679184
76,24155868
77,24653118
78,24661292
79,25281456
80,25663963
81,25889080
82,25920592
83,25929128
84,25967442
85,26338809
86,26384168
87,26565599
88,27097694
89,27906730
90,28697421
91,29075225
92,29089902
93,29103015
94,29388899
95,29777851
96,29888946
97,29893170
98,30412906
99,31351910
100,34120641
101,35057448
102,35274390
103,35954073
104,3669361
105,36883116
106,37891331
107,37989080
108,39179439
109,41805105
110,42254940
111,42312515
112,42351915
113,5628242
114,6675742
115,6750102
116,6898072
117,701343
118,754799
119,790577
120,8266702
