rank,node
1,11379982
2,11620042
3,11963282
4,14092350
5,14092673
6,14129238
7,14169105
8,14268324
9,14483590
10,14512268
11,14625006
12,14680965
13,14720172
14,14830184
15,14849301
16,14866770
17,14951853
18,14986396
19,15113441
20,15194724
21,15225972
22,15357578
23,15495464
24,15728729
25,15838767
26,15840187
27,1584901
28,15872418
29,1605141
30,16152223
31,16261754
32,16395784
33,16573966
34,16670897
35,16743661
36,16971414
37,17176166
38,17291344
39,17322769
40,17398289
41,17416766
42,17864134
43,17885419
44,18010581
45,18216488
46,18446235
47,18645243
48,18675238
49,19202226
50,19451823
51,19461979
52,19546355
53,19624691
54,19849576
55,20082550
56,20244205
57,20771592
58,20851551
59,20961576
60,21128914
61,21177451
62,21193728
63,21231872
64,21345004
65,21463619
66,21526244
67,21702193
68,21841080
69,22147816
70,22169218
71,22675994
72,22942992
73,23130671
74,23381383
75,24155868
76,24266032
77,24663433
78,25500750
79,25663963
80,25677530
81,25920592
82,25929128
83,25967442
84,25982406
85,25988864
86,26061739
87,26338809
88,26565599
89,27097694
90,27906730
91,28552463
92,29075225
93,29089902
94,29103015
95,30288543
96,30412906
97,30702406
98,31536024
99,32617892
100,34655157
101,35931640
102,35954073
103,3669361
104,37891331
105,37989080
106,38058345
107,38555777
108,3898371
109,40170117
110,40512761
111,42254940
112,42390043
113,5628242
114,5730272
115,6898072
116,792609
117,804226
118,8266702
119,8900342
120,9909562
