node_id,community_id,community_size
10007042,0,438
10046442,0,438
10074432,1,279
10077242,2,155
10093672,3,112
10104672,3,112
10107362,4,70
10125152,5,112
10125822,6,191
10130032,7,225
10138132,0,438
10144442,8,130
10166632,0,438
10214802,9,2
10241462,10,3
10241802,11,326
10263662,12,78
10270072,13,80
10270872,14,71
10284152,7,225
1032291,1,279
10326,2,155
10332972,15,19
10348132,8,130
10367842,1,279
10507892,16,221
10523552,5,112
10524,17,104
10545772,18,105
1058591,7,225
10599392,6,191
10609292,0,438
10618402,0,438
10638782,2,155
10645702,19,91
10651272,19,91
10659742,3,112
10701982,20,71
10717512,1,279
10722102,5,112
10728992,0,438
10732492,7,225
10750192,6,191
10768042,6,191
10790832,8,130
10804132,0,438
1081091,21,51
10821392,22,16
10836002,17,104
1086591,23,4
10936542,20,71
10969982,19,91
10996862,24,328
1100251,19,91
11039482,11,326
1106311,1,279
11069572,7,225
11071232,25,73
11120172,3,112
1112751,13,80
11130772,17,104
11138972,26,71
11142222,23,4
11162812,22,16
11206912,16,221
11221192,24,328
11231562,0,438
11264322,16,221
11288162,2,155
11332342,27,38
11347052,28,2
11350892,18,105
11358372,0,438
11360912,1,279
11364652,1,279
11376132,6,191
11379982,1,279
11395432,2,155
11402482,20,71
11425612,4,70
11442052,24,328
1147031,20,71
11541862,6,191
11550142,16,221
1160081,6,191
11606702,1,279
11620042,29,8
11625152,12,78
11626822,30,3
11650012,0,438
11672342,3,112
11702862,5,112
11724382,1,279
11726732,18,105
11763862,4,70
11767072,7,225
11769872,3,112
11770552,26,71
11786302,0,438
11792612,11,326
11819122,7,225
11842342,8,130
11918842,1,279
11920922,31,2
11926262,2,155
11944562,5,112
11963282,11,326
11981952,11,326
12018412,15,19
12037502,13,80
12062282,32,2
12080652,8,130
12081592,13,80
12114432,17,104
12115732,16,221
12118882,24,328
12149902,17,104
12163342,2,155
12168312,16,221
12174212,0,438
12217472,17,104
12222522,3,112
12227112,6,191
12230022,24,328
12264532,6,191
12286822,7,225
12287142,21,51
12301112,19,91
12327342,0,438
12334662,0,438
12369282,0,438
12377702,1,279
12389772,0,438
12429382,33,3
12448322,25,73
12455292,3,112
12464552,8,130
12470922,16,221
1249501,20,71
1253451,2,155
12618652,0,438
12623252,1,279
12650962,5,112
1265601,0,438
12681372,1,279
12695882,12,78
12706762,0,438
12715022,6,191
12739402,16,221
12740012,29,8
12741382,13,80
12771132,0,438
1277191,11,326
12783392,15,19
12787922,19,91
12790082,20,71
12793382,20,71
12803772,8,130
12818,3,112
12874212,6,191
1290661,34,2
12920142,35,55
12925,24,328
12952252,17,104
12964542,16,221
12966662,1,279
12967642,0,438
12973362,8,130
13008262,29,8
1304091,6,191
13043702,11,326
13051142,21,51
13116482,7,225
13118432,7,225
1315431,0,438
13159492,11,326
13170292,6,191
13211,3,112
13222222,7,225
13224342,12,78
13225072,2,155
13232092,4,70
13253832,3,112
13253992,5,112
13258742,36,2
13264762,3,112
13285072,0,438
13291122,6,191
13302,6,191
1330691,37,3
13308842,0,438
13330612,13,80
13354182,16,221
13406742,17,104
13454462,12,78
13466982,5,112
13467242,6,191
13473142,2,155
13473852,14,71
13501922,11,326
13541632,24,328
13648652,3,112
13651452,11,326
13654112,0,438
13722332,17,104
13746182,1,279
13755792,19,91
13763362,18,105
13767032,17,104
13768662,0,438
13772282,11,326
13789152,14,71
13797692,11,326
13894222,0,438
13897532,6,191
13923382,24,328
13936882,26,71
13942322,4,70
13960822,3,112
13979662,0,438
14025482,13,80
14027132,24,328
14038472,4,70
14050355,7,225
14051473,12,78
14052933,16,221
14053148,38,2
14055022,8,130
14061925,0,438
14062948,0,438
14063351,2,155
14065315,19,91
14066623,8,130
14069593,11,326
14070736,18,105
14070830,0,438
14073382,7,225
14078385,5,112
14086918,11,326
14087968,17,104
14092350,35,55
14092673,14,71
14095083,2,155
14097544,0,438
14098609,16,221
14099733,29,8
14100597,1,279
14102919,1,279
14103852,1,279
14108775,5,112
14109605,11,326
14110253,11,326
14110743,13,80
14111623,0,438
14115889,8,130
14116517,19,91
14120099,35,55
14125985,8,130
14126174,1,279
14126360,16,221
14129238,26,71
14133057,16,221
14133447,35,55
