community_id,community_size
0,474
1,291
2,378
3,53
4,148
5,95
6,24
7,203
8,77
9,134
10,2
11,3
12,71
13,71
14,108
15,19
16,240
17,211
18,66
19,81
20,4
21,335
22,119
23,52
24,97
25,28
26,38
27,2
28,3
29,48
30,2
31,2
32,3
33,48
34,4
35,2
36,5
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,6
48,2
49,6
50,2
51,2
52,6
53,2
54,3
55,2
56,2
57,2
58,2
59,2
60,2
61,4
62,3
63,2
64,2
65,3
66,2
67,2
68,3
69,3
70,2
71,2
72,2
73,2
74,2
75,4
76,2
77,2
78,4
79,2
80,3
81,2
82,2
83,4
84,3
85,3
86,2
87,12
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,3
97,2
98,2
99,2
100,2
101,3
102,5
103,2
104,2
105,2
106,9
107,2
108,2
109,2
110,2
111,2
112,2
113,3
114,2
115,2
116,2
