node_id,community_id,community_size
10007042,0,474
10046442,0,474
10074432,1,291
10077242,2,378
10093672,3,53
10104672,4,148
10107362,5,95
10125152,6,24
10125822,7,203
10130032,8,77
10138132,0,474
10144442,9,134
10166632,0,474
10214802,10,2
10241462,11,3
10241802,2,378
10263662,12,71
10270072,13,71
10270872,14,108
10284152,1,291
1032291,1,291
10326,2,378
10332972,15,19
10348132,5,95
10367842,1,291
10507892,16,240
10523552,6,24
10524,2,378
10545772,5,95
1058591,17,211
10599392,7,203
10609292,4,148
10618402,0,474
10638782,2,378
10645702,18,66
10651272,18,66
10659742,3,53
10701982,19,81
10717512,1,291
10722102,6,24
10728992,0,474
10732492,17,211
10750192,7,203
10768042,7,203
10790832,9,134
10804132,0,474
1081091,13,71
10821392,8,77
10836002,14,108
1086591,20,4
10936542,19,81
10969982,18,66
10996862,21,335
1100251,22,119
11039482,2,378
1106311,1,291
11069572,17,211
11071232,0,474
11120172,2,378
1112751,23,52
11130772,24,97
11138972,25,28
11142222,20,4
11162812,8,77
11206912,16,240
11221192,21,335
11231562,0,474
11264322,16,240
11288162,1,291
11332342,26,38
11347052,27,2
11350892,5,95
11358372,0,474
11360912,1,291
11364652,1,291
11376132,7,203
11379982,1,291
11395432,4,148
11402482,19,81
11425612,5,95
11442052,21,335
1147031,3,53
11541862,7,203
11550142,16,240
1160081,7,203
11606702,1,291
11620042,4,148
11625152,12,71
11626822,28,3
11650012,0,474
11672342,4,148
11702862,2,378
11724382,1,291
11726732,0,474
11763862,3,53
11767072,17,211
11769872,3,53
11770552,25,28
11786302,0,474
11792612,29,48
11819122,17,211
11842342,22,119
11918842,1,291
11920922,30,2
11926262,24,97
11944562,0,474
11963282,2,378
11981952,29,48
12018412,15,19
12037502,23,52
12062282,31,2
12080652,9,134
12081592,23,52
12114432,14,108
12115732,16,240
12118882,21,335
12149902,14,108
12163342,2,378
12168312,16,240
12174212,0,474
12217472,24,97
12222522,14,108
12227112,7,203
12230022,21,335
12264532,7,203
12286822,4,148
12287142,13,71
12301112,22,119
12327342,0,474
12334662,0,474
12369282,0,474
12377702,1,291
12389772,0,474
12429382,32,3
12448322,33,48
12455292,4,148
12464552,9,134
12470922,16,240
1249501,3,53
1253451,2,378
12618652,0,474
12623252,1,291
12650962,0,474
1265601,0,474
12681372,1,291
12695882,12,71
12706762,0,474
12715022,7,203
12739402,16,240
12740012,4,148
12741382,23,52
12771132,0,474
1277191,2,378
12783392,15,19
12787922,34,4
12790082,19,81
12793382,19,81
12803772,22,119
12818,14,108
12874212,7,203
1290661,35,2
12920142,8,77
12925,21,335
12952252,14,108
12964542,16,240
12966662,1,291
12967642,22,119
12973362,9,134
13008262,4,148
1304091,7,203
13043702,2,378
13051142,2,378
13116482,17,211
13118432,17,211
1315431,0,474
13159492,36,5
13170292,7,203
13211,14,108
13222222,17,211
13224342,12,71
13225072,24,97
13232092,5,95
13253832,14,108
13253992,0,474
13258742,37,2
13264762,4,148
13285072,0,474
13291122,7,203
13302,7,203
1330691,38,3
13308842,0,474
13330612,23,52
13354182,16,240
13406742,2,378
13454462,12,71
13466982,7,203
13467242,7,203
13473142,4,148
13473852,14,108
13501922,4,148
13541632,21,335
13648652,3,53
13651452,2,378
13654112,0,474
13722332,29,48
13746182,1,291
13755792,4,148
13763362,5,95
13767032,14,108
13768662,0,474
13772282,2,378
13789152,14,108
13797692,2,378
13894222,0,474
13897532,7,203
13923382,21,335
13936882,17,211
13942322,0,474
13960822,14,108
13979662,0,474
14025482,23,52
14027132,21,335
14038472,3,53
14050355,17,211
14051473,18,66
14052933,16,240
14053148,39,2
14055022,9,134
14061925,4,148
14062948,18,66
14063351,18,66
14065315,4,148
14066623,9,134
14069593,2,378
14070736,5,95
14070830,0,474
14073382,17,211
14078385,6,24
14086918,2,378
14087968,24,97
14092350,9,134
14092673,0,474
14095083,2,378
14097544,0,474
14098609,16,240
14099733,4,148
14100597,1,291
14102919,1,291
14103852,1,291
14108775,0,474
14109605,2,378
14110253,2,378
14110743,23,52
14111623,0,474
14115889,5,95
14116517,0,474
14120099,8,77
14125985,9,134
14126174,1,291
14126360,16,240
14129238,2,378
14133057,16,240
14133447,9,134
14133954,21,335
14135487,3,53
14138511,1,291
14139527,13,71
14139780,1,291
14140382,2,378
14142706,9,134
14146262,14,108
14152810,17,211
14155050,2,378
14155739,4,148
14160053,22,119
14160799,2,378
14160956,15,19
14161205,40,2
14161889,41,2
14163711,9,134
14164472,7,203
14167991,2,378
14169105,9,134
14170847,17,211
14171337,16,240
14172103,1,291
14172656,23,52
14177779,18,66
14180279,3,53
14180577,0,474
14181437,4,148
14181937,42,2
14186692,7,203
14188391,9,134
14190794,14,108
14193124,4,148
14195918,0,474
14198539,0,474
14200945,14,108
14202860,0,474
14203889,22,119
14204673,2,378
14204887,2,378
14206313,2,378
14206767,16,240
14207225,13,71
14207256,5,95
14209248,12,71
14212820,0,474
14213287,2,378
14213837,13,71
14215410,8,77
14218593,23,52
14219559,9,134
14219598,12,71
14220008,8,77
14220561,5,95
14237254,0,474
14237896,14,108
14238479,22,119
14239038,43,2
14242280,22,119
14245571,17,211
14249581,24,97
14251709,24,97
14253587,18,66
14254414,23,52
14255057,2,378
14255702,0,474
14258044,4,148
14259990,7,203
14261400,24,97
14262680,22,119
14262785,0,474
14265113,7,203
14268141,7,203
14268164,14,108
14268324,18,66
14269768,4,148
14270650,4,148
14277183,16,240
14278838,3,53
14279461,24,97
14282136,7,203
14291706,24,97
14294948,8,77
14299765,1,291
14300586,4,148
14301374,12,71
14301386,0,474
14301443,25,28
14301804,1,291
14302121,2,378
14305154,8,77
14306885,1,291
14307465,2,378
1431301,9,134
14315043,16,240
14315063,14,108
1431551,29,48
14316661,2,378
14319626,17,211
14326094,1,291
14326743,44,2
14328764,0,474
14333927,0,474
