generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.7927712148194869,-0.04193926311322668,0.7927712148194869,124.6,0.022595281306715065,0.10647380753316843,0.6734175471726209,0.5976953571308472,"[10125822, 10138132, 10348132, 11350892, 11672342, 1315431, 13253992, 13330612, 13501922, 13654112, 14070830, 14180279, 14209248, 14301386, 14430556, 14505596, 14514220, 14519891, 14830184, 14852216, 14923674, 15076390, 15105269, 15269276, 15338788, 15357283, 15365571, 15501729, 15521862, 15757811, 16004411, 16102437, 16236786, 16431844, 16447060, 16494857, 16516106, 16561591, 17135182, 17173775, 17285878, 17297261, 17316916, 17486893, 17645505, 17850012, 18044059, 18102660, 18166634, 18338903, 18529500, 18954398, 19024376, 19202272, 19624059, 19686924, 19745574, 20352155, 20466461, 20567161, 20659066, 20661527, 20734423, 20788139, 20851551, 21093392, 21381690, 21733345, 22104014, 22303562, 22461427, 22578352, 22955009, 23155139, 2384071, 23885448, 25468909, 25681991, 25784828, 26763525, 29591647, 29620256, 29863027, 30197513, 30473755, 30556522, 32627702, 34686356, 35967493, 43112269, 5378272, 7376382, 780591, 7858302, 7976712, 8820652, 893891, 901731, 9146202, 9244632]",16,105,0,152,0,41.53333333333333,1.0,"1,0,2"
1,0.8017882290781576,-0.04123169269446589,0.8017882290781576,125.25,0.022831215970961886,0.10529460135989366,0.7118058104061175,0.5646748516802066,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15256188, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18221018, 18602421, 18954398, 19624059, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22303562, 22461427, 22578352, 22955009, 23344327, 23460768, 2384071, 23885448, 24906622, 25546904, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5378272, 5435942, 7129612, 7340872, 7376382, 774675, 780591, 7858302, 82243, 8820652, 901731, 9146202, 9590002]",16,102,0,129,0,41.75,1.0,"1,0,2"
2,0.8017882290781576,-0.04123169269446589,0.8017882290781576,125.25,0.022831215970961886,0.10529460135989366,0.7264189426570659,0.5584337767153923,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15256188, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18221018, 18602421, 18954398, 19624059, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22303562, 22461427, 22578352, 22955009, 23344327, 23460768, 2384071, 23885448, 24906622, 25546904, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5378272, 5435942, 7129612, 7340872, 7376382, 774675, 780591, 7858302, 82243, 8820652, 901731, 9146202, 9590002]",16,114,0,145,0,41.75,1.0,"1,0,2"
3,0.8017882290781576,-0.04123169269446589,0.8017882290781576,125.25,0.022831215970961886,0.10529460135989366,0.7362276953557457,0.5310683747396792,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15256188, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18221018, 18602421, 18954398, 19624059, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22303562, 22461427, 22578352, 22955009, 23344327, 23460768, 2384071, 23885448, 24906622, 25546904, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5378272, 5435942, 7129612, 7340872, 7376382, 774675, 780591, 7858302, 82243, 8820652, 901731, 9146202, 9590002]",16,93,0,123,0,41.75,1.0,"1,0,2"
4,0.8017882290781576,-0.04123169269446589,0.8017882290781576,125.25,0.022831215970961886,0.10529460135989366,0.7563640734467192,0.5293981546111233,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15256188, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18221018, 18602421, 18954398, 19624059, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22303562, 22461427, 22578352, 22955009, 23344327, 23460768, 2384071, 23885448, 24906622, 25546904, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5378272, 5435942, 7129612, 7340872, 7376382, 774675, 780591, 7858302, 82243, 8820652, 901731, 9146202, 9590002]",16,111,0,140,0,41.75,1.0,"1,0,2"
5,0.8385597181914947,-0.03853305289570301,0.8385597181914947,124.6,0.02321234119782214,0.10027844698922816,0.7690100545449242,0.5301058649264235,"[10125822, 10138132, 10348132, 10638782, 11350892, 11672342, 1253451, 1315431, 13253992, 13330612, 13501922, 13541632, 13654112, 14070830, 14180279, 14209248, 14301386, 14368074, 14430556, 14505596, 14514220, 14519891, 14818703, 14830184, 14852216, 14923674, 15076390, 15105269, 15184942, 15338788, 15357283, 15498654, 15501729, 15546710, 15757811, 16004411, 16102437, 16236786, 16431844, 16447060, 16494857, 16516106, 16561591, 17135182, 17173775, 17285878, 17316916, 17323772, 17431643, 17486893, 17515749, 17645505, 17850012, 17862286, 17862883, 18044059, 18102660, 18166634, 18338903, 18529500, 18954398, 19202272, 19624059, 19686924, 19745574, 20734423, 20851551, 21550185, 21733345, 22303562, 22461427, 22955009, 23344327, 2384071, 23885448, 25546904, 25681991, 25784828, 26763525, 28426100, 28447324, 29620256, 29863027, 30197513, 30296618, 30473755, 32627702, 40415571, 5054721, 7376382, 7536882, 770441, 774675, 780591, 7858302, 7976712, 8820652, 901731, 9244632, 9590002]",16,87,0,117,0,41.53333333333334,1.0,"1,0,2"
6,0.8385597181914947,-0.03853305289570301,0.8385597181914947,124.6,0.02321234119782214,0.10027844698922816,0.7763197418661036,0.5297812347337765,"[10125822, 10138132, 10348132, 10638782, 11350892, 11672342, 1253451, 1315431, 13253992, 13330612, 13501922, 13541632, 13654112, 14070830, 14180279, 14209248, 14301386, 14368074, 14430556, 14505596, 14514220, 14519891, 14818703, 14830184, 14852216, 14923674, 15076390, 15105269, 15184942, 15338788, 15357283, 15498654, 15501729, 15546710, 15757811, 16004411, 16102437, 16236786, 16431844, 16447060, 16494857, 16516106, 16561591, 17135182, 17173775, 17285878, 17316916, 17323772, 17431643, 17486893, 17515749, 17645505, 17850012, 17862286, 17862883, 18044059, 18102660, 18166634, 18338903, 18529500, 18954398, 19202272, 19624059, 19686924, 19745574, 20734423, 20851551, 21550185, 21733345, 22303562, 22461427, 22955009, 23344327, 2384071, 23885448, 25546904, 25681991, 25784828, 26763525, 28426100, 28447324, 29620256, 29863027, 30197513, 30296618, 30473755, 32627702, 40415571, 5054721, 7376382, 7536882, 770441, 774675, 780591, 7858302, 7976712, 8820652, 901731, 9244632, 9590002]",16,93,0,123,0,41.53333333333334,1.0,"1,0,2"
7,0.8385597181914947,-0.03853305289570301,0.8385597181914947,124.6,0.02321234119782214,0.10027844698922816,0.7830401071723925,0.5166081560378525,"[10125822, 10138132, 10348132, 10638782, 11350892, 11672342, 1253451, 1315431, 13253992, 13330612, 13501922, 13541632, 13654112, 14070830, 14180279, 14209248, 14301386, 14368074, 14430556, 14505596, 14514220, 14519891, 14818703, 14830184, 14852216, 14923674, 15076390, 15105269, 15184942, 15338788, 15357283, 15498654, 15501729, 15546710, 15757811, 16004411, 16102437, 16236786, 16431844, 16447060, 16494857, 16516106, 16561591, 17135182, 17173775, 17285878, 17316916, 17323772, 17431643, 17486893, 17515749, 17645505, 17850012, 17862286, 17862883, 18044059, 18102660, 18166634, 18338903, 18529500, 18954398, 19202272, 19624059, 19686924, 19745574, 20734423, 20851551, 21550185, 21733345, 22303562, 22461427, 22955009, 23344327, 2384071, 23885448, 25546904, 25681991, 25784828, 26763525, 28426100, 28447324, 29620256, 29863027, 30197513, 30296618, 30473755, 32627702, 40415571, 5054721, 7376382, 7536882, 770441, 774675, 780591, 7858302, 7976712, 8820652, 901731, 9244632, 9590002]",16,93,0,123,0,41.53333333333334,1.0,"1,0,2"
8,0.8547863090207737,-0.03727275923721008,0.8547863090207737,125.6,0.023611615245009075,0.09815713371942923,0.7975387233515265,0.5013722338472454,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14180279, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15498654, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18166634, 18221018, 18602421, 18954398, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22461427, 22578352, 23344327, 23460768, 2384071, 23885448, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29620256, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5054721, 5378272, 5435942, 7129612, 7340872, 7536882, 770441, 774675, 7858302, 82243, 8820652, 901731, 9146202, 9244632, 9590002]",16,72,0,101,0,41.86666666666667,1.0,"1,0,2"
9,0.8547863090207737,-0.03727275923721008,0.8547863090207737,125.6,0.023611615245009075,0.09815713371942923,0.7982634701930806,0.4974756764629903,"[10125822, 10138132, 10638782, 10732492, 1100251, 11350892, 1253451, 12925, 1315431, 13253992, 13330612, 13654112, 14070830, 14180279, 14301386, 14368074, 14430556, 14514220, 14519891, 14785887, 14818703, 14871283, 14959367, 15076390, 15105269, 15156740, 15244650, 15498654, 15501729, 15757811, 15941343, 16004411, 16102437, 16220573, 16236786, 16431844, 16447060, 16462880, 16494857, 16561591, 17173775, 17323772, 17431643, 17486893, 17558182, 17645505, 17850012, 17862286, 17862883, 17943996, 18044059, 18102660, 18166634, 18221018, 18602421, 18954398, 19686924, 20661527, 20734423, 20851551, 21044126, 21093392, 21733345, 22461427, 22578352, 23344327, 23460768, 2384071, 23885448, 25681991, 25784828, 26518245, 26766494, 27512951, 27600350, 28447324, 29620256, 29863027, 30197513, 30296618, 30473755, 32627702, 35967493, 37398382, 43199935, 5054721, 5378272, 5435942, 7129612, 7340872, 7536882, 770441, 774675, 7858302, 82243, 8820652, 901731, 9146202, 9244632, 9590002]",16,96,0,124,0,41.86666666666667,1.0,"1,0,2"
