generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.002385135601297869,-0.002385135601297869,42.65,0.07105263157894737,0.0758229027815431,-0.026842335893818504,0.6436422719474304,"[12, 127, 15, 18, 20, 21, 22, 223, 245, 263, 266, 268, 269, 271, 278, 282, 285, 287, 298, 317, 327, 33, 331, 340, 36, 38, 380, 39, 40, 428, 44, 464, 489, 492, 52, 55, 61, 77, 81, 95]",20,3200,0,3017,0,3.5666666666666664,1.0,"18-24,65+,30-39"
1,0.007424465575535378,0.007424465575535378,42.35,0.07039473684210526,0.055545805691034504,-0.016043256456789456,0.6043478262034355,"[12, 122, 127, 13, 14, 17, 18, 21, 22, 223, 238, 24, 243, 263, 264, 265, 268, 269, 270, 271, 278, 281, 282, 285, 287, 297, 298, 317, 33, 331, 36, 40, 464, 481, 61, 77, 81, 85, 87, 95]",20,3120,0,2839,0,3.2000000000000006,1.0,"18-24,65+,25-29"
2,0.012914281501057522,0.012914281501057522,42.7,0.07105263157894737,0.045224068576832324,-0.00522160028190488,0.5539148835252602,"[12, 127, 13, 14, 17, 18, 21, 223, 238, 24, 243, 263, 264, 265, 268, 269, 270, 271, 278, 281, 285, 287, 297, 298, 30, 312, 313, 327, 33, 34, 36, 38, 40, 44, 45, 464, 481, 53, 62, 77]",20,3200,0,2759,0,3.616666666666667,1.0,"18-24,30-39,25-29"
3,0.017940674814956148,0.017940674814956148,43.25,0.0761904761904762,0.0403091265605639,0.001155793314651243,0.5052079165142164,"[12, 122, 127, 13, 14, 17, 18, 21, 22, 238, 24, 261, 263, 264, 265, 266, 267, 269, 270, 271, 278, 281, 282, 287, 298, 317, 32, 327, 33, 331, 36, 37, 39, 40, 428, 464, 481, 61, 87, 95]",20,3200,0,2761,0,3.3166666666666664,1.0,"25-29,65+,18-24"
4,0.018634659841844443,0.018634659841844443,43.2,0.07368421052631578,0.0364148908426269,0.004699202500685287,0.4820845641335622,"[12, 122, 13, 14, 15, 17, 18, 189, 21, 22, 238, 24, 245, 263, 264, 265, 266, 267, 269, 270, 271, 281, 287, 298, 30, 33, 331, 340, 36, 37, 40, 44, 461, 464, 465, 481, 5, 53, 62, 77]",20,3200,0,2922,0,3.5499999999999994,1.0,"18-24,25-29,50-59"
5,0.018634659841844443,0.018634659841844443,43.2,0.07368421052631578,0.0364148908426269,0.007369386316919371,0.46487029577408057,"[12, 122, 13, 14, 15, 17, 18, 189, 21, 22, 238, 24, 245, 263, 264, 265, 266, 267, 269, 270, 271, 281, 287, 298, 30, 33, 331, 340, 36, 37, 40, 44, 461, 464, 465, 481, 5, 53, 62, 77]",20,3200,0,2920,0,3.5499999999999994,1.0,"18-24,25-29,50-59"
6,0.029203710463078177,0.029203710463078177,42.8,0.07835051546391752,0.01994309453776117,0.011694006313663284,0.45861400061714225,"[12, 13, 14, 17, 18, 21, 22, 223, 238, 24, 263, 264, 265, 266, 267, 269, 271, 274, 281, 285, 287, 291, 293, 298, 312, 327, 33, 36, 37, 40, 428, 44, 45, 464, 481, 53, 61, 62, 77, 85]",20,3200,0,2921,0,3.8333333333333335,1.0,"30-39,18-24,50-59"
7,0.029203710463078177,0.029203710463078177,42.8,0.07835051546391752,0.01994309453776117,0.012826930032306075,0.45284997951416955,"[12, 13, 14, 17, 18, 21, 22, 223, 238, 24, 263, 264, 265, 266, 267, 269, 271, 274, 281, 285, 287, 291, 293, 298, 312, 327, 33, 36, 37, 40, 428, 44, 45, 464, 481, 53, 61, 62, 77, 85]",20,3120,0,2757,0,3.8333333333333335,1.0,"30-39,18-24,50-59"
8,0.029203710463078177,0.029203710463078177,42.8,0.07835051546391752,0.01994309453776117,0.013900749619176398,0.4311671718216791,"[12, 13, 14, 17, 18, 21, 22, 223, 238, 24, 263, 264, 265, 266, 267, 269, 271, 274, 281, 285, 287, 291, 293, 298, 312, 327, 33, 36, 37, 40, 428, 44, 45, 464, 481, 53, 61, 62, 77, 85]",20,3120,0,2516,0,3.8333333333333335,1.0,"30-39,18-24,50-59"
9,0.029203710463078177,0.029203710463078177,42.8,0.07835051546391752,0.01994309453776117,0.01444441453860561,0.42480796270897797,"[12, 13, 14, 17, 18, 21, 22, 223, 238, 24, 263, 264, 265, 266, 267, 269, 271, 274, 281, 285, 287, 291, 293, 298, 312, 327, 33, 36, 37, 40, 428, 44, 45, 464, 481, 53, 61, 62, 77, 85]",20,3200,0,2758,0,3.8333333333333335,1.0,"30-39,18-24,50-59"
