dataset,method,category,status,requested_input_mode,resolved_input_mode,runtime_seconds,num_clusters,largest_cluster_size,smallest_cluster_size,average_cluster_size,cluster_size_std,cluster_size_summary,modularity,mean_conductance,silhouette_score,davies_bouldin_score,calinski_harabasz_score,nmi,ari,assignments_csv_path,cluster_sizes_csv_path,skip_reason
graph_spa_500_0,louvain,graph_native,ok,graph,graph,0.0326113000010082,18,47,12,27.77777777777778,10.475132221682378,"14:47,1:46,13:46,2:40,12:32,11:31,...",0.799632253096774,0.14266521622149947,,,,0.0720574411137889,0.015513846097893766,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_louvain_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_louvain_cluster_sizes.csv,
graph_spa_500_0,leiden,graph_native,ok,graph,graph,0.010003700001107063,19,48,6,26.31578947368421,11.995844155719524,"14:48,11:42,2:40,1:39,12:38,13:38,...",0.8021797497446647,0.14008429154652513,,,,0.07354655649163465,0.01570685637921027,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_leiden_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_leiden_cluster_sizes.csv,
graph_spa_500_0,multilevel,graph_native,ok,graph,graph,0.009700099999463418,17,49,15,29.41176470588235,10.347257798307563,"13:49,1:47,12:46,2:40,7:35,11:32,...",0.8004725435880723,0.1387367521148779,,,,0.051940739080671934,0.011043028964943073,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_multilevel_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_multilevel_cluster_sizes.csv,
graph_spa_500_0,infomap,graph_native,ok,graph,graph,0.10357849999854807,60,20,3,8.333333333333334,3.858612300930075,"9:20,40:18,2:17,1:15,30:15,57:15,...",0.7324862267974921,0.2563742515820413,,,,0.12872137233956907,0.012647275486163439,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_infomap_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_infomap_cluster_sizes.csv,
graph_spa_500_0,label_propagation,graph_native,ok,graph,graph,0.01602640000055544,118,19,2,4.237288135593221,2.875017954554681,"71:19,31:16,76:12,21:11,87:11,15:10,...",0.6166624598891753,0.4381896079216482,,,,0.1748698020162589,0.011771254629570545,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_label_propagation_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_label_propagation_cluster_sizes.csv,
graph_spa_500_0,walktrap,graph_native,ok,graph,graph,0.01378610000028857,32,92,2,15.625,20.40182283522725,"3:92,17:64,15:54,1:37,16:34,4:31,...",0.7541548584019997,0.18556384092568884,,,,0.04221039569274493,0.00013707603851200974,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_walktrap_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_walktrap_cluster_sizes.csv,
graph_spa_500_0,kmeans,embedding_space,ok,auto,feature,1.9822390000008454,2,393,107,250.0,143.0,"0:393,1:107",0.021436460087266657,0.5203619909502263,0.09290171938955047,2.7416152916559793,38.28392988756341,0.0023202232652743873,-0.000455336214631076,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_kmeans_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_kmeans_cluster_sizes.csv,
graph_spa_500_0,spectral,embedding_space,ok,auto,feature,0.10938879999957862,2,485,15,250.0,235.0,"0:485,1:15",0.03823108734015583,0.11627906976744186,0.15535737778334355,1.5114148091329918,16.299225821380684,0.023496088040897825,0.0035114466345869265,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_spectral_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_spectral_cluster_sizes.csv,
graph_spa_500_0,agglomerative,embedding_space,ok,auto,feature,0.08008159999917552,2,454,46,250.0,204.0,"0:454,1:46",0.03140226271378686,0.6946236559139785,0.10505837759417332,2.105407569091767,29.733694221348166,4.053402470716541e-05,-0.0005362035302175395,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_agglomerative_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_agglomerative_cluster_sizes.csv,
graph_spa_500_0,dbscan_or_hdbscan,embedding_space,ok,auto,feature,0.04169410000031348,1,500,500,500.0,0.0,0:500,0.0,,,,,0.0,0.0,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_dbscan_or_hdbscan_cluster_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\graph_spa_500_0\clustering\graph_spa_500_0_dbscan_or_hdbscan_cluster_sizes.csv,
