cluster_id,size
0,3
1,2
2,3
3,2
4,8
5,3
6,3
7,6
8,3
9,5
10,5
11,5
12,5
13,2
14,3
15,10
16,8
17,2
18,4
19,3
20,2
21,11
22,6
23,4
24,9
25,4
26,3
27,2
28,4
29,5
30,10
31,16
32,2
33,3
34,4
35,4
36,5
37,4
38,2
39,3
40,2
41,4
42,3
43,4
44,2
45,2
46,4
47,4
48,2
49,6
50,2
51,2
52,5
53,2
54,5
55,2
56,3
57,3
58,4
59,2
60,2
61,2
62,3
63,3
64,2
65,7
66,9
67,6
68,3
69,4
70,4
71,19
72,2
73,3
74,4
75,2
76,12
77,4
78,2
79,4
80,5
81,8
82,2
83,4
84,4
85,2
86,6
87,11
88,3
89,3
90,2
91,9
92,6
93,6
94,7
95,2
96,5
97,4
98,6
99,3
100,3
101,2
102,2
103,4
104,2
105,2
106,3
107,3
108,9
109,4
110,2
111,2
112,2
113,4
114,4
115,2
116,2
117,2
