generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.020326909625524307,0.6088214475910456,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3200,0,3099,0,3.216666666666667,1.0,"white,asian,latino"
1,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.028519200846722874,0.5437760858479227,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3120,0,2759,0,3.216666666666667,1.0,"white,asian,latino"
2,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.02961250510439249,0.5402731050879093,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3200,0,2998,0,3.216666666666667,1.0,"white,asian,latino"
3,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.030105140574419754,0.5442672163338289,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3040,0,2678,0,3.216666666666667,1.0,"white,asian,latino"
4,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.031015558546944034,0.5404818901073267,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3200,0,2838,0,3.216666666666667,1.0,"white,asian,latino"
5,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.03152722655979968,0.5330577788110413,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3120,0,2914,0,3.216666666666667,1.0,"white,asian,latino"
6,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.03203725272069168,0.522930987397016,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3120,0,2680,0,3.216666666666667,1.0,"white,asian,latino"
7,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.032363503201682305,0.5128205843912211,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3200,0,2756,0,3.216666666666667,1.0,"white,asian,latino"
8,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.03275182650024227,0.5139711139474237,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3200,0,2760,0,3.216666666666667,1.0,"white,asian,latino"
9,0.036205165927254084,0.036205165927254084,42.65,0.08209876543209876,0.009688433577590593,0.03285325844604249,0.5150674863776217,"[104, 12, 13, 139, 14, 15, 17, 18, 21, 223, 227, 23, 238, 24, 245, 256, 26, 261, 263, 264, 265, 269, 271, 274, 282, 287, 297, 298, 312, 320, 33, 34, 36, 40, 43, 464, 481, 6, 79, 85]",20,3120,0,2679,0,3.216666666666667,1.0,"white,asian,latino"
