generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.021128590971272215,0.021128590971272215,21.5,0.04294117647058823,0.0006839945280438016,0.006346611440221271,0.7177776541141758,"[12, 127, 13, 17, 18, 238, 264, 269, 271, 287, 312, 317, 350, 36, 37, 40, 411, 44, 465, 492]",12,0,0,30,0,10.75,1.0,"male,female"
1,0.021128590971272215,0.021128590971272215,21.5,0.04294117647058823,0.0006839945280438016,0.011888982823204377,0.6721724801720103,"[12, 127, 13, 17, 18, 238, 264, 269, 271, 287, 312, 317, 350, 36, 37, 40, 411, 44, 465, 492]",12,0,0,20,0,10.75,1.0,"male,female"
2,0.021128590971272215,0.021128590971272215,21.5,0.04294117647058823,0.0006839945280438016,0.013857566036371281,0.6552692377177969,"[12, 127, 13, 17, 18, 238, 264, 269, 271, 287, 312, 317, 350, 36, 37, 40, 411, 44, 465, 492]",12,0,0,20,0,10.75,1.0,"male,female"
3,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.018097610199584495,0.6606452113677053,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,18,0,10.775,1.0,"female,male"
4,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.018452532048859084,0.6719426994334503,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,23,0,10.775,1.0,"female,male"
5,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.018465710880325496,0.6684585685958409,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,21,0,10.775,1.0,"female,male"
6,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.019111913742813427,0.651845765589761,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,21,0,10.775,1.0,"female,male"
7,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.01932382198756236,0.642801069628626,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,20,0,10.775,1.0,"female,male"
8,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.01932382198756236,0.642801069628626,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,21,0,10.775,1.0,"female,male"
9,0.02130569629243811,0.02130569629243811,21.55,0.04306122448979592,0.0004498319049197015,0.01976603839241017,0.6459567335943304,"[12, 13, 14, 17, 21, 223, 238, 267, 271, 287, 312, 317, 40, 411, 44, 465, 483, 492, 77, 85]",12,0,0,19,0,10.775,1.0,"female,male"
