generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.021936693044564762,0.021936693044564762,22.05,0.044081632653061226,0.000208246563931703,0.01736064590541427,0.7000917454772381,"[12, 13, 15, 17, 223, 24, 245, 271, 278, 297, 303, 312, 317, 327, 33, 331, 38, 39, 40, 468]",12,920,0,844,0,11.025,1.0,"female,male"
1,0.02206223798774591,0.02206223798774591,22.15,0.04428571428571428,0.00016123831022246045,0.021587792270779685,0.6136937099792915,"[12, 13, 15, 17, 18, 231, 238, 264, 269, 271, 282, 287, 303, 33, 36, 380, 40, 464, 481, 85]",12,920,0,859,0,11.075,1.0,"female,male"
2,0.02206223798774591,0.02206223798774591,22.15,0.04428571428571428,0.00016123831022246045,0.021776328648653625,0.6036140273474686,"[12, 13, 15, 17, 18, 231, 238, 264, 269, 271, 282, 287, 303, 33, 36, 380, 40, 464, 481, 85]",12,960,0,742,0,11.075,1.0,"female,male"
3,0.02206223798774591,0.02206223798774591,22.15,0.04428571428571428,0.00016123831022246045,0.021823667819655612,0.6137480464839147,"[12, 13, 15, 17, 18, 231, 238, 264, 269, 271, 282, 287, 303, 33, 36, 380, 40, 464, 481, 85]",12,960,0,838,0,11.075,1.0,"female,male"
4,0.02206223798774591,0.02206223798774591,22.15,0.04428571428571428,0.00016123831022246045,0.021859996517184583,0.6042543710585424,"[12, 13, 15, 17, 18, 231, 238, 264, 269, 271, 282, 287, 303, 33, 36, 380, 40, 464, 481, 85]",12,960,0,746,0,11.075,1.0,"female,male"
5,0.02206223798774591,0.02206223798774591,22.15,0.04428571428571428,0.00016123831022246045,0.02190659949110346,0.588934244891347,"[12, 13, 15, 17, 18, 231, 238, 264, 269, 271, 282, 287, 303, 33, 36, 380, 40, 464, 481, 85]",12,880,0,688,0,11.075,1.0,"female,male"
6,0.022312696890836828,0.022312696890836828,22.35,0.0446938775510204,6.848376934674853e-05,0.021958892995591173,0.5810388270234227,"[12, 122, 13, 14, 17, 21, 223, 238, 264, 269, 271, 278, 285, 303, 312, 33, 35, 40, 464, 481]",12,960,0,706,0,11.175,1.0,"female,male"
7,0.022312696890836828,0.022312696890836828,22.35,0.0446938775510204,6.848376934674853e-05,0.021979852846222888,0.5952928340471739,"[12, 122, 13, 14, 17, 21, 223, 238, 264, 269, 271, 278, 285, 303, 312, 33, 35, 40, 464, 481]",12,840,0,617,0,11.175,1.0,"female,male"
8,0.022312696890836828,0.022312696890836828,22.35,0.0446938775510204,6.848376934674853e-05,0.021979852846222888,0.5906401897641917,"[12, 122, 13, 14, 17, 21, 223, 238, 264, 269, 271, 278, 285, 303, 312, 33, 35, 40, 464, 481]",12,920,0,691,0,11.175,1.0,"female,male"
9,0.022312696890836828,0.022312696890836828,22.35,0.0446938775510204,6.848376934674853e-05,0.022041208666670486,0.575421732388227,"[12, 13, 14, 17, 18, 22, 223, 238, 264, 271, 285, 287, 303, 312, 33, 380, 464, 481, 52, 85]",12,920,0,748,0,11.175,1.0,"female,male"
