generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.021684957735954774,0.021684957735954774,21.85,0.0436734693877551,0.00030355391584555356,0.013185114461599262,0.7162653555220178,"[12, 13, 17, 18, 223, 238, 264, 267, 269, 271, 287, 312, 350, 38, 40, 411, 44, 464, 481, 85]",12,960,0,956,0,10.925,1.0,"female,male"
1,0.021810933940774494,0.021810933940774494,21.95,0.04387755102040816,0.0002556831388591705,0.021303864855462155,0.6120819378069956,"[12, 13, 14, 17, 18, 21, 238, 263, 264, 265, 267, 269, 271, 278, 33, 40, 461, 465, 483, 55]",12,960,0,832,0,10.975,1.0,"female,male"
2,0.021936693044564762,0.021936693044564762,22.05,0.044081632653061226,0.000208246563931703,0.021580406812831035,0.5843760092673026,"[12, 13, 14, 17, 18, 21, 223, 238, 263, 264, 265, 271, 274, 287, 303, 312, 38, 40, 465, 481]",12,960,0,761,0,11.025,1.0,"female,male"
3,0.021936693044564762,0.021936693044564762,22.05,0.044081632653061226,0.000208246563931703,0.02167393625914832,0.5705489811554815,"[12, 13, 14, 17, 18, 21, 238, 263, 264, 265, 267, 269, 271, 278, 33, 40, 44, 461, 464, 53]",12,960,0,768,0,11.025,1.0,"female,male"
4,0.02243761647197857,0.02243761647197857,22.45,0.044897959183673466,2.2726239716323566e-05,0.02192585879287028,0.5259008297253838,"[12, 13, 14, 17, 21, 238, 264, 265, 267, 271, 278, 287, 298, 312, 33, 38, 40, 461, 464, 481]",12,960,0,752,0,11.225,1.0,"female,male"
5,0.02243761647197857,0.02243761647197857,22.45,0.044897959183673466,2.2726239716323566e-05,0.021936356809938592,0.5110638420144956,"[12, 13, 14, 17, 21, 238, 264, 265, 267, 271, 278, 287, 298, 312, 33, 38, 40, 461, 464, 481]",12,880,0,706,0,11.225,1.0,"female,male"
6,0.02243761647197857,0.02243761647197857,22.45,0.044897959183673466,2.2726239716323566e-05,0.022015837688572296,0.4518263576143728,"[12, 13, 14, 17, 21, 238, 264, 265, 267, 271, 278, 287, 298, 312, 33, 38, 40, 461, 464, 481]",12,960,0,746,0,11.225,1.0,"female,male"
7,0.022538150515194977,0.022538150515194977,22.55,0.045098039215686274,2.173818529631803e-05,0.02210786099900414,0.46186791903933333,"[12, 13, 14, 17, 21, 22, 223, 238, 263, 264, 265, 269, 271, 287, 298, 38, 40, 464, 481, 53]",12,920,0,697,0,11.275,1.0,"male,female"
8,0.022538150515194977,0.022538150515194977,22.55,0.045098039215686274,2.173818529631803e-05,0.02216846238020585,0.4509339828180408,"[12, 13, 15, 17, 18, 21, 238, 263, 264, 265, 269, 271, 287, 303, 312, 33, 36, 40, 464, 481]",12,920,0,729,0,11.275,1.0,"male,female"
9,0.022538150515194977,0.022538150515194977,22.55,0.045098039215686274,2.173818529631803e-05,0.02216846238020585,0.4527812498826992,"[12, 13, 15, 17, 18, 21, 238, 263, 264, 265, 269, 271, 287, 303, 312, 33, 36, 40, 464, 481]",12,840,0,483,0,11.275,1.0,"male,female"
