generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.04027340152212903,0.04027340152212903,42.1,0.0836734693877551,0.003126666343497051,0.016041066784336748,0.7166757246710073,"[110, 127, 13, 136, 14, 15, 17, 18, 21, 22, 223, 226, 238, 24, 263, 264, 268, 271, 276, 284, 287, 293, 294, 297, 317, 33, 350, 380, 403, 428, 43, 45, 461, 464, 465, 481, 484, 491, 58, 80]",20,296,0,331,0,21.05,1.0,"female,male"
1,0.04027340152212903,0.04027340152212903,42.1,0.0836734693877551,0.003126666343497051,0.027769333131582273,0.7048046154550087,"[110, 127, 13, 136, 14, 15, 17, 18, 21, 22, 223, 226, 238, 24, 263, 264, 268, 271, 276, 284, 287, 293, 294, 297, 317, 33, 350, 380, 403, 428, 43, 45, 461, 464, 465, 481, 484, 491, 58, 80]",20,296,0,302,0,21.05,1.0,"female,male"
2,0.04027340152212903,0.04027340152212903,42.1,0.0836734693877551,0.003126666343497051,0.029425354661981613,0.6960407772107293,"[110, 127, 13, 136, 14, 15, 17, 18, 21, 22, 223, 226, 238, 24, 263, 264, 268, 271, 276, 284, 287, 293, 294, 297, 317, 33, 350, 380, 403, 428, 43, 45, 461, 464, 465, 481, 484, 491, 58, 80]",20,312,0,342,0,21.05,1.0,"female,male"
3,0.04027340152212903,0.04027340152212903,42.1,0.0836734693877551,0.003126666343497051,0.03128267383412372,0.702149094415151,"[110, 127, 13, 136, 14, 15, 17, 18, 21, 22, 223, 226, 238, 24, 263, 264, 268, 271, 276, 284, 287, 293, 294, 297, 317, 33, 350, 380, 403, 428, 43, 45, 461, 464, 465, 481, 484, 491, 58, 80]",20,296,0,298,0,21.05,1.0,"female,male"
4,0.04104257033823986,0.04104257033823986,43.05,0.08551020408163265,0.003425063405152936,0.03234685180100204,0.7098956168467458,"[104, 110, 12, 122, 127, 14, 141, 143, 15, 163, 17, 170, 178, 196, 21, 22, 223, 24, 250, 255, 263, 264, 265, 27, 272, 276, 298, 312, 326, 33, 339, 350, 373, 39, 44, 465, 481, 52, 81, 92]",20,304,0,321,0,21.525,1.0,"female,male"
5,0.04104257033823986,0.04104257033823986,43.05,0.08551020408163265,0.003425063405152936,0.032583447501461464,0.7009651252622718,"[104, 110, 12, 122, 127, 14, 141, 143, 15, 163, 17, 170, 178, 196, 21, 22, 223, 24, 250, 255, 263, 264, 265, 27, 272, 276, 298, 312, 326, 33, 339, 350, 373, 39, 44, 465, 481, 52, 81, 92]",20,312,0,327,0,21.525,1.0,"female,male"
6,0.04104257033823986,0.04104257033823986,43.05,0.08551020408163265,0.003425063405152936,0.033109610155819494,0.6997554079471245,"[104, 110, 12, 122, 127, 14, 141, 143, 15, 163, 17, 170, 178, 196, 21, 22, 223, 24, 250, 255, 263, 264, 265, 27, 272, 276, 298, 312, 326, 33, 339, 350, 373, 39, 44, 465, 481, 52, 81, 92]",20,304,0,319,0,21.525,1.0,"female,male"
7,0.0419708352274087,0.0419708352274087,42.65,0.08510204081632654,0.00116037036150913,0.03622598034561682,0.7042409024859395,"[104, 12, 127, 13, 14, 15, 17, 170, 179, 18, 21, 223, 238, 24, 250, 26, 263, 264, 265, 266, 267, 268, 271, 276, 278, 287, 293, 298, 33, 331, 34, 373, 403, 411, 44, 464, 465, 50, 81, 92]",20,312,0,330,0,21.325000000000003,1.0,"female,male"
8,0.0419708352274087,0.0419708352274087,42.65,0.08510204081632654,0.00116037036150913,0.037751362249699785,0.7058489251730311,"[104, 12, 127, 13, 14, 15, 17, 170, 179, 18, 21, 223, 238, 24, 250, 26, 263, 264, 265, 266, 267, 268, 271, 276, 278, 287, 293, 298, 33, 331, 34, 373, 403, 411, 44, 464, 465, 50, 81, 92]",20,304,0,325,0,21.325000000000003,1.0,"female,male"
9,0.0419708352274087,0.0419708352274087,42.65,0.08510204081632654,0.00116037036150913,0.038376494267086926,0.7009938267753598,"[104, 12, 127, 13, 14, 15, 17, 170, 179, 18, 21, 223, 238, 24, 250, 26, 263, 264, 265, 266, 267, 268, 271, 276, 278, 287, 293, 298, 33, 331, 34, 373, 403, 411, 44, 464, 465, 50, 81, 92]",20,288,0,300,0,21.325000000000003,1.0,"female,male"
