generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.178105670440218,0.5615406565357726,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,108,0,154,0,5.583333333333333,1.0,"40-49,18-24,65+"
1,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.371238117230634,0.5355844496919667,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,93,0,123,0,5.583333333333333,1.0,"40-49,18-24,65+"
2,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.4524000986244943,0.5516623431055483,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,95,0,126,0,5.583333333333333,1.0,"40-49,18-24,65+"
3,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.4775975188680495,0.5483868354057466,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,109,0,138,0,5.583333333333333,1.0,"40-49,18-24,65+"
4,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.5132654110881203,0.5334721316871919,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,90,0,121,0,5.583333333333333,1.0,"40-49,18-24,65+"
5,1.6222822603449587,0.03457764812195979,1.6222822603449587,62.6,0.10719424460431655,0.03803894836039696,1.5246461179336703,0.5253046496923661,"[100, 101, 122, 127, 16, 163, 17, 189, 191, 20, 21, 216, 22, 223, 238, 256, 263, 264, 265, 266, 268, 274, 278, 279, 282, 285, 286, 287, 289, 297, 303, 310, 313, 315, 317, 327, 33, 332, 34, 340, 343, 350, 371, 374, 38, 385, 391, 44, 441, 45, 464, 481, 52, 61, 77, 80, 81, 85, 92, 95]",16,107,0,137,0,5.583333333333333,1.0,"40-49,18-24,65+"
6,1.6570208750509834,0.03812085801194204,1.6570208750509834,62.9,0.11079136690647483,0.034549650882590745,1.5371224512887074,0.520159218359301,"[100, 101, 113, 122, 127, 13, 138, 163, 17, 18, 19, 191, 21, 22, 23, 243, 263, 264, 265, 267, 268, 272, 278, 281, 282, 285, 286, 287, 302, 303, 308, 315, 317, 327, 33, 331, 338, 340, 341, 355, 36, 371, 372, 374, 385, 405, 44, 441, 45, 464, 481, 492, 52, 53, 61, 77, 80, 84, 85, 92]",16,89,0,118,0,5.75,1.0,"40-49,18-24,60-64"
7,1.6570208750509834,0.03812085801194204,1.6570208750509834,62.9,0.11079136690647483,0.034549650882590745,1.5582459673184024,0.5266756563940244,"[100, 101, 113, 122, 127, 13, 138, 163, 17, 18, 19, 191, 21, 22, 23, 243, 263, 264, 265, 267, 268, 272, 278, 281, 282, 285, 286, 287, 302, 303, 308, 315, 317, 327, 33, 331, 338, 340, 341, 355, 36, 371, 372, 374, 385, 405, 44, 441, 45, 464, 481, 492, 52, 53, 61, 77, 80, 84, 85, 92]",16,90,0,120,0,5.75,1.0,"40-49,18-24,60-64"
8,1.6570208750509834,0.03812085801194204,1.6570208750509834,62.9,0.11079136690647483,0.034549650882590745,1.5582459673184024,0.5266756563940244,"[100, 101, 113, 122, 127, 13, 138, 163, 17, 18, 19, 191, 21, 22, 23, 243, 263, 264, 265, 267, 268, 272, 278, 281, 282, 285, 286, 287, 302, 303, 308, 315, 317, 327, 33, 331, 338, 340, 341, 355, 36, 371, 372, 374, 385, 405, 44, 441, 45, 464, 481, 492, 52, 53, 61, 77, 80, 84, 85, 92]",16,74,0,104,0,5.75,1.0,"40-49,18-24,60-64"
9,1.6570208750509834,0.03812085801194204,1.6570208750509834,62.9,0.11079136690647483,0.034549650882590745,1.5629974977412537,0.533558034782556,"[100, 101, 113, 122, 127, 13, 138, 163, 17, 18, 19, 191, 21, 22, 23, 243, 263, 264, 265, 267, 268, 272, 278, 281, 282, 285, 286, 287, 302, 303, 308, 315, 317, 327, 33, 331, 338, 340, 341, 355, 36, 371, 372, 374, 385, 405, 44, 441, 45, 464, 481, 492, 52, 53, 61, 77, 80, 84, 85, 92]",16,115,0,145,0,5.75,1.0,"40-49,18-24,60-64"
