generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.7103012495427778,0.040019789818479576,1.7103012495427778,43.1,0.08529411764705883,0.005254538010099669,1.6463251561268577,0.6058324074853744,"[102, 12, 13, 14, 15, 17, 18, 2, 21, 223, 224, 225, 226, 23, 238, 24, 263, 264, 265, 266, 267, 271, 274, 278, 287, 289, 298, 303, 326, 33, 331, 340, 4, 40, 44, 464, 481, 52, 55, 85]",16,96,0,142,0,21.55,1.0,"male,female"
1,1.719839710215491,0.04110591468625139,1.719839710215491,42.45,0.08450980392156864,0.002297974549065858,1.6787719745857608,0.5742491803741594,"[12, 13, 14, 15, 163, 18, 2, 21, 223, 225, 24, 261, 263, 264, 266, 267, 268, 269, 270, 271, 274, 276, 281, 287, 297, 302, 310, 327, 33, 339, 340, 35, 36, 37, 39, 40, 464, 481, 52, 97]",16,75,0,106,0,21.225,1.0,"male,female"
2,1.7240479842018759,0.04157645217711493,1.7240479842018759,42.6,0.08490196078431372,0.0017490564300838638,1.6987971740584755,0.5127601495050232,"[104, 112, 12, 13, 14, 15, 163, 17, 21, 223, 224, 238, 24, 256, 261, 263, 264, 265, 266, 267, 269, 271, 275, 285, 287, 299, 3, 303, 312, 327, 33, 338, 35, 37, 40, 44, 45, 464, 481, 52]",16,93,0,123,0,21.299999999999997,1.0,"male,female"
3,1.7240479842018759,0.04157645217711493,1.7240479842018759,42.6,0.08490196078431372,0.0017490564300838638,1.7064586307249632,0.5127541127766474,"[104, 112, 12, 13, 14, 15, 163, 17, 21, 223, 224, 238, 24, 256, 261, 263, 264, 265, 266, 267, 269, 271, 275, 285, 287, 299, 3, 303, 312, 327, 33, 338, 35, 37, 40, 44, 45, 464, 481, 52]",16,84,0,114,0,21.299999999999997,1.0,"male,female"
4,1.7256022336476071,0.04175371083012645,1.7256022336476071,42.8,0.08529411764705883,0.0017866959868059237,1.7111320735921536,0.4876911780923881,"[12, 13, 14, 15, 17, 18, 21, 223, 225, 238, 24, 256, 263, 264, 265, 266, 267, 268, 269, 271, 274, 285, 287, 297, 298, 303, 312, 317, 327, 34, 35, 36, 37, 39, 40, 44, 45, 464, 492, 55]",16,99,0,128,0,21.4,1.0,"male,female"
5,1.7256022336476071,0.04175371083012645,1.7256022336476071,42.8,0.08529411764705883,0.0017866959868059237,1.711612650421123,0.46875435996605314,"[12, 13, 14, 15, 17, 18, 21, 223, 225, 238, 24, 256, 263, 264, 265, 266, 267, 268, 269, 271, 274, 285, 287, 297, 298, 303, 312, 317, 327, 34, 35, 36, 37, 39, 40, 44, 45, 464, 492, 55]",16,66,0,94,0,21.4,1.0,"male,female"
6,1.7271136010994705,0.041910351222380536,1.7271136010994705,43.35,0.08627450980392157,0.0024538073591604897,1.7155379354832951,0.46762633880030624,"[1, 102, 12, 13, 14, 15, 17, 18, 2, 21, 223, 224, 238, 24, 263, 265, 266, 267, 268, 271, 274, 285, 287, 298, 302, 303, 326, 33, 331, 339, 35, 4, 40, 43, 44, 464, 481, 492, 52, 55]",16,81,0,112,0,21.675,1.0,"male,female"
7,1.7271136010994705,0.041910351222380536,1.7271136010994705,43.35,0.08627450980392157,0.0024538073591604897,1.7155379354832951,0.46762633880030624,"[1, 102, 12, 13, 14, 15, 17, 18, 2, 21, 223, 224, 238, 24, 263, 265, 266, 267, 268, 271, 274, 285, 287, 298, 302, 303, 326, 33, 331, 339, 35, 4, 40, 43, 44, 464, 481, 492, 52, 55]",16,78,0,107,0,21.675,1.0,"male,female"
8,1.7282009139318921,0.042045063639490864,1.7282009139318921,42.75,0.08529411764705883,0.001203990368077101,1.7199086506466454,0.4446432692943096,"[112, 12, 13, 14, 15, 163, 17, 21, 223, 224, 225, 238, 24, 256, 263, 264, 265, 266, 267, 268, 269, 274, 275, 287, 297, 303, 312, 317, 327, 33, 35, 36, 37, 39, 40, 464, 481, 50, 52, 97]",16,93,0,122,0,21.375,1.0,"male,female"
9,1.7282009139318921,0.042045063639490864,1.7282009139318921,42.75,0.08529411764705883,0.001203990368077101,1.7202720634133817,0.45134734747419697,"[112, 12, 13, 14, 15, 163, 17, 21, 223, 224, 225, 238, 24, 256, 263, 264, 265, 266, 267, 268, 269, 274, 275, 287, 297, 303, 312, 317, 327, 33, 35, 36, 37, 39, 40, 464, 481, 50, 52, 97]",16,87,0,117,0,21.375,1.0,"male,female"
