generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.6052107510143083,0.028157858184596152,1.6052107510143083,42.35,0.08058823529411765,0.024272518924925355,1.0405685872879071,0.6469065899353742,"[1, 117, 13, 148, 17, 18, 192, 21, 216, 22, 229, 238, 263, 264, 266, 267, 269, 271, 272, 278, 287, 296, 310, 33, 332, 344, 347, 35, 37, 380, 423, 45, 465, 47, 489, 495, 56, 70, 77, 87]",16,69,0,114,0,21.175,1.0,"male,female"
1,1.6052107510143083,0.028157858184596152,1.6052107510143083,42.35,0.08058823529411765,0.024272518924925355,1.1293888856284116,0.5982951946281783,"[1, 117, 13, 148, 17, 18, 192, 21, 216, 22, 229, 238, 263, 264, 266, 267, 269, 271, 272, 278, 287, 296, 310, 33, 332, 344, 347, 35, 37, 380, 423, 45, 465, 47, 489, 495, 56, 70, 77, 87]",16,69,0,99,0,21.175,1.0,"male,female"
2,1.6052107510143083,0.028157858184596152,1.6052107510143083,42.35,0.08058823529411765,0.024272518924925355,1.2519330154582806,0.5610270894490521,"[1, 117, 13, 148, 17, 18, 192, 21, 216, 22, 229, 238, 263, 264, 266, 267, 269, 271, 272, 278, 287, 296, 310, 33, 332, 344, 347, 35, 37, 380, 423, 45, 465, 47, 489, 495, 56, 70, 77, 87]",16,81,0,109,0,21.175,1.0,"male,female"
3,1.688258942529874,0.03753683722009513,1.688258942529874,42.25,0.08313725490196078,0.00806358046177051,1.3455627014411808,0.5435866131425015,"[117, 13, 148, 17, 18, 192, 216, 22, 229, 238, 245, 263, 264, 266, 271, 272, 282, 287, 296, 299, 310, 317, 33, 331, 332, 341, 343, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 70, 81, 95]",16,84,0,112,0,21.125,1.0,"male,female"
4,1.688258942529874,0.03753683722009513,1.688258942529874,42.25,0.08313725490196078,0.00806358046177051,1.3729692796849913,0.5268559621090376,"[117, 13, 148, 17, 18, 192, 216, 22, 229, 238, 245, 263, 264, 266, 271, 272, 282, 287, 296, 299, 310, 317, 33, 331, 332, 341, 343, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 70, 81, 95]",16,73,0,104,0,21.125,1.0,"male,female"
5,1.7324066312333861,0.04251176927647516,1.7324066312333861,42.9,0.08568627450980393,0.0006627359568536019,1.4168570345601148,0.5205002395944908,"[117, 13, 17, 18, 192, 21, 216, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 272, 274, 282, 287, 296, 299, 317, 33, 331, 332, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 77, 81, 95]",16,87,0,116,0,21.450000000000003,1.0,"male,female"
6,1.7324066312333861,0.04251176927647516,1.7324066312333861,42.9,0.08568627450980393,0.0006627359568536019,1.4571279220875213,0.5110295492168196,"[117, 13, 17, 18, 192, 21, 216, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 272, 274, 282, 287, 296, 299, 317, 33, 331, 332, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 77, 81, 95]",16,90,0,120,0,21.450000000000003,1.0,"male,female"
7,1.7324066312333861,0.04251176927647516,1.7324066312333861,42.9,0.08568627450980393,0.0006627359568536019,1.4794467430020943,0.48815778464387133,"[117, 13, 17, 18, 192, 21, 216, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 272, 274, 282, 287, 296, 299, 317, 33, 331, 332, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 77, 81, 95]",16,75,0,105,0,21.450000000000003,1.0,"male,female"
8,1.7324066312333861,0.04251176927647516,1.7324066312333861,42.9,0.08568627450980393,0.0006627359568536019,1.5102727055873653,0.49146834876433776,"[117, 13, 17, 18, 192, 21, 216, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 272, 274, 282, 287, 296, 299, 317, 33, 331, 332, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 77, 81, 95]",16,82,0,112,0,21.450000000000003,1.0,"male,female"
9,1.7324066312333861,0.04251176927647516,1.7324066312333861,42.9,0.08568627450980393,0.0006627359568536019,1.545429301980878,0.4659038722963121,"[117, 13, 17, 18, 192, 21, 216, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 272, 274, 282, 287, 296, 299, 317, 33, 331, 332, 344, 347, 35, 37, 371, 45, 461, 489, 495, 56, 77, 81, 95]",16,87,0,119,0,21.450000000000003,1.0,"male,female"
