generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.8284676477098426,-0.03377869266358476,0.8284676477098426,41.7,0.03,0.09755738532716952,0.5516579480399504,0.65973958929808,"[0, 10, 100, 113, 122, 13, 17, 18, 189, 191, 21, 22, 235, 245, 252, 262, 263, 264, 266, 292, 298, 315, 317, 326, 33, 37, 371, 423, 434, 44, 45, 461, 462, 471, 479, 489, 492, 77, 81, 97]",16,101,0,145,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,quartz_hill"
1,0.8689615029110817,-0.02880407514921036,0.8689615029110817,42.5,0.04,0.09760815029842072,0.6819095611738524,0.6156637228973552,"[1, 10, 101, 116, 122, 13, 163, 17, 18, 21, 216, 229, 235, 238, 239, 245, 252, 261, 262, 263, 264, 265, 266, 267, 271, 278, 287, 297, 317, 33, 34, 461, 462, 476, 479, 485, 495, 52, 77, 85]",16,111,0,140,0,0.7333333333333334,1.0,"northwest_palmdale,palmdale,sun_village"
2,0.8689615029110817,-0.02880407514921036,0.8689615029110817,42.5,0.04,0.09760815029842072,0.7068362792632309,0.5918497751271559,"[1, 10, 101, 116, 122, 13, 163, 17, 18, 21, 216, 229, 235, 238, 239, 245, 252, 261, 262, 263, 264, 265, 266, 267, 271, 278, 287, 297, 317, 33, 34, 461, 462, 476, 479, 485, 495, 52, 77, 85]",16,96,0,127,0,0.7333333333333334,1.0,"northwest_palmdale,palmdale,sun_village"
3,0.9145141465675891,-0.02766799167374296,0.9145141465675891,42.15,0.03,0.08533598334748592,0.7475185427841499,0.5517345766161693,"[0, 10, 122, 13, 17, 18, 21, 22, 229, 235, 238, 252, 261, 262, 264, 266, 269, 271, 272, 278, 293, 297, 317, 33, 34, 37, 38, 434, 44, 461, 476, 477, 479, 483, 492, 495, 61, 77, 81, 85]",16,78,0,109,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
4,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.7966319413150944,0.5557412256245453,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,94,0,123,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
5,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.8033713247795938,0.5596025328618685,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,100,0,130,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
6,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.8227105664135567,0.5208337554692861,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,81,0,111,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
7,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.8295909346298466,0.5353844954613685,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,90,0,121,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
8,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.8356791923904686,0.5080117879529337,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,105,0,137,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
9,0.950866281546217,-0.025125353103843805,0.950866281546217,42.9,0.03,0.08025070620768761,0.8469448650933014,0.48881392187265693,"[0, 10, 122, 13, 17, 18, 189, 191, 21, 22, 229, 235, 239, 252, 262, 263, 264, 265, 266, 267, 271, 278, 315, 317, 326, 33, 34, 37, 434, 44, 461, 462, 471, 476, 479, 485, 495, 52, 61, 81]",16,112,0,142,0,0.7166666666666667,1.0,"northwest_palmdale,palmdale,lancaster"
